	spinocerebellar ataxia type 1	hepatic veno-occlusive disease-immunodeficiency syndrome	thrombocytopenia-absent radius syndrome	androgen insensitivity syndrome	"hypospadias 1, X-linked"	Borjeson-Forssman-Lehmann syndrome	Renpenning syndrome	partial androgen insensitivity syndrome	Kennedy's disease	retinitis pigmentosa 11	"prostate cancer, hereditary, 1"	sudden infant death-dysgenesis of the testes syndrome	short stature-delayed bone age due to thyroid hormone metabolism deficiency	Aicardi-Goutieres syndrome 3	"neuronopathy, distal hereditary motor, type 2C"	retinitis pigmentosa 60	"neuronopathy, distal hereditary motor, type 2D"	exudative vitreoretinopathy 6
plasma membrane	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
positive regulation of MAPK cascade	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
negative regulation of cell proliferation	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
negative regulation of epithelial cell proliferation	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
positive regulation of cell differentiation	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nucleus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
protein complex	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein domain specific binding	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
beta-catenin binding	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"regulation of transcription, DNA-templated"	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"negative regulation of transcription, DNA-templated"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcription factor binding	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
