	"erythrocytosis, familial, 4"	retinitis pigmentosa 27	craniosynostosis 3	mitochondrial DNA depletion syndrome 15 (hepatocerebral type);
nucleus	1.0	1.0	1.0	1.0
positive regulation of transcription from RNA polymerase II promoter	1.0	1.0	1.0	1.0
DNA binding transcription factor activity	1.0	1.0	1.0	1.0
RNA polymerase II proximal promoter sequence-specific DNA binding	0.0	1.0	1.0	1.0
transcription coactivator activity	0.0	1.0	0.0	0.0
promoter-specific chromatin binding	0.0	1.0	0.0	0.0
leucine zipper domain binding	0.0	1.0	0.0	0.0
retinal rod cell development	0.0	1.0	0.0	0.0
regulation of rhodopsin gene expression	0.0	1.0	0.0	0.0
positive regulation of rhodopsin gene expression	0.0	1.0	0.0	0.0
