	syndromic X-linked intellectual disability 14	leukoencephalopathy with vanishing white matter	"mental retardation, autosomal recessive 2"	sudden infant death-dysgenesis of the testes syndrome	combined oxidative phosphorylation defect type 15
oligodendrocyte development	0.0	1.0	0.0	0.0	0.0
response to heat	0.0	1.0	0.0	0.0	0.0
guanyl-nucleotide exchange factor activity	0.0	1.0	0.0	0.0	0.0
response to glucose	0.0	1.0	0.0	0.0	0.0
response to peptide hormone	0.0	1.0	0.0	0.0	0.0
nucleotidyltransferase activity	0.0	1.0	0.0	0.0	0.0
cellular metabolic process	0.0	1.0	0.0	0.0	0.0
guanyl-nucleotide exchange factor complex	0.0	1.0	0.0	0.0	0.0
cellular response to stimulus	0.0	1.0	0.0	0.0	0.0
eukaryotic translation initiation factor 2B complex	0.0	1.0	0.0	0.0	0.0
