	familial erythrocytosis 1	"lymphedema, hereditary, 1A"	hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia	Donohue syndrome	primary myelofibrosis	Rabson-Mendenhall syndrome	polycythemia vera	combined immunodeficiency due to ZAP70 deficiency	spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome	Bruton-type agammaglobulinemia	isolated growth hormone deficiency type III	multiple cutaneous and mucosal venous malformations	Budd-Chiari syndrome	prostate cancer/brain Cancer susceptibility	hyperinsulinism due to INSR deficiency	insulin-resistance syndrome type A	susceptibility to infection due to TYK2 deficiency	lymphoproliferative syndrome 1	maturity-onset diabetes of the young type 11	thrombocythemia 3	amyotrophic lateral sclerosis type 19	severe combined immunodeficiency due to LCK deficiency	abdominal obesity-metabolic syndrome 3	"myopathy, centronuclear, 5"	"inflammatory skin and bowel disease, neonatal, 2"	"autoimmune disease, multisystem, infantile-onset, 2; ADMIO2"	"glaucoma 3, primary congenital, E; GLC3E"
protein kinase activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
phosphorylation	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
nucleotide binding	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
protein autophosphorylation	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
protein tyrosine kinase activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
kinase activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
peptidyl-tyrosine phosphorylation	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP binding	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
positive regulation of cell differentiation	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transferase activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
