	prune belly syndome	alcohol dependence	primary failure of tooth eruption	dermodistortive urticaria	"diabetes mellitus, Noninsulin-dependent"	fundus albipunctatus	attention deficit-hyperactivity disorder	"essential hypertension, genetic"	familial hypocalciuric hypercalcemia 1	hypogonadotropic hypogonadism 7 with or without anosmia	"metaphyseal chondrodysplasia, Jansen type"	"migraine with or without aura, susceptibility to, 1"	myoclonic dystonia 11	obsessive-compulsive disorder	osteoporosis	"precocious puberty, central, 1"	familial male-limited precocious puberty	schizophrenia (disease)	tetralogy of fallot	DiGeorge syndrome	nicotine dependence	"tremor, hereditary essential, 1"	blue color blindness	velocardiofacial syndrome	WHIM syndrome	familial glucocorticoid deficiency	oculocutaneous albinism type 2	"asthma, nasal polyps, and Aspirin intolerance"	chondrodysplasia blomstrand type	conotruncal heart malformations	46 XX gonadal dysgenesis	"leydig cell hypoplasia, type 1"	neonatal severe primary hyperparathyroidism	congenital stationary night blindness 1B	renal tubular dysgenesis of genetic origin	hypothyroidism due to TSH receptor mutations	Waardenburg syndrome type 4A	hypotrichosis 8	X-linked recessive ocular albinism	nephrogenic syndrome of inappropriate antidiuresis	"nystagmus 6, congenital, X-linked"	"pituitary adenoma, growth hormone-secreting, 2"	"vas deferens, congenital bilateral aplasia of, X-linked; CBAVDX"	blue cone monochromacy	red-green color blindness	red color blindness	"diabetes insipidus, nephrogenic, X-linked"	Eiken syndrome	"Hirschsprung disease, susceptibility to, 2"	ABCD syndrome	"asthma, susceptibility to"	autosomal dominant hypocalcemia 1	obesity (disease)	familial gestational hyperthyroidism	"febrile seizures, familial, 4"	Usher syndrome type 2C	ANON1	bilateral frontoparietal polymicrogyria	"asthma-related Traits, susceptibility to, 1"	"coronary heart disease, susceptibility to, 1"	"epilepsy, familial adult myoclonic, 2"	"mycobacterium tuberculosis, susceptibility to"	ovarian hyperstimulation syndrome	endogenous depression	"asthma-related Traits, susceptibility to, 2"	familial hyperthyroidism due to mutations in TSH receptor	susceptibility to HIV infection	"hepatitis c virus, susceptibility to"	"West nile virus, susceptibility to"	autosomal recessive nonsyndromic deafness 68	congenital stationary night blindness autosomal dominant 1	"malaria, susceptibility to"	type 1 diabetes mellitus 22	isolated growth hormone deficiency type ib	"epilepsy, idiopathic generalized, susceptibility to, 8"	"melanoma, cutaneous malignant, susceptibility to, 5"	retinitis pigmentosa 4	retinitis pigmentosa 44	age related macular degeneration 12	bleeding diathesis due to thromboxane synthesis deficiency	nonsyndromic congenital nail disorder 10	"periodic fever, menstrual cycle-dependent"	autosomal recessive spinocerebellar ataxia 13	hypogonadotropic hypogonadism 8 with or without anosmia	hypogonadotropic hypogonadism 11 with or without anosmia	"polymicrogyria, bilateral perisylvian, autosomal recessive"	mandibulofacial dysostosis with alopecia	lethal congenital contracture syndrome 9	"amelogenesis imperfecta, hypomaturation type, Iia6; AI2A6"
signal transducer activity	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
G-protein coupled receptor activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
G-protein coupled receptor signaling pathway	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
postsynaptic density membrane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"chemical synaptic transmission, postsynaptic"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
G-protein coupled receptor activity involved in regulation of postsynaptic membrane potential	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PLC activating G-protein coupled glutamate receptor activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
G-protein coupled receptor dimeric complex	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
dimeric G-protein coupled receptor signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
