	"epilepsy, idiopathic generalized, susceptibility to, 9"	Brugada syndrome 4	episodic ataxia type 5
integral component of membrane	0.0	1.0	0.0
membrane	0.0	1.0	0.0
calcium ion transmembrane transport	1.0	1.0	1.0
chemical synaptic transmission	1.0	1.0	1.0
high voltage-gated calcium channel activity	1.0	1.0	1.0
voltage-gated calcium channel complex	1.0	1.0	1.0
regulation of voltage-gated calcium channel activity	1.0	1.0	1.0
voltage-gated calcium channel activity	1.0	1.0	1.0
embryonic heart tube morphogenesis	0.0	1.0	0.0
neuromuscular junction development	1.0	1.0	1.0
voltage-gated calcium channel activity involved in cardiac muscle cell action potential	0.0	1.0	0.0
voltage-gated calcium channel activity involved in AV node cell action potential	0.0	1.0	0.0
