	brachydactyly type D	brachydactyly type E1	congenital hydronephrosis	synpolydactyly type 1	syndactyly type 5	VACTERL/vater association	hepatic veno-occlusive disease-immunodeficiency syndrome	Pelviscapular dysplasia	"hypospadias 2, X-linked"	synovial sarcoma (disease)	Abruzzo-Erickson syndrome	"cleft palate with or without ankyloglossia, X-linked"	wilms tumor 5	Grange syndrome	"Camptosynpolydactyly, complex"	Charcot-Marie-tooth disease type 1D	Mesoaxial synostotic syndactyly with phalangeal reduction	brachydactyly-syndactyly syndrome	"mental retardation, autosomal dominant 22"	"skeletal defects, genital hypoplasia, and mental retardation"	susceptibility to viral and mycobacterial infections	immunodeficiency-centromeric instability-facial anomalies syndrome 2	autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome	"mental retardation, autosomal recessive 18"	mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency	severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome	Verheij syndrome	hypogonadotropic hypogonadism 22 with or without anosmia	Paget disease of bone 6; PDB6	Shashi-Pena syndrome; SHAPNS	"global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies; GDACCF"
skeletal system development	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
negative regulation of transcription from RNA polymerase II promoter	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nucleus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
regulation of cell proliferation	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
enhancer sequence-specific DNA binding	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"regulation of transcription, DNA-templated"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
positive regulation of transcription from RNA polymerase II promoter	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA binding	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"transcription, DNA-templated"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
