	thrombocythemia 2	congenital amegakaryocytic thrombocytopenia	congenital diarrhea 5 with tufting enteropathy	"colorectal cancer, hereditary nonpolyposis, type 8"
cell junction	0.0	0.0	1.0	1.0
integral component of plasma membrane	0.0	0.0	1.0	1.0
morphogenesis of an epithelium	0.0	0.0	1.0	1.0
positive regulation of cell proliferation	0.0	0.0	1.0	1.0
perinuclear region of cytoplasm	0.0	0.0	1.0	1.0
positive regulation of cell motility	0.0	0.0	1.0	1.0
positive regulation of transcription from RNA polymerase II promoter	0.0	0.0	1.0	1.0
liver development	0.0	0.0	1.0	1.0
protein complex binding	0.0	0.0	1.0	1.0
ureteric bud development	0.0	0.0	1.0	1.0
stem cell differentiation	0.0	0.0	1.0	1.0
signal transduction involved in regulation of gene expression	0.0	0.0	1.0	1.0
lateral plasma membrane	0.0	0.0	1.0	1.0
cell-cell adhesion	0.0	0.0	1.0	1.0
apical plasma membrane	0.0	0.0	1.0	1.0
epiboly involved in gastrulation with mouth forming second	0.0	0.0	1.0	1.0
basolateral plasma membrane	0.0	0.0	1.0	1.0
cell-cell adhesion via plasma-membrane adhesion molecules	0.0	0.0	1.0	1.0
bicellular tight junction	0.0	0.0	1.0	1.0
positive regulation of stem cell proliferation	0.0	0.0	1.0	1.0
negative regulation of cell-cell adhesion mediated by cadherin	0.0	0.0	1.0	1.0
cadherin binding involved in cell-cell adhesion	0.0	0.0	1.0	1.0
