	familial primary localized cutaneous amyloidosis	"spondyloarthropathy, susceptibility to, 1"	central core myopathy	Laurin-Sandrow syndrome	"malignant hyperthermia, susceptibility to, 1"	polydactyly of a triphalangeal thumb	"psoriasis 1, susceptibility to"	syndactyly type 4	"tibia, hypoplasia or aplasia of, with polydactyly"	acheiropody	Dysequilibrium syndrome	congenital fiber-type disproportion myopathy	congenital multicore myopathy with external ophthalmoplegia	leukocyte adhesion deficiency type II	schneckenbecken dysplasia	"mental retardation, X-linked 58"	autosomal recessive nonsyndromic deafness 7	"atrioventricular septal defect, susceptibility to, 2"	autosomal dominant nonsyndromic deafness 36	"vitamin K-dependent clotting factors, combined deficiency of, type 2"	Stevens-Johnson syndrome	cortical dysplasia-focal epilepsy syndrome	"autism, susceptibility to, 15"	congenital stationary night blindness 1F	urofacial syndrome 2	cryptosporidiosis-chronic cholangitis-liver disease syndrome	"macular dystrophy, vitelliform, 4"
plasma membrane	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
integral component of membrane	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
membrane	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
protein binding	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nucleotide binding	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytoplasm	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP binding	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein complex	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
multicellular organism development	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ion transport	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
