	syndromic X-linked intellectual disability 14	leukoencephalopathy with vanishing white matter	"mental retardation, autosomal recessive 2"	sudden infant death-dysgenesis of the testes syndrome	combined oxidative phosphorylation defect type 15	"autism, susceptibility to, 19"
protein complex	0.0	0.0	0.0	0.0	0.0	1.0
regulation of cell cycle	0.0	0.0	0.0	0.0	0.0	1.0
negative regulation of neuron differentiation	0.0	0.0	0.0	0.0	0.0	1.0
positive regulation of mitotic cell cycle	0.0	0.0	0.0	0.0	0.0	1.0
RNA binding	0.0	0.0	0.0	0.0	0.0	1.0
repressing transcription factor binding	0.0	0.0	0.0	0.0	0.0	1.0
cellular response to dexamethasone stimulus	0.0	0.0	0.0	0.0	0.0	1.0
RISC complex	0.0	0.0	0.0	0.0	0.0	1.0
G1/S transition of mitotic cell cycle	0.0	0.0	0.0	0.0	0.0	1.0
phosphatidylinositol-3-phosphate binding	0.0	0.0	0.0	0.0	0.0	1.0
mRNA cap binding complex	0.0	0.0	0.0	0.0	0.0	1.0
RNA 7-methylguanosine cap binding	0.0	0.0	0.0	0.0	0.0	1.0
eukaryotic initiation factor 4G binding	0.0	0.0	0.0	0.0	0.0	1.0
