	amelogenesis imperfecta type 1A	autosomal dominant brachyolmia	hypocalcified amelogenesis imperfecta	multiple endocrine neoplasia type 1	Sorsby's fundus dystrophy	osteoarthritis susceptibility 2	Metatropic dysplasia	Parastremmatic dwarfism	Kindler syndrome	scapuloperoneal spinal muscular atrophy	hereditary spastic paraplegia 4	hereditary spherocytosis type 1	"spondyloepiphyseal dysplasia, Maroteaux type"	"spondylometaphyseal dysplasia, Kozlowski type"	autosomal dominant congenital benign spinal muscular atrophy	Charcot-Marie-tooth disease axonal type 2C	familial digital arthropathy-brachydactyly	autosomal recessive nonsyndromic deafness 66	"palmoplantar keratoderma, mutilating, with periorificial keratotic plaques"	hypogonadotropic hypogonadism 14 with or without anosmia	short-rib thoracic dysplasia 8 with or without polydactyly	retinal dystrophy and obesity	nephronophthisis 19	isolated focal non-epidermolytic palmoplantar keratoderma	"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy; PEBEL"
integral component of plasma membrane	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
integral component of membrane	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
membrane	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
transport	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
ion transport	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
calcium ion transmembrane transport	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
calcium ion transport	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
cellular calcium ion homeostasis	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fungal-type vacuole	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
calcium channel activity	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
