	congenital hydronephrosis	down syndrome	Pelviscapular dysplasia	"thrombocytopenia, X-linked, with or without dyserythropoietic anemia"	X-linked dyserythropoetic anemia with abnormal platelets and neutropenia	beta-thalassemia-X-linked thrombocytopenia syndrome	"Camptosynpolydactyly, complex"	Charcot-Marie-tooth disease type 1D	"mental retardation, autosomal dominant 22"	"skeletal defects, genital hypoplasia, and mental retardation"	susceptibility to viral and mycobacterial infections	immunodeficiency-centromeric instability-facial anomalies syndrome 2	autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome	mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency	severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome	Paget disease of bone 6; PDB6	Shashi-Pena syndrome; SHAPNS	"global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies; GDACCF"
protein binding	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
positive regulation of peptidyl-tyrosine phosphorylation	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
negative regulation of cell proliferation	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
negative regulation of transcription from RNA polymerase II promoter	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
negative regulation of gene expression	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell-cell signaling	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell differentiation	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nucleus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
enhancer sequence-specific DNA binding	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
in utero embryonic development	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"regulation of transcription, DNA-templated"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
positive regulation of transcription from RNA polymerase II promoter	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA binding	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
