	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTnegative_cell_28	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_3	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_46	Slc17a6_tdTpositive_cell_18
1700054N08Rik	0.04	0.0	55.79	122.71	234.03	0.0	0.14	0.0	74.86	0.0	102.9	0.0	0.0	0.0	0.0	0.04	0.04	2.65	0.0	84.49	79.55	0.0	112.38	0.3	7.97	74.69	0.0
Acap3	0.0	0.0	0.17	0.0	81.55	0.0	38.7	4.92	52.73	0.0	38.63	0.0	0.0	0.0	0.0	0.0	6.1	17.82	56.28	29.43	84.96	0.0	0.0	36.73	24.17	5.73	0.31
Acvr1c	0.18	7.93	0.47	0.0	28.81	8.18	0.0	0.02	15.78	0.0	20.94	0.0	0.0	0.0	0.05	0.01	12.09	2.43	14.29	51.17	72.66	0.04	0.04	14.48	74.17	12.43	22.75
Agap2	1.67	2.03	2.86	3.1	6.39	0.36	1.26	3.48	2.46	3.46	5.69	0.0	0.0	0.0	0.0	3.15	1.69	1.56	2.54	4.25	5.91	1.46	1.96	3.08	3.12	2.78	4.45
Ahi1	77.53	65.6	43.5	0.23	112.75	24.45	0.85	5.82	190.81	27.83	91.13	0.33	0.0	0.0	0.23	24.12	59.63	59.2	20.04	227.85	62.62	106.19	0.0	100.27	46.92	7.19	164.82
Alkbh5	7.07	8.87	5.64	32.01	57.07	13.31	29.32	5.8	24.23	54.88	94.16	0.1	0.35	0.19	0.95	43.95	4.19	49.79	38.88	18.69	61.94	14.81	43.94	20.18	12.82	28.79	46.58
Bin1	0.05	0.3	0.0	0.0	86.88	0.36	1.25	32.19	9.17	0.0	29.72	0.0	0.0	0.5	0.0	0.0	0.0	0.06	6.54	1.61	88.03	0.0	18.92	1.14	0.72	0.54	29.38
Cadps2	50.02	0.0	0.08	4.97	86.9	17.9	146.44	89.87	136.82	14.23	261.3	0.0	0.0	0.0	0.0	93.77	0.09	105.3	53.93	117.91	94.51	0.07	0.07	207.48	3.38	8.84	178.11
D19Ertd737e	0.0	15.8	0.0	0.0	80.55	0.09	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	0.0	76.65	0.0	0.0	0.09	40.29	55.8	30.03	0.0	0.0	0.0	0.0	68.92
Dennd5b	90.4	42.51	51.69	88.38	214.64	71.06	115.49	18.76	174.94	186.85	223.13	0.36	2.84	3.15	2.74	64.26	98.02	87.0	137.95	119.35	157.51	67.66	25.39	126.65	128.15	55.56	85.94
Fzd3	11.54	124.0	36.77	110.04	137.18	182.68	52.24	47.57	159.22	163.03	132.3	0.08	0.04	0.29	0.21	51.84	128.41	119.15	279.05	207.34	204.89	114.43	118.19	83.14	73.41	26.27	209.33
Hmgn1	0.69	0.0	6.79	0.0	83.86	0.0	1.11	15.17	17.26	0.66	42.72	0.0	0.0	0.0	0.0	0.09	0.55	38.87	105.72	124.09	120.82	0.28	0.0	80.69	2.61	23.73	123.89
Idua	0.06	0.0	197.1	0.0	117.88	0.0	0.04	0.0	66.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.62	0.05	0.06	96.82	98.52	0.0	42.42	0.0	0.0	0.0	0.0
Igf2r	0.58	0.0	3.34	5.54	3.45	8.07	4.08	6.82	7.55	0.0	5.74	0.0	0.0	0.0	0.0	6.38	3.04	0.62	9.33	14.7	19.39	0.4	8.7	4.4	6.66	1.94	24.41
Iqsec3	0.18	0.13	3.59	1.0	29.22	1.82	0.31	1.07	58.9	19.61	59.29	0.0	0.09	0.0	0.43	0.13	0.03	0.26	5.54	11.49	18.15	0.26	0.15	0.59	0.7	0.22	23.14
Itgb6	0.0	0.0	0.0	0.0	0.12	0.04	0.0	0.0	0.02	0.0	0.09	0.0	0.0	0.0	0.0	0.08	0.04	0.0	0.0	0.1	0.07	0.0	0.0	0.0	0.0	0.0	0.0
Mff	2.3	36.79	3.48	52.19	63.48	25.56	0.71	70.01	159.3	125.24	135.23	0.37	0.0	0.0	0.0	0.11	0.11	20.79	141.17	190.73	293.69	1.08	0.0	28.1	270.29	0.15	119.15
Ncl	74.18	88.88	167.98	36.01	122.73	45.87	24.52	65.58	102.2	97.33	94.22	40.88	21.95	2.02	13.3	138.11	51.46	50.06	120.53	111.33	28.45	33.81	72.0	42.4	119.4	54.52	150.59
Nefm	114.02	0.07	85.63	36.96	401.23	4.46	225.44	11.59	148.98	12.3	381.93	0.0	0.0	0.0	0.0	75.2	0.46	52.29	191.31	36.09	267.36	63.43	7.51	19.56	23.48	106.47	114.64
Npdc1	27.87	26.66	5.76	186.51	116.67	1.17	2.21	74.41	278.48	56.29	129.44	0.47	0.0	0.0	0.0	0.29	132.01	11.26	348.55	170.84	153.94	0.23	277.32	55.2	3.15	35.77	120.74
Ntan1	109.11	84.99	27.55	58.64	192.9	61.22	12.38	0.17	86.11	0.0	169.19	0.0	0.0	0.0	0.0	1.09	89.77	52.59	139.4	194.88	125.44	0.59	0.0	27.2	22.84	74.41	3.58
Ppp3cb	52.53	139.05	0.0	55.26	154.39	143.38	79.2	47.71	508.41	99.39	101.48	0.0	0.0	0.0	0.0	36.12	76.57	188.53	87.91	177.62	119.83	33.61	38.09	27.18	50.54	101.06	148.6
Rap2b	38.07	25.74	48.49	74.33	81.66	44.87	33.36	16.32	45.5	28.04	66.72	0.16	0.0	0.17	0.0	24.47	53.56	61.71	41.58	66.56	31.09	18.26	40.55	11.52	36.0	11.37	92.03
Rbm26	124.21	44.35	52.2	103.69	156.52	62.21	6.69	17.65	107.71	83.11	122.94	1.15	155.07	64.34	0.19	104.23	1.85	84.13	90.73	91.13	175.81	3.77	75.97	41.41	70.75	31.04	98.62
Rgs4	4793.66	4496.84	5481.44	5005.37	2452.58	5873.8	4839.36	5539.67	3925.76	5390.4	3267.12	0.46	0.0	0.72	0.16	5399.11	5219.32	5037.98	5187.94	2236.5	4921.82	6274.8	5381.62	4444.37	4094.9	3589.98	6781.39
Yod1	0.0	0.0	0.0	0.0	108.88	27.29	0.0	58.8	0.81	0.0	67.4	0.0	0.0	0.0	0.0	0.0	70.8	0.0	0.14	23.78	130.5	0.17	0.0	0.0	1.19	57.73	0.0
Zfp329	0.75	42.88	57.54	0.16	31.23	32.33	43.29	33.59	73.92	21.07	107.54	0.44	0.21	0.47	0.2	0.32	106.63	24.88	82.19	99.67	96.59	0.08	0.0	22.78	0.23	1.12	40.16
