	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_11	Calb2_tdTpositive_cell_38	Chrna2_tdTpositive_cell_5	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_86	Gad2_tdTpositive_cell_9	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_61	Htr3a_tdTpositive_cell_91	Htr3a_tdTpositive_cell_118	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_5	Nkx2.1_tdTpositive_cell_6	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Pvalb_tdTpositive_cell_1	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_11	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_54	Pvalb_tdTpositive_cell_59	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_7	PvalbD.Slc32a1_tdTpositive_cell_16	PvalbD.Slc32a1_tdTpositive_cell_25	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_40	PvalbD.Slc32a1_tdTpositive_cell_42	PvalbD.Slc32a1_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_55	Sst_tdTpositive_cell_20	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_51	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_53
0610010B08Rik	37.33	20.53	0.0	0.0	0.0	0.18	0.0	0.0	0.07	13.05	0.18	0.0	0.39	42.46	11.32	27.28	1.74	40.47	1.1	3.65	6.18	13.31	28.61	78.97	4.67	4.93	0.39	26.06	0.31	0.07	29.89	1.06	18.61	0.47	6.34	6.15	19.43	6.61	14.31	14.23	3.82	15.08	80.36	18.91	39.84
Abcc1	0.96	17.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.91	0.0	0.0	0.0	0.0	0.0	0.0	31.72	11.78	0.0	0.0	7.35	0.0	24.25	0.0	0.0	9.49	16.81	0.0	0.0	0.0	0.0	0.0	0.0	34.18	0.0	12.37	0.0	0.0	0.0	16.0	4.89	0.0	13.78	0.16
Amy2a2	0.31	0.49	0.54	0.0	0.0	0.0	0.29	0.23	0.0	0.0	1.14	0.23	0.0	0.2	0.22	0.08	0.04	0.2	0.19	0.63	0.13	0.13	0.07	0.89	0.0	0.14	0.05	0.31	0.0	0.05	0.08	0.12	0.07	0.09	0.14	0.67	0.22	0.8	0.12	0.19	0.1	0.06	0.5	0.27	0.34
Amy2a3	0.31	0.49	0.54	0.0	0.0	0.0	0.29	0.23	0.0	0.0	1.14	0.23	0.0	0.2	0.22	0.08	0.04	0.2	0.19	0.63	0.13	0.13	0.07	0.89	0.0	0.14	0.05	0.31	0.0	0.05	0.08	0.12	0.07	0.09	0.14	0.67	0.22	0.8	0.12	0.19	0.1	0.06	0.5	0.27	0.34
Amy2a4	0.31	0.49	0.54	0.0	0.0	0.0	0.29	0.23	0.0	0.0	1.14	0.23	0.0	0.2	0.22	0.08	0.04	0.2	0.19	0.63	0.13	0.13	0.07	0.89	0.0	0.14	0.05	0.31	0.0	0.05	0.08	0.12	0.07	0.09	0.14	0.67	0.22	0.8	0.12	0.19	0.1	0.06	0.5	0.27	0.34
Caprin1	74.07	148.85	1.56	0.0	0.0	0.0	5.63	134.68	0.0	0.0	37.78	0.0	0.14	79.62	27.53	21.19	3.31	160.74	1.42	69.01	9.1	0.07	1.01	21.31	4.64	51.18	49.93	57.13	43.44	11.09	104.16	34.76	30.63	0.0	76.25	60.86	27.12	0.77	0.3	1.2	45.0	21.62	28.5	56.0	46.39
Gm14430	41.76	24.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47	0.2	0.0	0.45	17.13	13.59	32.74	2.09	30.21	0.0	0.88	6.19	15.98	0.0	12.3	0.0	0.0	0.46	18.03	0.08	0.09	35.86	1.28	22.34	0.0	7.61	0.0	20.52	7.93	9.07	3.08	3.19	0.0	4.94	22.7	0.0
Gm14434	41.76	24.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47	0.2	0.0	0.45	17.13	13.59	32.74	2.09	30.21	0.0	0.88	6.19	15.98	0.0	12.3	0.0	0.0	0.46	18.03	0.08	0.09	35.86	1.28	22.34	0.0	7.61	0.0	20.52	7.93	9.07	3.08	3.19	0.0	4.94	22.7	0.0
Gm4724	41.76	24.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47	0.2	0.0	0.45	17.13	13.59	32.74	2.09	30.21	0.0	0.88	6.19	15.98	0.0	12.3	0.0	0.0	0.46	18.03	0.08	0.09	35.86	1.28	22.34	0.0	7.61	0.0	20.52	7.93	9.07	3.08	3.19	0.0	4.94	22.7	0.0
Ift74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.58	0.0	0.0	126.27	0.0	0.0	111.0	20.44	81.48	0.0	85.21	80.22	113.31	28.77	0.45	0.0	15.49	0.0	29.78	11.19	44.71	0.0	0.0	93.57	63.88	125.55	0.0	140.84	113.58	28.3	165.31	33.62	0.0	0.0	47.73	101.56	167.72	93.31
