	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810041L15Rik	14.58	0.0	0.0	9.26	118.64	25.08	0.0	0.0	0.0	0.17	0.0	0.29	1.48	0.0	0.0	32.37	27.73	26.54	27.94
2310042E22Rik	228.53	0.0	0.0	172.84	586.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56	0.59	1.05
2810454H06Rik	0.0	2.53	0.0	0.0	3.86	0.0	0.0	2.63	0.0	0.0	0.0	0.0	2.41	0.0	0.0	0.0	0.42	0.62	1.15
4933413J09Rik	0.06	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.18	0.15
AI987944	52.92	2.48	1.92	1.37	85.11	24.79	1.31	0.6	0.0	0.0	0.0	0.46	0.72	0.0	0.0	2.93	6.26	4.34	6.69
Anxa2	2.09	0.0	50.82	84.52	425.52	1.31	81.42	0.0	0.0	0.0	0.0	0.0	150.82	0.0	0.0	0.0	12.81	15.09	14.73
Ap2b1	13.75	29.74	29.22	15.76	114.95	9.67	50.84	40.8	9.69	0.0	8.02	8.24	16.74	3.27	3.49	19.31	168.78	170.81	177.32
Apc	70.27	60.83	26.94	53.69	117.91	53.44	28.72	5.1	0.0	0.0	0.0	12.57	11.07	95.56	0.0	43.88	97.77	76.83	103.87
Aqr	6.03	0.0	15.7	36.05	116.25	0.0	26.59	1.38	0.0	0.0	54.88	0.0	1.38	0.0	0.0	0.0	25.57	23.56	24.1
Aurkaip1	159.77	279.0	214.84	270.34	279.46	207.09	264.04	239.45	0.0	0.0	0.0	0.35	194.73	0.0	0.0	193.71	65.19	65.45	65.41
Cnr1	14271.7	18446.25	33283.94	19184.04	19801.43	19681.78	22064.64	33041.05	0.0	0.0	0.0	377.81	25768.68	16287.97	10972.82	23267.78	80.79	75.85	84.42
Coro2a	0.05	0.0	0.0	0.0	29.39	3.21	7.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	24.12	25.94	24.68
Cox4nb	8.07	0.08	0.1	15.25	66.6	0.0	0.21	5.28	0.0	3.64	1.59	0.0	0.22	0.0	0.0	0.16	30.81	31.83	32.07
Dnajc13	16.24	5.32	0.35	0.39	73.79	0.0	12.71	2.07	0.0	0.0	0.0	0.16	7.3	0.0	0.0	8.35	30.45	26.54	30.2
Dner	309.91	478.55	190.07	377.84	312.33	137.57	481.32	332.23	0.0	0.0	0.0	131.84	128.82	3.0	476.35	363.72	116.8	121.43	117.82
Dpysl5	20.27	42.17	12.56	17.53	99.99	4.61	94.0	26.33	0.0	0.0	0.0	12.49	13.92	16.65	0.0	39.84	19.09	19.81	19.66
Edn3	0.0	0.0	0.0	0.0	118.74	0.0	0.0	0.0	130.04	0.0	0.0	0.0	60.61	0.0	0.0	0.0	5.49	6.23	6.22
Ehbp1	8.24	8.94	0.15	10.17	19.34	0.0	2.62	10.04	0.0	0.0	0.0	0.0	0.1	0.0	0.4	2.13	29.47	28.16	27.18
Fam26e	85.03	0.0	29.66	21.44	141.52	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.36	6.85	8.07	7.12
Ficd	0.0	5.43	14.27	0.0	91.46	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	10.56	10.89	10.9
Fn3k	71.1	47.38	65.97	42.54	261.1	84.1	104.58	271.7	0.0	0.0	0.0	0.0	126.46	0.0	0.13	216.78	57.73	63.38	58.87
Fstl1	34.61	80.42	30.42	83.58	100.41	0.0	52.27	85.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.64	24.3	25.42	26.36
Gm8773	0.0	43.93	0.0	0.0	73.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.08
Gnao1	231.3	355.48	193.42	189.76	360.56	217.65	569.21	226.17	7.63	0.0	22.27	3.48	220.98	237.11	2.38	83.73	481.93	474.61	498.01
Gtf2h3	0.13	1.71	3.14	47.28	126.78	0.0	5.74	1.34	0.0	0.0	0.0	1.08	0.0	169.82	0.0	2.34	11.71	11.49	11.95
Heatr1	0.0	0.82	0.0	0.0	43.25	0.26	54.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	12.54	12.07	10.87
Hmgcs1	230.37	119.49	101.23	460.83	1161.38	53.63	73.35	132.04	0.0	0.0	597.55	0.5	439.24	86.66	137.54	44.74	224.67	228.37	233.13
Htr5a	9.26	7.63	0.0	0.0	9.37	0.0	0.0	0.0	0.0	0.0	0.0	0.07	2.16	0.0	0.0	8.73	10.69	10.48	9.74
Ier3	0.0	0.0	0.0	2.32	308.49	0.24	0.0	31.58	610.34	0.0	0.0	0.0	78.84	0.0	0.0	0.0	14.7	14.45	12.21
Islr2	0.0	0.0	0.0	0.0	4.25	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	42.31	52.28	43.91
Kcnh7	0.05	11.94	0.71	25.83	53.31	0.0	0.0	13.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.8	14.34	23.96
Kctd15	0.0	0.0	0.0	0.0	13.4	0.0	0.0	8.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.32	14.12	12.61
Kif5a	130.78	71.55	46.75	42.38	146.15	12.57	20.3	63.14	0.0	0.0	0.0	36.27	187.21	134.47	0.24	24.01	1306.65	1262.44	1324.69
Lrrc14b	0.35	0.43	0.04	0.53	52.53	0.54	22.75	0.28	0.0	5.57	0.0	0.23	9.43	0.0	0.87	1.01	7.65	7.78	8.94
Mcc	0.95	0.89	0.18	18.08	37.91	6.42	0.53	0.45	0.0	0.71	0.4	0.35	0.15	0.73	1.47	21.69	6.31	6.03	6.25
Mrap2	3.64	0.38	0.39	80.51	306.56	0.0	0.19	0.32	0.0	0.0	0.0	0.24	117.04	2.82	0.0	0.9	7.06	6.98	7.22
Mre11a	0.0	0.0	0.65	0.0	50.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.19	0.0	0.0	8.2	7.77	7.87
Mtfp1	90.36	166.35	334.44	326.66	336.25	0.0	316.41	414.79	0.0	0.0	0.0	0.0	319.93	490.12	165.12	319.45	86.76	99.4	83.48
Myt1	0.03	11.4	9.35	0.0	36.17	0.0	0.0	11.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.55	7.2	8.44
Nmt2	2.22	1.42	37.83	3.85	63.22	3.79	0.96	0.69	0.0	0.0	0.0	0.0	2.62	0.0	0.0	3.4	63.98	59.74	62.22
Nploc4	0.72	0.16	0.48	5.2	49.05	0.0	15.59	13.96	0.0	0.06	0.0	0.09	0.11	0.22	0.0	0.31	38.17	39.78	38.16
Pcdha7	0.0	0.0	0.0	0.0	94.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.95	6.18	4.71
Pde11a	0.0	0.0	0.0	0.0	60.51	0.0	36.16	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	2.42	2.51	2.82
Phactr1	61.25	8.89	34.56	85.37	176.8	44.43	6.19	18.53	0.0	0.0	0.0	0.0	3.34	0.14	0.13	20.92	250.29	240.7	240.9
Plcl1	0.37	0.23	0.29	0.1	36.2	0.3	0.03	0.0	0.0	0.13	0.0	0.25	0.07	0.0	1.19	0.19	13.26	10.77	14.66
Plxna4	2.18	1.0	2.09	12.82	22.49	0.79	2.6	18.94	0.0	0.0	0.0	0.0	7.49	0.0	0.0	0.18	28.71	25.59	30.42
Pts	122.08	204.61	293.68	141.44	345.49	5.77	1.93	178.26	0.0	18.27	0.9	9.93	141.26	6.91	12.65	103.8	32.06	38.38	33.41
Rftn1	0.0	0.0	0.0	0.0	43.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.78	7.89	8.54
Rpl22	4.71	28.68	15.9	103.68	155.2	9.57	100.04	104.08	25.93	0.0	0.0	39.05	117.72	20.83	0.0	121.55	81.32	88.47	82.39
