	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_52	Tac2_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110059M19Rik	0.0	0.0	0.0	0.09	0.09	0.0
1600029I14Rik	0.0	0.0	0.0	0.14	0.36	0.0
1700066J24Rik	0.0	0.0	0.0	122.44	120.76	115.31
2310028H24Rik	0.0	0.0	0.19	162.12	167.13	173.94
2310065F04Rik	0.0	0.0	0.0	0.07	0.14	0.07
4833403I15Rik	0.0	0.0	0.0	0.03	0.09	0.03
4921506M07Rik	0.0	0.0	0.0	0.13	0.13	0.0
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930413G21Rik	0.0	0.0	0.0	17.4	23.64	23.18
6330403A02Rik	0.0	0.0	0.0	129.61	129.26	131.62
6430527G18Rik	0.0	0.57	9.0	62.46	66.67	51.85
Acsm5	0.0	0.0	0.0	0.04	0.26	0.12
Akt1s1	0.0	0.0	11.51	51.71	61.91	56.59
Alx1	0.0	0.0	0.0	0.04	0.15	0.12
Atn1	0.0	0.0	0.61	96.96	98.9	99.63
BC037034	0.0	0.23	1.51	48.42	51.97	49.02
Banp	0.0	0.0	1.18	10.07	11.46	9.82
Best2	0.0	0.0	0.0	0.05	0.09	0.0
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Cacng1	0.0	0.0	0.0	0.08	0.39	0.09
Cand2	0.19	0.0	0.37	2.69	2.78	2.5
Capn1	0.0	0.0	0.0	20.82	21.05	20.65
Ccdc154	0.0	0.0	0.0	0.04	0.08	0.04
Ccin	0.0	0.0	0.0	0.15	0.14	0.0
Cd209b	0.0	0.0	0.0	0.11	0.41	0.11
Clec1b	0.0	0.0	0.0	0.09	0.1	0.0
Cxcl10	0.0	0.0	0.0	0.09	0.6	0.19
Cyp2f2	0.0	0.0	0.0	0.27	0.36	0.17
Cyp4a12b	0.0	0.0	0.0	0.12	0.19	0.04
D030025E07Rik	0.0	0.0	0.0	0.0	0.12	0.09
Ddit4	55.21	0.0	0.46	42.7	58.14	37.5
Eif2ak4	0.0	0.0	9.68	15.52	15.63	15.03
F630028O10Rik	0.0	0.0	0.0	0.07	0.17	0.07
Fam167b	0.0	0.0	0.0	0.43	0.91	0.66
Fam46d	0.0	0.0	0.0	0.03	0.03	0.0
Fbxl19	0.0	0.0	0.9	56.65	56.33	54.78
Fezf1	0.0	0.0	0.0	0.26	0.52	0.0
Fgfr4	0.0	0.0	0.0	0.03	0.24	0.03
Fus	0.0	0.0	7.99	236.98	238.88	232.01
Gm13276	0.0	0.0	0.0	0.15	0.24	0.12
Gm16551	0.0	0.0	0.0	0.04	0.07	0.0
Gm5294	0.0	0.0	0.0	0.16	0.15	0.0
Gpr114	0.0	0.0	0.0	0.04	0.03	0.0
