	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_37	Cux2_tdTpositive_cell_55	Ndnf_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_43	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18
4930511M06Rik	4.99	164.34	127.17	9.98	98.78	113.32	143.49	92.66	232.15	44.14	113.38	107.82	45.6	100.93	22.75	53.09	89.38	22.19	161.2	104.24	85.66	164.08	136.41	103.36	21.21	3.73	67.28	130.79	122.66	113.66	90.05
6030422M02Rik	7.01	112.69	62.49	4.14	82.17	83.79	101.02	56.38	104.01	14.95	90.72	87.49	50.48	75.72	24.34	51.8	36.92	17.15	91.25	76.75	69.66	90.66	102.72	79.04	8.34	6.31	53.45	92.06	103.22	86.15	84.79
9230114K14Rik	0.23	46.15	3.92	0.46	3.49	3.49	5.52	3.41	5.81	3.48	5.42	5.05	3.95	4.45	2.92	2.95	3.81	0.26	5.43	5.49	2.17	6.12	66.34	4.71	1.12	1.21	2.56	9.09	7.18	4.92	7.36
9530008L14Rik	0.0	1.75	0.18	0.03	0.19	0.22	1.11	0.06	1.45	0.0	0.95	0.42	0.08	0.57	0.14	0.39	0.49	0.26	1.95	0.09	0.44	1.58	0.68	0.13	0.0	0.18	0.26	0.39	0.65	0.76	0.04
A330032B11Rik	24.72	78.81	39.4	11.06	24.22	32.4	30.04	17.47	47.9	41.44	61.72	31.1	27.72	32.34	13.74	41.52	29.23	7.28	31.35	41.17	22.6	20.42	32.07	54.22	17.78	40.21	22.07	53.13	59.52	38.0	35.84
A430107P09Rik	11.2	89.22	60.14	0.26	96.83	113.81	98.13	64.98	203.47	42.34	121.23	67.79	52.29	87.94	10.06	57.97	65.7	14.78	110.68	113.22	80.64	110.55	118.44	51.02	2.65	13.15	55.69	143.75	181.28	103.06	62.65
BB283400	1.27	7.68	3.53	0.39	2.79	1.02	3.67	1.07	4.02	2.04	4.51	0.92	1.1	1.86	0.0	3.87	2.86	0.94	3.15	4.12	1.2	2.06	5.16	2.84	0.0	0.0	3.16	2.18	8.79	3.35	3.22
Birc5	0.17	3.8	2.72	0.69	3.7	3.0	3.85	1.8	4.4	2.73	3.7	2.93	1.45	3.08	1.16	2.92	1.32	0.33	1.59	2.31	0.91	3.69	5.0	2.12	0.0	0.37	1.18	3.69	7.69	4.4	2.35
Gfm2	0.0	266.55	0.05	0.0	26.45	0.0	136.71	0.0	261.75	0.0	11.29	0.06	105.65	105.19	0.0	110.83	11.6	1.89	145.79	76.05	107.46	77.42	272.0	6.73	0.11	0.0	115.69	2.71	155.16	201.42	105.78
Gm6602	0.52	30.07	16.03	0.59	31.21	33.72	36.18	10.73	62.17	13.72	23.84	15.66	14.5	20.53	1.66	16.5	17.41	2.07	37.32	32.71	24.16	28.92	35.88	12.7	1.31	1.5	16.23	71.12	32.24	27.59	22.73
Hist4h4	0.0	12.45	2.89	1.68	5.89	11.55	6.84	2.7	8.12	0.0	6.49	3.54	2.99	3.73	6.2	8.78	0.27	0.62	11.35	4.92	2.04	7.76	10.59	4.83	6.43	5.66	6.9	8.7	17.65	0.0	7.7
Il2ra	0.11	1.84	1.78	0.14	1.25	2.23	1.8	0.98	2.0	0.49	1.68	1.16	0.32	1.1	1.13	1.91	1.19	0.0	1.38	0.89	1.06	1.44	2.81	1.28	0.0	0.0	1.08	1.72	1.48	1.42	1.77
Kcnq1ot1	28.7	68.42	51.02	3.75	83.0	97.12	75.97	47.21	149.4	54.79	85.09	87.36	29.12	56.69	12.22	54.72	38.78	18.52	107.16	94.13	63.67	154.05	117.41	54.16	5.75	10.37	55.32	91.27	112.93	86.4	72.57
Lipi	0.32	6.52	2.42	0.19	2.68	4.55	1.95	1.3	4.54	1.18	2.11	2.63	0.41	2.79	0.29	0.61	0.58	0.47	2.92	2.45	1.93	6.25	2.66	3.16	0.23	0.0	3.54	3.78	5.18	4.73	2.23
Mtap9	0.0	89.14	34.8	61.03	41.2	29.47	36.44	16.95	65.31	0.0	43.09	151.64	176.46	34.19	0.91	72.67	11.45	2.87	103.94	48.09	61.05	48.59	149.78	107.72	0.0	4.27	156.52	283.29	88.74	127.89	193.89
Nipal4	0.0	0.76	0.0	0.09	0.25	0.0	0.2	0.1	0.35	0.19	0.45	0.45	0.0	0.13	0.09	0.26	0.1	0.22	0.64	0.09	0.07	0.28	0.45	0.02	0.0	0.0	0.68	0.0	1.44	0.51	0.2
Rdh1	6.15	68.05	33.51	0.16	54.75	76.94	63.8	42.25	115.61	25.14	83.87	65.1	21.21	44.74	8.94	29.26	39.18	11.98	53.29	45.49	42.0	63.93	60.67	38.43	3.23	4.61	34.43	93.02	108.78	63.17	31.82
Rgs4	1925.78	4337.51	5481.44	2297.98	4271.16	5464.61	5005.37	2629.52	2874.2	2439.32	5873.8	5539.67	3925.76	3800.78	2622.49	4377.15	4380.67	3832.69	3751.61	5399.11	5219.32	5187.94	4921.82	6274.8	5381.62	3732.04	5420.33	5101.58	5598.27	4802.36	6781.39
