	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_81	Pvalb_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_188	Rbp4_tdTpositive_cell_190	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTpositive_cell_108	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4933430M04Rik	0.0	167.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.14
5730409E04Rik	1.0	2.13	0.69	0.33	2.46	81.76	107.46	2.45	0.67	9.76	2.51	10.22	2.08	0.95	16.57	0.3	3.39	2.8	0.8	1.09	8.12	21.32	0.15	4.44	10.31	0.57	2.54	0.38	0.19	7.45	0.61	0.57	53.55	66.27	138.99	37.33	1.29	22.3	2.98	0.18	0.12	1.87	1.73	44.24	43.87	15.68	12.79	17.86	28.49	76.02	78.84	72.68
9030204H09Rik	0.17	224.6	0.0	0.0	0.0	1.9	40.19	0.0	0.0	6.99	0.0	0.0	0.82	0.12	0.29	0.0	0.0	0.0	1.35	1.21	0.97	0.43	0.76	0.53	0.33	0.0	1.35	0.38	3.93	0.0	0.0	1.76	0.0	3.12	51.38	1.01	1.2	1.75	2.63	0.0	0.0	2.89	0.89	0.0	0.12	0.03	0.0	0.24	0.0	0.16	0.32	0.32
A130049A11Rik	3.24	360.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.31	0.15	0.07	26.51	0.18	0.11	61.8	0.0	0.0	0.0	0.0	0.0	14.54	0.07	0.0	0.0	0.0	2.53	0.0	0.0	0.0	0.0	20.9	20.31	0.0	0.0	75.08	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.38	0.0	0.0	2.63	2.34	2.33
A230070E04Rik	0.08	250.74	0.25	0.0	0.0	6.7	62.19	0.94	0.0	0.0	0.0	0.0	14.4	27.59	87.97	1.87	32.1	26.25	0.0	2.76	45.24	23.18	0.34	0.18	24.09	0.0	0.0	0.0	0.0	65.16	0.0	0.0	0.79	31.18	21.46	182.8	0.25	86.04	58.42	0.0	0.0	0.0	0.0	0.16	42.37	46.87	0.0	0.14	0.0	16.6	19.01	17.56
A930011G23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.82	1.08	0.82
Adcy3	0.0	154.98	0.0	0.0	0.0	15.05	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	2.11	0.0	0.0	0.0	0.83	0.16	0.03	0.0	0.0	14.46	0.1	0.0	0.0	0.0	0.0	1.12	0.0	0.0	1.1	4.02	15.32	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.82	1.0	0.07	0.14	0.85	0.04	39.07	40.04	37.65
Apba3	0.03	225.52	0.0	0.0	0.0	33.85	35.59	0.1	0.0	0.0	0.0	0.0	0.0	116.62	0.0	0.32	0.0	0.61	0.0	0.2	0.0	0.12	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	23.02	0.0	1.93	0.07	14.23	0.0	0.0	0.0	0.0	0.0	0.07	54.56	66.98	0.07	52.79	0.08	17.6	19.89	18.64
Atp2a2	135.41	504.58	0.0	94.76	3.32	301.89	304.83	3.59	1.89	0.4	0.25	65.53	213.59	562.86	425.92	206.35	226.07	176.26	282.62	271.13	251.33	185.15	128.82	84.87	42.05	0.0	0.29	0.25	0.51	100.64	1.92	1.45	351.93	237.86	418.41	443.35	109.0	282.91	467.87	2.27	0.0	0.0	13.2	73.84	33.02	72.47	120.5	52.71	84.51	513.24	490.71	517.28
BC100451	0.0	28.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.24	0.21
