	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810405K02Rik	0.0	0.0	0.0	83.89	0.0	1346.77	1.73	0.47	62.21	0.0	0.0	1007.83	130.08	120.24	130.79	119.69
Adamts15	0.0	0.08	0.0	0.43	0.27	0.44	0.21	0.42	0.0	0.13	0.0	0.4	0.0	3.0	3.4	3.83
Add2	0.0	0.0	0.0	10.6	0.22	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.5	113.28	121.53
Alox12	0.0	0.0	0.0	0.13	0.0	2.74	0.39	1.92	0.0	0.0	0.0	0.82	0.0	0.71	0.51	0.96
Ambra1	0.0	0.0	0.0	3.12	0.0	27.79	0.0	7.3	0.0	0.0	0.0	0.12	0.0	37.27	36.0	38.75
Bche	0.0	0.0	0.0	2.23	0.0	0.05	0.0	0.06	0.0	0.0	0.0	0.0	0.0	3.06	2.87	2.75
Bsn	0.03	0.01	0.0	18.84	0.0	0.13	0.08	0.13	0.0	0.0	0.12	0.1	0.0	89.93	87.69	106.31
Caprin1	0.0	0.0	105.61	47.78	0.0	569.73	0.31	346.57	6.66	0.0	261.77	1.97	38.63	140.83	135.83	136.58
Chst12	0.0	0.0	0.0	26.45	0.77	1167.37	0.36	1043.04	0.0	0.0	0.0	0.0	0.0	20.98	22.12	21.08
Cnot6l	0.0	0.22	0.0	0.91	0.0	95.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.26	18.54	21.05
Cst3	66199.78	54350.96	61505.62	471.62	59768.12	79037.77	67515.86	70378.51	80478.24	68326.69	95318.24	75159.39	72517.08	1961.51	2186.93	2204.12
Dbndd2	0.0	0.0	0.0	37.47	0.38	0.8	0.54	0.29	0.14	0.0	0.28	0.17	0.0	78.89	82.71	86.4
Dmbx1	0.0	0.0	0.0	0.0	0.0	0.57	0.07	0.43	0.0	0.0	0.0	0.0	0.0	0.02	0.18	0.03
Eef1b2	0.0	0.48	18.6	188.93	2.48	799.73	328.27	1328.61	0.29	0.84	0.72	1.55	0.65	119.81	120.61	112.29
Gm106	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.38	0.0	0.0	0.0	0.0	0.0	1.4	1.25	1.41
Gm14430	0.07	0.0	0.0	6.69	0.0	0.04	0.28	0.12	0.0	0.37	0.0	0.41	0.0	7.67	5.07	7.49
Gm14434	0.07	0.0	0.0	6.69	0.0	0.04	0.28	0.12	0.0	0.37	0.0	0.41	0.0	7.67	5.07	7.49
Gm16532	0.34	0.0	0.0	0.48	0.0	1.36	0.29	0.19	0.23	0.0	0.0	0.0	0.0	12.2	13.16	11.54
Gm4724	0.07	0.0	0.0	6.69	0.0	0.04	0.28	0.12	0.0	0.37	0.0	0.41	0.0	7.67	5.07	7.49
Hnrnpu	0.25	0.0	6.21	364.29	230.53	482.7	16.6	277.65	13.53	0.0	427.78	78.3	164.2	301.12	288.67	297.97
Ints3	0.0	0.0	0.0	3.69	0.15	274.9	0.15	0.08	0.0	0.0	0.0	0.14	0.0	40.59	40.97	41.35
Kbtbd11	0.0	0.0	0.07	1.41	0.0	0.87	0.09	0.55	0.28	0.0	0.09	0.56	0.0	53.75	58.79	54.92
Mlh3	80.16	0.0	0.34	8.08	0.12	309.99	0.0	0.14	0.0	0.0	0.38	0.0	0.23	13.38	12.61	13.96
Mul1	0.0	0.0	0.0	38.98	0.36	528.69	0.0	239.18	0.0	0.0	0.23	0.0	0.0	26.56	26.32	24.68
Paxip1	4.07	0.57	0.83	10.56	12.74	7.71	1.55	4.05	2.63	2.9	1.52	1.11	0.0	23.04	23.75	25.53
Polr3c	0.0	0.0	0.0	15.45	0.0	36.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.03	24.23	23.59
Slc50a1	0.0	0.0	0.0	118.61	0.0	1312.33	0.0	3.1	0.0	0.0	0.0	541.82	0.0	46.05	46.22	46.88
Smek1	0.5	0.0	0.0	30.93	0.0	407.36	0.14	474.47	0.0	0.0	14.97	0.0	0.0	26.23	22.18	25.24
Tmem151a	0.49	0.0	0.0	6.68	0.14	0.56	0.28	1.24	0.0	0.0	0.0	0.15	0.0	140.06	152.76	151.94
Tpm2	0.0	0.0	0.0	0.12	0.0	4.94	0.0	3.72	1.91	0.0	0.0	0.0	0.0	5.72	6.92	5.94
Trappc8	0.0	0.0	228.56	14.61	0.37	728.76	0.25	283.08	0.0	0.0	98.41	0.0	0.0	36.18	33.02	34.73
Trim37	0.0	0.0	0.0	24.57	0.23	0.17	0.0	0.12	0.09	0.0	0.0	0.1	0.0	216.02	201.17	202.32
Ythdc2	0.22	0.07	0.0	11.68	2.8	4.14	4.05	3.13	1.1	0.67	1.13	2.29	0.32	20.51	18.96	18.43
Zdhhc20	0.14	8.29	2.55	49.88	16.02	352.76	1.86	350.05	37.26	9.23	1.69	6.06	0.0	26.14	24.56	25.83
c11_LSU-rRNA_Hsa	2.14	2.33	1.09	45.27	1.69	9.34	5.38	39.61	1.15	0.0	2.54	5.57	2.91	250.71	241.69	283.2
