	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_18	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_19	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_18	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23
1700012B15Rik	0.0	0.0	0.0	13.9	54.07	0.0	0.0	0.0	125.28	90.23	0.0	16.24	60.98	70.7	15.78	0.0	0.0	0.0	0.0	127.99	0.0	0.0	144.51	93.66	34.7	114.82	91.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.25	157.56
9830166K06Rik	0.04	0.0	0.0	0.32	0.0	0.18	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.04	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acaa1a	0.1	0.11	22.0	106.35	0.0	0.22	0.0	2.57	0.0	0.43	2.48	0.0	17.92	0.0	0.0	0.58	0.0	0.95	85.78	0.0	2.58	11.66	243.69	0.0	32.21	0.0	25.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.74
Acot8	113.78	0.17	147.5	0.0	206.34	35.83	0.0	0.0	0.0	39.51	72.65	35.66	73.15	0.0	0.0	0.0	0.0	76.65	0.0	0.0	0.0	23.27	260.64	0.0	128.91	17.5	26.92	0.0	0.0	0.0	0.0	0.0	0.0	132.5	127.56	0.0
Alg5	0.0	0.0	0.0	0.0	197.66	0.0	0.0	0.0	0.0	17.76	0.6	0.0	2.22	0.0	99.24	72.29	0.0	0.0	0.0	0.0	0.0	124.17	183.91	0.0	40.01	51.45	57.78	0.0	0.0	0.97	0.0	0.0	0.0	0.0	82.53	172.62
Ass1	79.9	159.44	17.74	50.25	229.05	0.0	0.0	0.0	0.0	46.73	64.17	42.63	53.69	174.19	0.0	0.0	0.0	0.0	0.0	40.49	0.0	0.0	174.02	93.35	7.49	74.86	68.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC005624	206.79	283.68	84.8	423.87	0.0	196.91	0.0	0.0	379.65	172.06	410.06	223.16	293.46	403.08	97.82	0.0	0.0	0.32	0.0	63.49	86.09	153.66	679.48	524.57	155.22	259.39	84.71	0.0	0.0	0.0	9.28	0.0	119.91	249.87	228.22	190.81
BC031781	106.03	0.65	4.53	3.94	27.96	106.1	0.0	0.0	100.81	47.79	6.45	1.16	118.19	3.58	27.58	27.13	1.09	13.37	2.24	18.14	5.13	25.39	236.41	61.48	41.28	13.76	19.73	0.0	0.0	3.68	0.83	0.0	1.49	10.86	62.82	69.92
Basp1	25.33	39.47	43.17	120.97	21.28	147.55	0.0	0.0	71.75	21.57	72.87	24.77	143.18	22.12	83.97	87.99	2.29	9.22	91.51	47.72	0.73	76.63	121.56	10.69	34.83	23.6	0.7	0.0	0.0	0.0	0.0	0.0	57.32	61.07	32.59	107.33
Baz1a	0.05	0.06	0.0	0.07	0.0	0.0	0.0	0.0	0.05	0.0	0.07	0.0	0.03	0.07	0.0	0.0	0.0	0.0	0.1	0.0	0.01	0.06	0.12	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
