	Calb2_tdTpositive_cell_53	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
5730559C18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.0	2.29	2.9	2.9
A430105I19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75	0.0	0.0	4.24	4.37	4.17
Aak1	0.05	0.58	30.19	7.48	4.66	22.88	22.62	30.76	1.32	4.86	20.81	17.92	24.81	11.38	6.21	20.49	36.49	8.93	11.19	17.14	22.92	20.25	20.11	40.13	9.29	4.72	16.29	39.62	22.3	12.25	77.03	72.23	78.8
Abr	0.0	21.23	15.85	67.65	36.46	51.48	32.45	89.76	17.28	42.4	30.22	24.3	42.92	27.41	42.33	1.73	61.3	49.73	51.59	44.64	61.53	80.22	28.69	74.12	40.33	18.05	41.38	99.87	0.7	22.05	272.97	271.82	286.04
Adam11	0.0	0.05	0.18	24.04	0.11	9.84	0.0	0.0	18.49	0.71	15.13	0.0	6.2	0.0	0.0	1.24	7.35	0.0	16.93	0.71	0.23	0.98	27.57	43.66	0.09	0.17	0.0	40.81	0.1	11.61	100.2	105.1	100.46
Agbl5	0.15	0.1	0.0	0.0	0.0	0.0	0.0	4.56	0.0	0.0	0.0	0.0	1.29	0.26	0.0	0.0	0.0	0.0	0.43	0.14	0.0	0.0	0.0	0.39	7.04	0.0	0.0	12.73	0.0	0.0	12.44	11.54	11.7
Ank2	279.4	68.53	99.7	135.09	100.34	133.77	91.83	162.08	103.88	54.0	114.57	173.29	107.42	74.72	167.96	78.66	113.36	94.08	132.88	61.63	94.43	62.8	39.92	117.04	136.29	80.07	104.51	168.94	92.66	117.3	250.02	222.38	264.29
Ankrd11	0.0	0.0	25.93	0.94	0.79	6.05	1.43	15.37	2.01	20.05	20.33	7.12	0.16	15.05	19.78	0.0	3.81	2.02	8.1	8.91	13.76	22.61	15.47	23.12	7.83	0.86	11.83	25.65	0.46	0.0	68.95	66.1	72.81
Apobec3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	3.19	2.71	2.25
