	Calb2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_7	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_52	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_22	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Ndnf_tdTpositive_cell_15	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_11	Pvalb_tdTpositive_cell_50	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_10	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_15	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_73	Sst_tdTpositive_cell_81	Sst_tdTpositive_cell_84	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_68
2210016L21Rik	123.09	112.68	30.03	208.15	37.41	0.92	17.9	76.08	172.34	21.88	172.48	163.15	246.29	0.35	281.7	4.16	4.45	171.82	56.71	382.77	0.46	59.38	147.97	575.82	299.17	306.13	341.25	170.31	250.21	59.18	193.57	41.29	88.49	1.72	104.03	207.13	226.79	131.78	129.85	0.76	0.6	159.76
Atg12	0.0	113.75	8.62	2.95	0.0	0.0	0.0	0.0	0.0	6.42	0.0	0.31	0.0	150.17	0.0	0.0	0.0	0.0	193.95	0.23	156.85	87.28	164.22	96.31	1.54	42.93	0.17	217.02	16.07	8.54	115.16	29.69	138.13	0.0	56.46	1.44	252.59	0.0	0.07	0.0	1.24	1.92
Cadps	89.09	73.12	11.05	46.0	0.09	125.86	74.74	116.71	66.45	24.12	45.82	27.26	3.21	124.44	0.0	152.92	7.35	15.04	43.34	112.47	128.56	55.6	138.04	134.91	97.95	59.39	128.11	116.2	129.1	72.74	213.78	66.35	75.32	42.35	29.46	81.94	65.2	0.0	9.89	14.93	3.36	0.32
Calb1	0.0	139.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	0.0	0.1	0.08	225.24	462.33	311.93	462.76	1.05	359.25	136.83	313.62	368.82	279.81	36.77	161.21	50.63	468.42	67.95	0.0	0.06	0.0	0.27	0.21
Cap2	0.11	15.6	0.0	0.0	236.51	0.35	179.33	0.1	0.1	0.0	0.11	0.0	0.0	0.0	0.0	48.64	0.36	0.0	0.0	15.57	22.32	0.03	214.46	44.5	215.77	0.65	44.87	73.9	6.91	49.21	116.26	13.91	28.04	0.17	58.03	40.39	185.39	0.0	0.05	0.24	0.42	0.0
Cd99l2	0.0	0.0	60.39	0.1	0.0	0.17	4.15	0.0	0.0	0.0	0.13	115.42	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.17	0.03	88.67	97.47	60.09	24.53	74.42	110.59	3.84	41.31	32.9	38.46	0.0	91.1	149.6	55.12	89.09	0.0	0.05	99.3	0.0	0.0
Chchd3	0.0	0.0	9.26	0.0	210.34	0.42	105.45	168.22	6.77	0.0	0.0	61.49	33.69	0.0	0.0	0.29	0.0	0.0	152.74	0.0	148.55	0.0	311.81	105.77	75.71	85.39	0.0	151.2	109.36	0.0	72.68	148.69	109.75	233.53	0.0	0.0	37.67	0.0	0.0	0.0	0.0	0.0
Col19a1	0.0	18.87	0.0	0.0	0.0	0.0	0.41	0.0	18.33	0.0	54.49	0.0	0.0	0.0	0.0	0.0	0.0	28.53	3.55	0.0	69.02	0.0	52.17	4.64	38.32	68.86	16.12	53.24	33.72	66.0	41.8	27.13	0.86	132.66	0.0	47.71	31.66	0.03	0.0	0.0	0.0	0.0
Ctnnd2	0.0	268.35	62.75	62.82	32.11	86.4	194.91	151.55	269.47	149.01	0.53	121.56	82.54	0.08	14.19	80.47	94.92	184.87	92.35	30.75	112.59	77.76	316.59	222.72	165.41	168.75	185.12	244.93	64.42	453.99	159.31	215.39	128.45	110.36	110.58	230.54	176.52	114.4	89.27	63.2	1.16	13.86
Ddost	229.88	22.55	0.0	0.17	0.0	1.1	0.19	0.0	4.2	0.0	0.0	0.0	0.26	0.0	0.09	0.0	0.38	0.24	0.24	0.23	24.4	0.4	87.4	0.48	57.43	72.78	0.35	7.43	3.35	4.04	112.76	35.65	1.27	1.37	1.18	4.01	13.07	1.12	0.07	1.18	0.76	0.0
