	Gad2_tdTpositive_cell_12	Ntsr1_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_39	Ntsr1_tdTnegative_cell_57	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_17	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Sst_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_100cell_1
2310037I24Rik	0.0	31.39	0.0	0.0	42.69	0.0	37.18	11.48	0.0	0.0	6.31	0.0	0.0	24.17	25.19
Actn1	0.0	46.72	0.0	0.0	51.21	0.0	12.68	35.64	0.1	0.0	0.25	0.0	0.14	25.83	38.87
Anxa7	0.4	336.3	0.0	0.0	301.96	0.0	76.28	46.24	0.0	0.0	0.66	0.0	0.0	50.66	84.21
Arl2bp	0.0	29.15	0.0	0.0	34.36	0.0	12.36	7.95	0.0	0.0	0.0	0.0	0.29	6.98	1.9
Cd9	15429.87	3098.38	7471.29	4473.77	4811.76	3694.1	115.9	0.0	11632.89	10696.69	9452.06	7282.86	9120.27	0.0	3.61
Cdadc1	0.0	857.95	0.63	0.28	450.08	0.72	118.14	89.22	23.92	0.0	0.43	0.79	0.58	143.67	156.23
Creb1	0.14	0.54	0.0	0.0	76.47	0.0	11.04	6.3	0.07	0.0	0.0	0.03	0.06	4.92	12.26
Ctps2	0.0	80.96	0.0	0.23	440.96	0.0	11.92	6.21	0.1	0.0	0.0	0.17	0.0	17.96	15.96
Ddx26b	0.0	280.82	1.55	0.0	271.38	0.0	19.2	20.35	0.0	0.0	3.7	0.0	0.0	6.08	8.18
Dnttip2	0.0	420.0	0.99	0.0	170.21	0.0	55.14	19.99	132.51	1.8	0.59	0.0	0.0	55.7	79.83
Dph3	0.0	58.71	0.0	0.0	612.44	0.14	37.29	17.15	0.0	0.0	0.0	0.0	0.18	30.91	34.94
Dut	0.51	77.01	0.0	0.0	56.78	0.61	6.06	5.43	0.16	0.27	0.0	0.0	0.15	1.2	4.77
Eml6	0.0	99.97	0.0	0.0	215.43	0.0	4.76	3.51	0.0	0.0	0.0	0.0	0.0	5.57	2.61
Gm14393	0.99	62.68	0.0	0.0	106.92	0.0	18.55	12.04	19.46	0.0	0.0	17.5	0.0	31.1	17.18
Gm5766	0.29	13.75	3.46	0.0	31.86	0.0	1.57	2.86	5.46	0.55	0.49	0.99	1.39	1.09	0.93
Ocrl	0.0	3.32	0.0	0.0	156.81	0.0	5.05	0.74	0.0	0.41	0.0	0.0	0.0	7.68	6.57
Pcf11	16.48	242.84	2.63	0.0	219.27	0.0	24.98	33.87	0.25	23.73	0.08	0.0	117.01	8.34	20.22
Pgm2	0.0	529.97	0.0	0.27	1091.85	0.58	10.79	2.45	0.0	327.98	0.0	0.0	0.0	33.71	33.23
Plaa	2.56	7.97	0.0	0.0	63.44	0.0	10.91	14.87	0.05	1.09	0.07	0.0	0.0	4.7	8.34
Pnmal2	0.0	128.46	51.73	0.0	91.72	0.0	33.1	13.87	0.0	0.0	0.34	0.0	0.0	15.78	9.43
Rsph9	481.73	670.94	0.0	0.0	893.7	0.0	12.18	52.12	0.0	0.0	0.0	0.0	0.0	110.81	52.24
Shank1	0.0	15.25	2.31	0.0	18.28	0.0	10.92	12.75	0.0	0.0	0.0	0.0	1.41	9.95	11.7
Supt16h	0.0	374.87	68.69	0.0	277.22	8.21	59.78	77.24	42.14	170.14	37.45	201.98	57.17	85.69	119.98
Thnsl1	0.0	553.36	0.0	0.0	398.75	0.0	27.78	23.08	0.0	0.0	0.12	0.0	0.0	44.27	53.65
Yod1	0.0	207.12	0.0	0.0	390.06	0.0	33.06	17.09	0.0	0.0	0.0	0.0	0.0	4.39	5.75
Zdhhc17	0.0	252.74	0.0	0.0	48.45	0.0	43.69	43.53	0.0	0.24	0.1	0.0	0.12	11.27	28.16
Zfp612	0.0	276.78	0.24	0.0	76.55	0.28	31.15	28.87	0.0	0.0	0.1	0.19	0.11	35.97	35.74
Zfp810	0.0	423.5	0.0	0.19	704.2	0.0	15.18	7.89	0.0	0.0	0.0	0.0	0.0	2.81	3.12
