	Ndnf_tdTnegative_cell_6	PvalbF.Gad2_tdTpositive_cell_54	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2210016F16Rik	0.1	3.67	0.0	7.76	8.47	8.83
2310067B10Rik	5.06	21.17	0.0	39.04	41.23	42.57
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
Actr3	0.0	56.7	0.0	195.76	189.66	180.15
Adam23	0.0	38.19	0.0	71.1	68.34	75.94
Arfgef1	0.0	21.95	0.0	51.81	44.82	48.91
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B4galnt1	0.0	0.0	9.89	125.68	137.59	125.52
Bag6	0.0	0.0	32.98	120.96	127.78	125.96
Brpf1	0.0	3.9	0.0	20.54	21.19	19.99
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccl27b	0.0	0.0	0.0	30.63	28.29	22.96
Celf4	0.63	76.01	0.0	266.86	243.03	269.08
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chst3	0.45	1.14	1.02	2.62	2.03	2.61
Clptm1l	0.23	28.62	33.36	102.29	103.13	104.18
Cmtm4	0.0	0.0	0.0	59.02	56.14	57.0
Csda	0.0	0.0	0.0	35.33	36.3	30.09
Cuedc1	0.0	0.0	0.0	19.89	23.12	23.61
Cxcl16	0.1	0.0	0.38	1.61	1.39	1.16
Cyb5b	0.0	0.74	0.0	103.68	103.32	101.13
Ddx19a	0.0	3.54	0.0	19.8	20.35	20.16
Ddx6	0.0	0.15	0.0	84.34	83.49	81.63
Dpp6	0.06	11.72	0.0	153.64	153.5	151.46
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Emx2os	1.6	0.45	0.0	2.09	1.82	2.23
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fbll1	0.0	0.92	0.0	34.35	40.91	38.67
Fbxo18	0.0	21.94	0.0	65.48	66.45	64.18
Fech	0.21	0.31	0.0	50.55	48.03	50.37
Flot2	0.0	0.0	0.0	98.88	102.37	104.94
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Furin	1.32	4.81	0.0	18.09	20.87	17.74
Gm13306	0.0	0.0	0.0	30.63	28.29	22.96
Gm15408	0.0	0.0	0.0	1.21	1.37	1.0
Gm2506	0.0	0.0	0.0	30.63	28.29	22.96
Gna12	0.0	16.01	0.37	61.33	66.07	72.07
Grb2	11.16	59.61	0.26	133.21	134.34	136.09
Herc3	0.0	0.19	0.0	122.19	119.82	118.17
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Icam5	0.0	0.0	0.0	205.38	230.72	204.31
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Mapk8ip2	0.0	22.95	0.0	190.79	206.07	202.05
Mapk9	0.0	50.14	0.0	154.54	146.91	148.44
March8	0.0	0.0	0.0	35.97	35.62	36.66
Med9	0.0	0.0	0.0	36.05	38.05	37.33
Nenf	0.0	75.65	0.0	84.33	98.19	102.4
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Npas2	0.72	2.08	0.0	24.96	26.62	28.47
Nr2f6	0.0	0.0	0.0	29.59	34.98	32.94
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Onecut2	0.0	0.0	0.11	1.83	1.47	1.93
Plcl2	0.0	0.0	16.21	48.89	47.95	46.14
Plxna2	0.0	2.66	0.0	47.46	43.4	46.56
Pogz	0.0	0.0	0.0	22.11	23.55	22.45
Ppm1g	0.0	45.36	0.0	70.74	76.25	69.34
Ppp1r26	0.0	1.98	0.0	14.64	14.13	14.44
Ppp2cb	0.0	28.73	0.0	155.13	154.21	139.78
Prrx1	0.17	0.07	0.0	4.61	4.23	4.13
Ptprf	0.0	3.07	0.0	34.48	33.3	36.66
Rasgef1a	0.0	1.27	0.0	204.44	211.08	213.34
Rnf220	0.0	14.55	0.0	107.18	119.36	110.65
Slc12a5	0.0	25.12	0.0	303.65	314.89	318.33
Slit3	0.0	0.27	0.0	25.89	25.15	27.05
Smpd4	0.06	8.32	0.0	42.75	41.55	42.43
Taf15	0.0	11.04	0.0	53.65	49.26	54.28
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tef	0.0	10.74	0.0	235.69	246.71	214.72
Thap2	0.53	0.0	1.36	11.78	9.81	10.56
Tnks1bp1	0.0	0.0	0.0	38.59	39.9	41.15
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttc7	0.0	0.0	0.0	6.53	5.61	7.2
Ubr5	0.0	22.63	0.0	51.79	48.87	53.01
Usp24	3.07	3.45	0.0	31.44	28.25	32.77
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.01	0.32	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
