	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500011H22Rik	21.67	9.39	36.06	0.0	5.01	16.59	0.0	28.48	132.3	74.3	2.37	368.42	1.04	58.12	25.56	10.82	2.34	0.0	29.57	11.34	37.64	20.05	62.6	21.56	48.9	28.05	0.0	11.37	25.84	86.52	0.32	46.45	7.11	1.91	0.0	70.39	13.97	12.21	12.69	18.87	18.54	14.99	57.19	80.45	0.17	33.65	0.0	21.43	7.71	62.37	27.68	41.65	0.0	44.18	25.73	56.59	40.73	40.5	39.49	10.34	21.54	92.55	62.73	38.06	54.64	50.73	66.66	59.7	50.33	90.96	99.25	83.48
4931428L18Rik	0.0	0.0	0.14	0.0	1.98	0.76	2.97	1.24	0.73	0.63	1.26	6.92	0.93	2.14	0.0	6.54	0.63	0.0	1.41	0.8	2.48	0.0	1.38	0.39	0.1	0.0	2.15	0.78	1.44	0.76	0.19	2.11	0.23	1.89	0.0	0.61	1.46	0.81	0.0	0.71	1.35	1.05	1.1	0.52	0.3	0.72	1.86	0.84	1.55	2.2	0.0	0.22	0.64	0.41	0.87	0.0	1.81	0.0	0.87	0.36	0.29	1.72	1.27	1.09	2.55	0.54	0.28	0.63	0.0	2.89	3.09	2.32
4932412H11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	6.14	0.0	0.0	0.0	0.0	2.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.44	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.19	0.2	0.23	0.12	0.17	0.16	0.21
5830403L16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	213.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.69	2.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.09	4.94	0.0	0.0	4.76	6.12	5.75	1.57	2.32	1.86
A330035P11Rik	0.0	0.0	0.35	0.89	0.0	0.0	0.05	0.15	0.0	0.0	0.0	57.9	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.06	0.09	0.12	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.08	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.06	0.0	0.67	0.26	0.0	0.08	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.35	0.0	0.0	0.1	0.0	0.0	0.63	0.55	1.1	0.78
Abcc9	0.45	0.23	0.16	0.0	0.03	0.25	0.91	0.75	0.12	0.59	0.76	1.6	0.0	1.12	1.18	0.3	0.17	0.0	0.13	0.11	0.2	0.38	0.51	0.21	0.43	0.21	0.13	0.23	0.22	0.66	0.2	0.32	0.23	0.68	0.26	0.49	0.45	0.37	0.36	0.33	0.23	0.28	0.18	0.18	0.24	0.2	0.25	0.72	0.69	1.32	0.31	0.37	0.7	0.13	0.22	0.14	0.26	0.47	1.1	0.19	0.4	0.97	0.36	0.37	0.66	0.69	0.76	0.7	0.73	3.33	3.27	4.07
Acot6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	4.45	5.01	6.2
Adamtsl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.75	0.87	0.65
Adc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.95	0.0	0.0	39.92	259.34	0.0	8.97	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.09	0.0	0.0	4.26	0.0	0.0	0.0	0.0	31.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.32	0.0	0.0	0.0	32.41	0.0	0.0	0.0	0.46	36.46	4.09	0.0	0.0	0.0	0.0	0.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3	12.81	0.0	2.67	4.35	0.18	32.41	36.09	33.73
Adrbk1	15.65	52.12	0.09	0.0	0.69	0.0	0.04	2.65	5.46	0.0	0.0	96.65	0.0	2.22	0.0	40.89	0.0	0.0	5.58	0.84	0.0	0.21	0.0	0.03	0.0	0.53	0.0	0.0	5.45	0.0	58.71	7.23	0.08	30.58	0.0	11.83	18.78	0.0	0.0	0.0	1.76	4.7	29.02	1.63	0.05	0.0	0.0	5.11	0.67	4.06	0.0	16.7	0.0	0.05	0.0	0.0	0.0	0.0	42.22	5.29	14.85	0.0	0.1	0.54	5.61	4.13	3.55	6.58	11.64	172.23	171.6	166.77
