	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_64	Cux2_tdTpositive_cell_63	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_23	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTnegative_cell_32	PvalbD.Slc32a1_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_76	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1700021F05Rik	0.0	0.0	263.94	247.25	274.27	70.59	0.0	0.0	241.48	0.0	42.8	0.0	241.93	229.5	352.48	42.48	420.33	208.54	199.98	122.1	104.4	0.0	144.55	127.75	9.1	276.49	23.83	99.81	112.06	0.0	278.49	67.87	0.0	0.0	0.0
Abat	201.94	1.95	0.0	85.56	218.51	132.51	1.61	113.93	42.27	0.0	0.0	0.0	104.6	250.26	125.56	11.69	112.52	134.1	27.18	154.89	14.12	3.66	0.08	0.26	44.19	74.22	41.73	8.71	13.65	82.06	0.0	0.11	71.62	0.0	18.49
Abca5	0.0	0.0	1.66	0.0	43.71	66.42	0.0	5.54	16.48	1.76	0.0	0.1	20.66	70.6	37.35	3.46	9.43	25.38	1.74	9.91	0.05	0.0	51.87	7.02	4.39	0.35	83.63	4.23	5.3	1.97	5.29	0.29	1.78	0.04	0.03
Acn9	370.34	272.83	331.7	260.15	279.11	127.89	0.0	0.0	0.0	0.67	0.0	0.8	98.65	327.61	396.36	0.0	0.0	65.92	77.17	0.0	0.0	567.83	355.94	0.79	0.0	79.39	151.53	106.03	99.56	0.0	0.0	28.74	172.62	240.46	577.41
Acyp2	0.0	0.0	0.0	0.0	133.24	113.2	0.0	0.0	233.71	200.33	34.24	1.28	416.42	407.5	413.75	133.12	0.0	96.23	151.42	0.0	325.59	0.0	210.11	0.63	0.0	173.47	134.14	60.41	64.3	268.58	51.51	0.0	0.0	109.8	466.45
Afap1	8.17	0.25	2.48	0.0	173.08	50.96	58.01	12.61	15.65	19.11	0.12	0.0	201.96	159.89	227.08	119.33	25.06	88.18	3.26	337.85	0.0	0.0	3.31	0.05	0.89	102.65	9.42	0.73	0.63	0.48	0.15	44.47	0.2	0.13	0.07
Aldh5a1	0.0	0.0	41.93	0.0	44.89	0.2	16.52	0.0	17.0	0.0	0.0	0.0	27.18	57.07	29.11	0.0	0.64	1.2	0.0	0.0	0.0	0.0	9.8	0.0	0.0	0.0	0.0	8.62	6.51	56.11	0.0	0.0	29.12	5.01	53.19
Ankrd34b	0.0	5.16	0.0	0.0	8.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.99	42.62	46.67	0.0	0.0	0.0	39.91	2.08	0.1	0.0	4.79	0.0	56.36	0.0	10.27	0.87	0.26	0.0	0.0	0.0	0.0	0.0	0.0
Ankrd55	2.17	0.0	2.01	0.23	30.62	0.2	0.33	306.44	216.1	0.0	0.0	0.0	0.25	2.23	0.0	0.0	0.0	20.12	0.14	0.0	0.0	0.13	126.81	83.39	0.87	382.23	113.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atp1b1	507.31	409.02	172.8	69.74	999.99	448.2	86.94	485.96	279.42	400.38	232.71	0.83	973.75	1251.43	1476.55	122.48	408.07	443.9	428.03	333.88	684.85	662.85	69.78	168.94	281.17	301.08	285.19	300.78	300.06	395.97	887.78	415.87	524.57	485.8	534.99
