	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001C19Rik	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	1.39	0.0	0.28	0.31	0.0	0.0	0.21	0.0	0.29	0.0	0.0	0.0	0.34	0.0	0.0	0.31	0.26
2900041M22Rik	0.0	0.0	0.0	0.0	0.0	44.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	2.32	2.15
3110082I17Rik	0.0	0.0	0.0	0.0	0.0	28.55	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	4.68	0.0	4.22	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	10.95	11.68	11.72
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930449E18Rik	0.0	0.0	0.0	0.0	0.0	36.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.0	0.0	0.0
4930545L23Rik	0.0	0.0	0.37	0.0	0.0	16.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.54	0.0	0.0	0.04	0.0
5430402O13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.02	1.56
5730528L13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.38	31.52	0.0	71.37	0.0	0.0	0.0	1.04	0.0	0.0	27.15	22.58	0.0	0.0	0.0	28.6	0.0	0.0	16.59	15.92	16.38
Acot1	0.0	55.87	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.35	15.76	17.02
Adamtsl5	0.0	0.0	0.0	0.0	0.0	16.14	8.21	0.0	39.4	0.0	0.23	7.17	8.68	0.0	0.0	1.15	0.16	17.13	39.41	0.0	11.58	0.0	29.6	63.94	0.87	0.0	0.0	21.29	5.96	6.57	7.11
Adcy1	0.0	0.0	0.0	7.64	9.11	15.53	32.0	53.39	21.75	22.11	16.7	27.78	33.35	16.03	75.34	13.25	4.37	18.99	10.56	37.29	43.0	0.56	5.86	21.13	48.99	41.51	11.55	63.17	224.96	212.91	233.52
Adi1	2.09	0.0	0.0	5.11	0.0	2.01	3.49	0.29	6.05	75.28	0.63	6.38	8.23	0.0	6.1	71.36	2.44	39.92	3.0	65.37	1.53	65.72	7.33	69.7	11.71	9.9	67.0	1.16	41.45	40.82	38.67
Akt1	0.0	0.0	0.0	0.0	0.0	39.24	18.4	6.58	54.2	0.88	14.18	30.73	13.05	1.75	0.23	1.56	0.0	61.0	71.79	22.07	21.39	37.06	32.04	14.41	0.0	48.74	15.22	31.24	127.05	134.23	125.75
Ankrd5	0.0	0.0	0.0	0.0	0.0	26.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.68	0.94
Arhgap20	0.0	0.0	0.0	0.0	0.0	27.56	2.47	6.31	9.11	0.0	0.17	17.56	15.32	0.0	1.41	0.0	1.04	16.83	0.05	6.55	4.53	0.51	16.8	22.71	0.06	0.0	8.56	0.0	44.82	40.43	42.07
Arid3b	0.0	0.0	0.0	36.49	0.0	35.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.37	5.25	5.54
Arl5b	0.0	0.16	0.0	0.08	0.0	42.3	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.08	0.0	0.42	0.0	0.0	0.0	0.25	0.0	13.21	11.43	10.15
