	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_39	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_175	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24	Vip_tdTpositive_cell_16
1700016D06Rik	0.4	1.75	5.79	54.44	43.96	6.48	0.59	2.91	15.23	40.95	2.34	3.72	3.38	2.08	3.71	9.76	2.73	9.07	6.82	12.08	2.09	11.83	5.86	2.86	7.52	1.47	7.15	0.0	1.1	0.54
1810012P15Rik	0.26	2.33	1.23	15.37	17.76	8.0	2.5	2.66	11.1	8.97	1.49	1.83	2.87	0.0	8.58	2.66	4.6	0.96	4.67	1.56	2.67	7.17	0.96	0.35	2.66	0.32	0.04	0.26	0.23	0.0
2310010M20Rik	12.14	23.87	22.93	95.04	96.44	58.73	66.42	70.63	115.69	185.55	52.38	48.98	29.05	46.72	52.56	50.05	53.82	24.98	78.05	59.26	79.97	57.6	18.92	47.43	29.92	44.11	13.75	0.67	18.1	2.92
2700089I24Rik	0.77	0.51	1.04	10.16	8.06	2.8	0.39	7.43	22.84	17.56	0.99	2.81	0.0	0.67	0.83	0.19	1.19	0.0	1.23	6.03	3.63	12.68	1.85	0.56	1.48	5.83	0.0	0.0	2.53	0.75
4930471M23Rik	214.72	0.0	0.0	457.92	819.6	0.0	0.0	0.0	0.34	0.0	0.0	0.1	0.0	0.39	357.23	0.11	0.0	0.0	0.11	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930480K15Rik	0.0	0.0	0.0	0.0	316.07	0.0	0.0	13.87	576.11	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.17	274.18	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5830416P10Rik	0.67	0.92	0.73	2.26	7.59	1.39	2.51	4.69	4.87	6.32	0.03	0.85	1.88	2.6	2.66	0.49	1.92	0.53	3.58	3.26	4.12	4.22	1.32	0.6	0.26	0.0	0.11	0.0	0.0	0.0
9130221F21Rik	6.6	1.8	1.93	10.19	55.18	5.26	0.36	7.26	71.14	48.98	4.79	18.39	2.06	27.32	17.53	5.49	3.68	1.5	34.32	47.59	7.84	39.47	2.86	1.34	4.31	18.36	1.35	0.0	0.0	0.67
9330159F19Rik	0.6	1.1	0.0	18.25	593.59	552.39	1.12	72.2	34.07	23.25	1.03	2.3	1.06	0.4	3.07	0.86	0.76	2.12	2.34	22.26	0.92	284.07	0.0	2.36	0.68	0.42	0.6	0.0	0.19	0.0
9630028B13Rik	0.29	0.88	0.0	4.47	7.03	2.55	1.47	5.8	3.14	6.33	2.47	2.34	1.56	0.0	1.17	0.52	2.81	0.49	2.22	2.91	1.92	3.2	2.13	0.0	1.2	0.35	2.63	0.0	0.0	0.0
