	Chrna2_tdTpositive_cell_64	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
2310022A10Rik	49.13	0.0	0.0	0.0	0.0	10.49	48.41	0.0	0.17	0.0	26.03	0.23	13.36	0.0	0.96	0.0
7530416G11Rik	0.25	0.0	0.0	0.42	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.39	0.49	0.0	0.17	0.0
9430023L20Rik	248.37	0.0	66.94	6.38	119.73	8.67	128.7	0.0	104.84	32.71	53.19	56.71	45.02	113.63	57.59	0.0
A930007I19Rik	1.74	0.0	0.11	0.41	0.0	0.84	1.73	0.0	1.06	0.18	0.18	0.19	0.17	0.98	0.59	0.0
Alkbh4	84.14	0.0	0.0	0.0	0.0	0.0	49.5	1.04	0.0	14.95	0.0	48.67	0.0	42.48	0.34	0.0
Ap3m2	289.6	0.0	70.11	22.78	0.0	84.88	250.75	41.69	118.27	36.32	46.35	74.76	43.54	85.35	79.54	1.0
Ap4s1	129.8	0.0	0.0	27.48	0.0	34.32	79.96	0.0	5.41	29.42	15.15	67.44	0.0	0.0	0.0	0.0
Ate1	159.56	0.0	2.32	75.3	90.18	91.5	75.86	10.35	27.55	65.57	75.21	30.69	25.81	44.44	13.18	0.14
Atg4b	72.17	0.0	42.18	3.06	0.0	32.15	45.41	0.0	48.48	32.0	35.63	40.19	36.7	17.8	39.31	0.0
Bola2	243.19	0.0	102.95	224.22	0.0	190.77	185.78	61.72	211.1	193.68	332.87	184.42	212.96	102.92	286.16	0.0
Cbx7	29.71	0.0	0.0	1.15	0.0	19.5	15.17	127.53	22.99	1.15	37.23	1.5	1.12	21.35	36.46	0.0
Cd8a	1.22	0.0	0.0	0.0	0.21	0.0	0.59	0.11	0.35	0.09	0.53	0.14	0.17	0.0	0.21	0.0
Cdc40	72.86	0.0	0.07	10.18	0.0	28.44	43.25	6.36	40.24	15.29	28.05	5.19	0.32	13.51	0.0	0.0
Clcn3	266.03	0.0	95.29	122.72	125.24	129.64	174.13	227.36	230.27	110.03	125.04	98.64	92.04	121.51	42.82	0.0
Csdc2	193.82	0.0	0.2	133.48	58.55	64.28	129.54	0.14	0.62	8.61	11.52	48.9	74.69	1.64	43.55	0.0
Csk	38.86	0.0	0.33	7.17	0.0	13.18	19.27	0.47	31.96	24.76	0.54	14.6	1.43	0.0	11.33	0.0
Dhrs7b	109.97	0.0	0.0	65.07	0.0	25.21	211.12	0.0	78.55	54.02	48.12	116.41	0.0	0.0	91.61	0.0
Dhx15	116.51	0.0	0.25	11.41	1.09	99.27	36.93	3.3	7.15	22.76	11.38	42.61	4.51	0.0	15.93	0.0
Eif2s3y	107.51	47.88	0.43	77.54	64.05	18.92	124.54	0.0	62.96	35.87	8.63	82.86	111.19	100.7	0.0	0.0
Eps15l1	134.52	0.0	42.31	65.01	0.0	24.7	63.85	7.81	159.78	35.32	33.42	51.5	13.34	76.17	24.3	0.0
Erc1	38.57	0.89	1.6	7.27	11.85	14.45	0.83	0.51	23.82	0.29	1.21	33.37	3.72	0.47	3.51	2.75
Fbxw11	19.8	0.0	0.0	1.77	0.16	45.27	56.72	0.0	6.15	16.62	0.0	44.47	3.6	8.71	0.0	0.0
Galnt13	44.55	0.0	0.74	24.08	23.72	3.95	9.21	0.16	30.61	21.07	17.21	4.14	13.54	8.04	21.55	0.0
Gnao1	100.17	0.0	22.83	18.78	1.55	38.04	106.64	2.63	95.21	73.59	71.66	53.83	77.82	93.79	48.87	0.0
Grsf1	333.85	0.0	92.62	74.03	0.0	145.98	275.1	34.41	37.25	127.5	142.29	55.41	212.89	160.37	215.48	0.0
Gstm4	110.66	0.0	0.0	0.0	0.0	0.0	49.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifit2	55.28	0.0	6.07	0.0	0.0	0.0	56.85	0.0	9.5	9.09	0.0	36.7	0.0	0.11	0.0	0.0
Ipo11	53.38	0.0	16.33	7.09	0.15	26.93	27.72	0.0	2.84	23.69	22.25	0.0	17.5	6.91	71.32	0.0
Kcna6	29.53	0.0	31.45	2.1	0.0	0.66	61.21	2.8	0.0	6.63	29.35	8.26	11.87	7.19	2.57	0.0
Klhl5	39.22	0.0	9.82	0.0	0.0	0.19	0.0	0.21	0.0	12.42	0.0	43.77	2.05	33.93	15.52	0.0
Ldhb	5992.24	5274.92	10118.08	10894.4	8302.41	10165.1	6844.28	8469.38	10004.69	13571.31	12546.17	9755.78	11010.48	10182.84	11746.38	5577.5
Lrrc4b	15.09	0.0	7.78	4.75	2.16	5.49	9.04	1.3	8.9	3.37	8.41	8.17	10.71	6.65	5.08	0.0
Ltn1	12.14	0.0	0.0	2.13	0.0	7.97	27.29	0.59	0.23	7.77	7.23	6.72	30.19	0.86	4.07	0.0
Mical2	36.91	0.0	5.82	16.07	0.0	6.3	64.1	0.05	13.63	13.72	13.39	12.75	3.82	18.26	3.63	0.0
Myadm	81.61	0.0	1.78	6.09	1.58	0.46	79.6	0.0	24.93	7.41	44.45	3.9	0.19	29.43	4.09	0.0
Napg	212.39	0.0	95.48	105.57	119.23	199.27	159.77	17.3	184.75	78.76	189.82	211.44	127.32	250.87	205.35	0.0
Nubp2	197.65	0.0	2.48	173.49	0.0	193.09	64.04	0.0	47.51	75.11	0.0	0.0	133.45	0.0	67.62	0.0
Pcca	105.13	0.0	10.15	0.0	0.0	2.25	67.89	0.95	8.73	6.73	0.0	0.0	0.21	0.0	138.02	0.0
Pdpk1	77.55	0.0	23.4	21.21	14.03	10.47	62.8	15.56	48.28	1.4	16.89	34.21	17.99	41.01	7.18	13.82
Phc1	75.75	0.0	0.0	0.0	0.0	0.0	49.09	0.1	7.62	0.0	1.59	0.12	0.0	0.24	0.0	0.0
Pip4k2a	86.62	0.0	72.83	6.72	0.0	16.57	16.24	0.0	1.67	7.89	25.54	0.37	31.4	1.94	19.06	0.0
Pip4k2c	57.49	0.0	0.0	0.0	0.0	0.0	29.77	0.0	18.21	0.0	1.21	27.12	0.0	10.14	0.69	0.0
Ppm1g	109.26	0.0	0.0	0.0	0.0	5.13	61.83	0.0	1.28	0.0	0.0	0.0	22.55	0.0	26.92	0.0
Prdx3	922.22	5.55	181.55	364.92	85.54	297.72	307.11	12.67	550.35	534.03	461.9	467.65	162.07	443.47	416.68	0.0
