	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700047I17Rik2	6.75	5.31	0.66	0.32	0.76	3.78	2.15	5.1	16.25	49.44	4.73	6.68	7.92	4.6	0.97	5.07	14.74	10.07	22.21	2.3	10.01	10.53	5.51	4.19	26.95	5.27	9.6	1.07	3.41	11.48	11.15	2.03	3.87	12.08	5.45	16.78	18.26	23.92	4.82	15.19	21.12	6.64	12.49	11.21	13.41	14.19	19.02	17.56	16.4	17.92
2310015A10Rik	0.0	0.0	0.0	12.67	0.0	15.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.32	0.0	0.05	0.0	0.0	0.0	4.32	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	5.08	5.31	6.73
4831440E17Rik	0.0	19.35	0.29	0.0	0.0	0.0	0.07	0.0	0.13	0.22	0.0	0.0	0.0	0.14	0.05	0.04	0.09	0.06	0.0	0.0	0.77	0.05	17.44	0.0	32.03	0.07	19.31	0.13	0.0	0.1	0.05	0.0	0.03	0.11	0.0	0.44	0.06	0.0	0.1	0.0	0.26	0.06	0.3	4.87	1.71	2.63	3.29	2.73	2.53	3.78
Abcc1	0.18	4.58	2.74	0.0	2.31	0.27	0.0	5.79	3.78	0.0	1.95	0.0	18.28	7.35	0.52	0.03	2.61	0.0	0.0	1.08	0.0	0.18	36.5	0.0	73.35	0.0	3.79	0.0	0.0	0.0	25.0	9.28	2.96	1.03	8.46	5.78	0.1	0.57	0.53	0.0	0.0	0.0	0.0	2.01	5.37	2.75	5.26	12.66	12.79	14.57
Aco1	22.36	0.11	0.63	0.0	0.42	1.84	269.42	0.72	0.34	0.75	0.15	47.05	0.67	15.19	0.09	0.22	0.44	0.34	0.71	10.97	0.75	0.47	29.73	8.41	96.16	2.68	0.49	11.36	0.36	1.21	0.22	0.73	43.65	0.16	0.83	5.51	18.6	0.37	0.37	0.41	0.95	0.14	0.42	8.96	0.62	4.99	4.11	20.74	21.59	20.61
Actn4	4.84	0.0	3.93	0.0	1.43	0.0	0.0	0.0	4.44	0.13	22.55	3.99	0.0	3.84	0.0	1.87	0.1	0.0	1.44	0.08	10.03	2.14	17.74	2.72	29.9	0.0	2.75	2.12	2.33	0.0	0.83	24.01	29.47	0.0	1.23	35.12	0.0	0.66	8.37	7.94	2.76	0.4	0.0	16.46	16.2	21.02	21.72	91.94	95.06	96.65
Ampd2	28.44	6.75	0.56	1.09	0.0	4.49	0.0	0.05	0.06	0.14	0.0	0.0	27.5	0.26	11.45	0.05	37.37	0.09	66.76	142.16	30.79	44.19	69.61	33.93	205.22	0.88	47.5	25.54	43.43	0.9	35.64	64.01	64.49	20.78	67.88	15.88	29.74	72.03	71.83	0.9	0.88	44.69	0.0	57.92	43.81	42.86	41.26	43.08	46.45	44.94
Avpr1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.31	0.53
BC060267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	8.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	2.93	2.03	4.77	5.58	5.28	5.35
Bai1	0.0	0.0	0.33	0.0	0.06	0.0	0.0	0.03	0.47	0.0	0.41	0.0	0.23	0.03	0.23	0.0	0.08	0.0	0.0	2.85	0.13	0.03	0.04	0.0	0.29	0.46	0.08	0.0	0.0	0.0	0.0	0.28	0.09	0.08	0.0	3.09	0.0	0.04	0.17	0.35	0.07	0.0	0.0	1.0	1.22	1.61	1.05	192.34	203.59	216.02
