	Ntsr1_tdTnegative_cell_39	Scnn1a.Tg3_tdTnegative_cell_7
1700047I17Rik2	31.74	17.98
3425401B19Rik	0.2	0.0
4930546K05Rik	0.78	0.0
A330093E20Rik	0.03	0.0
AI429214	0.24	0.0
Adrb3	0.12	0.0
Akr1b10	151.92	0.0
Aldh8a1	0.24	0.0
Armc1	273.58	141.78
Bcs1l	0.28	0.0
Btf3	1415.04	208.02
C230091D08Rik	31.35	9.48
Capn6	0.14	0.0
Cbl	0.39	0.0
Ccdc91	114.18	0.0
Ccdc93	0.07	0.0
Cdc42ep1	0.2	0.0
Cdkn1c	0.8	0.0
Cenpc1	508.82	2.98
Clk1	1807.19	678.61
Col4a4	0.06	0.0
Cpox	13.41	8.09
D18Ertd653e	0.4	0.0
D830031N03Rik	0.06	0.0
Dcaf12l1	0.14	0.0
Dera	337.89	0.0
Dnahc5	0.03	0.0
Dnajc15	691.7	0.0
Dner	0.28	0.0
Dtx1	253.55	0.0
Egfem1	178.85	0.0
Eif2c1	0.07	0.0
Eif3l	1375.97	0.0
Etfb	1210.79	364.88
Fam177a	31.74	17.98
Fancd2	0.1	0.0
Galnt3	0.58	0.0
Gm14325	83.26	3.37
Gm19705	139.48	0.0
Gm8709	4.29	0.0
Gm8801	3.12	0.0
Gpr17	1326.45	549.49
Hapln4	0.05	0.0
Hist2h3c1	0.2	0.0
Hoxa1	0.12	0.0
Hs3st4	0.2	0.0
Hsd17b4	1123.54	14.22
Ikbkap	265.15	0.0
Impg1	0.14	0.0
Iqgap2	0.1	0.0
Irf6	37.52	0.0
Islr2	0.12	0.0
Itga9	0.1	0.0
Kctd1	0.29	0.0
Kif5c	0.07	0.0
Klhl7	458.8	42.78
Maea	0.24	0.0
Map2k4	60.64	0.0
Mef2d	0.2	0.0
Mknk1	0.4	0.0
Mllt4	0.07	0.0
Mtf1	0.06	0.0
Myt1	0.39	0.0
Necab3	0.56	0.0
Nek9	321.91	0.35
Nexn	0.2	0.0
Odz1	0.06	0.0
Odz3	0.05	0.0
Ofd1	0.1	0.0
Ogfrl1	0.1	0.0
Oscar	0.12	0.0
Pan2	0.56	0.0
Pard3b	0.06	0.0
Pfkm	649.92	0.0
Pgam5	0.24	0.0
Pitpnm2	0.07	0.0
Pkd1	0.03	0.0
Plekha8	0.07	0.0
Prkar2a	0.12	0.0
Rab43	0.12	0.0
Rimbp2	0.12	0.0
Rnf44	179.18	115.38
Rptor	0.14	0.0
Rsph4a	0.14	0.0
Samd10	0.24	0.0
Samd12	0.56	0.0
Serp2	0.58	0.0
Setd4	45.13	0.0
Sh3yl1	0.29	0.0
Shank1	18.28	0.0
Shisa6	0.14	0.0
Sirt2	3481.94	17617.51
Slc26a11	0.56	0.0
Snrpc	213.18	2.66
Speer4b	1.12	0.0
Tasp1	0.24	0.0
Tcf23	0.12	0.0
Tmem201	0.14	0.0
Tmem65	0.14	0.0
Tnpo2	53.14	7.78
Tsen2	0.29	0.0
Ttbk2	16.49	0.15
Ttc9c	579.5	15.08
Ube2o	73.62	0.0
Unc13c	0.12	0.0
Uros	0.28	0.0
Usp28	580.96	0.0
Wnk4	0.12	0.0
Zfhx2as	0.2	0.0
Zfp715	33.23	0.0
Zfp943	17.69	0.76
mt_AK153747	299.31	174.45
mt_AK159675	34.95	0.0
