	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_89	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_97	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_45	Scnn1a.Tg3_tdTnegative_cell_21	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_42
2810403A07Rik	17.65	0.72	47.94	179.54	19.02	1.13	0.0	37.6	120.29	42.13	0.0	31.2	0.0	1.08	47.9	55.5	49.76	5.26	0.0	53.45	0.0	17.58	0.13	0.0
AI314180	2.01	0.59	45.46	0.76	11.98	0.0	0.07	72.15	56.64	9.7	0.07	0.0	0.0	26.39	18.89	16.09	26.22	13.8	10.29	9.0	0.0	2.57	32.66	10.09
Acn9	953.56	67.68	235.89	417.02	0.0	0.0	119.73	0.0	478.56	58.93	89.5	0.0	0.0	120.45	0.0	207.21	333.79	238.25	0.0	0.0	172.62	577.41	0.0	0.0
Anapc4	0.0	25.3	0.0	0.0	72.36	0.13	52.7	3.55	155.19	113.67	134.25	117.08	0.0	0.0	195.05	113.07	91.71	51.14	0.0	0.41	7.59	0.18	26.16	25.54
Ankrd34a	0.0	0.53	1.78	0.0	89.01	40.81	6.94	0.2	100.99	0.0	0.15	92.97	0.0	0.0	0.0	0.0	0.0	13.54	26.64	0.0	0.0	0.0	0.0	0.0
Apoo	1084.61	203.22	262.15	317.55	1156.16	285.03	156.13	251.15	1187.07	432.05	0.0	151.67	0.0	161.93	440.04	569.82	405.06	333.62	293.63	503.12	1089.37	382.3	0.0	0.0
Arhgap44	250.44	106.0	68.31	79.25	203.86	542.16	242.37	329.6	349.63	468.9	44.48	185.22	0.0	372.22	232.66	298.68	169.11	284.47	273.95	86.98	58.36	153.63	261.98	169.84
Arid4b	59.86	0.0	0.39	0.0	0.2	0.39	13.94	0.0	35.39	55.94	6.1	0.0	0.0	15.84	63.38	82.52	60.61	15.38	47.76	36.61	0.52	0.0	93.82	0.45
Atg13	63.27	69.66	0.0	0.0	75.14	49.97	0.89	0.07	79.04	0.0	39.97	0.0	0.0	45.09	2.69	0.0	0.0	22.18	18.05	83.26	0.0	42.06	0.0	0.06
Atp13a1	33.8	0.1	0.0	0.0	24.8	3.45	39.81	0.13	75.64	0.0	0.0	0.11	0.0	0.0	0.0	39.34	17.04	18.96	3.54	0.0	0.11	0.18	0.0	0.0
Becn1	55.77	88.99	0.0	0.0	139.29	250.7	88.4	90.04	108.84	222.45	0.0	71.65	0.0	95.28	76.49	111.15	187.2	133.64	0.0	74.46	121.58	90.59	10.52	0.0
Calm2	20249.89	15298.81	15500.91	17910.32	14739.65	17716.09	19578.34	16955.98	24749.41	21064.56	18026.74	16455.41	3792.22	17284.76	16300.18	19581.9	19276.37	18644.66	22860.58	23322.9	25106.81	21777.08	23557.63	18621.16
Capn7	0.0	0.0	0.0	0.14	23.13	29.64	0.0	26.86	33.91	0.0	0.0	0.0	0.0	0.0	3.11	46.13	57.53	12.7	0.31	0.0	5.78	0.0	0.0	0.0
Cask	14.27	3.87	21.13	226.54	65.5	46.47	3.09	7.41	197.92	26.14	33.03	34.64	0.0	13.89	70.4	68.69	99.33	52.24	0.34	24.1	53.95	44.54	53.87	0.13
Cct3	1.79	111.96	36.72	0.0	330.27	263.59	180.17	773.49	575.84	177.64	120.63	0.23	0.0	268.96	318.19	439.18	629.2	221.48	180.59	0.0	19.97	123.89	195.46	0.46
Chchd3	79.36	0.0	60.57	0.0	117.48	77.28	15.6	71.58	172.71	46.33	0.0	0.31	0.44	23.02	190.78	77.35	147.56	57.4	6.48	0.0	0.0	160.64	1.1	0.0
Cox17	535.51	381.19	380.1	180.56	370.73	585.71	174.5	364.01	648.29	201.87	350.63	571.05	0.0	211.08	490.2	360.63	256.46	476.32	213.87	556.4	264.97	430.65	283.5	419.15
Ctnna2	0.0	0.63	0.0	0.51	49.05	0.17	1.59	49.5	43.18	2.63	6.16	0.55	0.0	2.62	1.46	18.48	41.2	13.69	60.29	0.07	28.26	28.15	19.54	0.0
Dbnl	1.15	0.0	0.0	1.51	107.88	0.87	30.68	2.12	151.16	3.53	0.0	0.19	0.0	19.26	56.54	53.06	2.69	27.57	2.66	0.72	0.0	0.82	0.82	27.17
Dctn6	78.09	234.89	279.06	591.97	467.33	545.89	313.69	377.78	176.65	357.21	71.08	131.76	0.0	444.97	250.13	303.54	952.47	404.9	625.49	1109.49	890.35	1026.23	0.0	330.72
Dus2l	0.0	5.86	0.0	0.0	0.0	120.6	25.95	0.0	138.11	135.03	0.0	4.07	0.0	0.0	0.0	0.0	108.39	28.77	0.0	0.0	0.24	66.39	0.0	0.0
