	PvalbF.Gad2_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_4	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310015A10Rik	0.0	0.0	0.0	5.08	5.31	6.73
5031439G07Rik	4.11	0.0	0.0	59.96	60.35	65.54
9230009I02Rik	0.0	0.0	0.0	0.75	0.16	0.45
A330076C08Rik	0.0	0.0	0.0	0.87	0.63	0.69
A730043L09	0.33	0.68	0.0	2.31	1.44	1.47
Alg9	0.0	0.0	0.0	16.91	17.46	15.65
Amigo3	0.0	0.0	0.0	5.01	4.83	5.81
Amy2a2	0.18	0.0	0.0	0.26	0.19	0.21
Amy2a3	0.18	0.0	0.0	0.26	0.19	0.21
Amy2a4	0.18	0.0	0.0	0.26	0.19	0.21
Anapc5	13.06	0.77	0.0	149.29	156.65	151.28
Ankrd13d	0.0	0.0	0.0	58.38	59.24	61.04
Ap3b1	0.0	0.0	0.0	35.87	34.14	33.92
Arhgap27	0.0	0.0	0.0	10.7	13.15	11.66
Ascc2	0.3	0.0	0.0	18.34	16.82	17.46
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Barhl2	0.0	0.0	0.0	0.39	0.85	0.6
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Camsap2	11.6	0.0	0.05	69.2	62.43	66.22
Cbl	0.0	9.86	0.0	24.26	20.82	24.59
Ccbp2	0.0	0.0	0.0	1.91	2.54	2.3
Ccdc88b	0.0	0.0	0.0	2.13	2.33	2.72
Cdc42bpg	0.0	0.0	0.0	3.02	3.12	2.5
Cdh22	0.0	0.0	0.0	26.71	27.01	29.44
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chadl	0.0	0.0	0.0	11.92	14.48	15.36
Clk2	0.0	0.0	0.0	28.78	30.63	29.43
Cnnm3	0.28	0.17	0.0	16.26	16.32	16.88
Cxxc1	0.0	0.0	0.0	39.87	45.53	42.76
Ddi2	0.0	0.0	0.0	27.95	26.68	27.82
Dhrs4	0.0	0.0	0.0	13.48	12.16	14.06
Dmxl2	17.76	0.0	1.18	84.29	75.36	80.67
Dnajb3	0.0	0.0	0.0	2.19	2.81	2.15
Fam126a	0.0	0.0	0.0	11.02	11.8	11.62
Fblim1	0.0	0.0	0.0	1.51	1.07	1.24
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabbr1	6.07	0.0	0.0	381.73	382.23	380.88
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Ggt5	0.0	0.0	0.0	1.23	1.36	0.96
Gm14164	1.31	0.0	0.0	1.84	1.68	2.11
Gm3317	0.0	0.0	0.0	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	2.38	2.75	2.9
Grhl1	0.0	0.0	0.0	12.77	12.77	12.33
Grm7	0.0	0.0	12.67	38.61	37.39	39.11
H2-M3	0.0	0.0	0.0	3.65	3.63	3.98
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Htr1b	0.0	0.0	0.0	10.36	8.65	9.29
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Ints7	21.21	0.0	0.0	32.76	33.78	32.16
Kdm4a	0.0	0.0	0.0	33.21	34.05	34.15
Kdm5c	16.21	0.0	0.0	34.89	26.41	27.1
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khnyn	0.0	0.0	0.0	11.18	11.32	12.56
Krba1	0.0	0.0	0.0	18.03	18.34	19.19
Lair1	0.0	0.0	0.0	5.1	5.25	5.32
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Leprel4	0.0	0.0	0.0	11.07	13.58	11.92
Mapk13	0.0	0.0	0.0	0.65	0.54	0.89
Mettl7a1	0.0	0.0	0.0	32.45	28.58	29.07
Mmel1	0.0	0.0	0.0	0.87	0.73	0.59
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nbeal2	0.0	0.0	0.0	5.47	5.62	5.71
Nin	0.0	0.0	0.0	21.48	21.19	22.87
Nptx1	0.0	0.0	0.0	195.59	193.13	194.22
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nrtn	0.0	0.0	0.0	4.01	6.04	4.59
Nup37	0.0	0.0	0.0	6.07	5.78	5.86
Papolb	0.0	0.0	0.0	0.34	0.2	0.22
Pcbd2	9.3	0.0	0.0	17.59	20.36	21.12
Pex7	20.67	0.0	0.0	31.55	31.4	30.73
Plekhh1	0.09	0.0	0.0	17.46	17.52	20.61
Ptgfrn	0.0	0.0	0.0	22.87	21.65	22.36
Ptprc	0.0	0.0	0.0	1.68	1.5	1.95
Rgmb	0.0	0.0	0.0	37.99	40.82	42.33
