	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Nkx2.1_tdTpositive_cell_13	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89
1700128F08Rik	4.43	17.38	30.87	31.95	36.05	0.48	14.13	35.73	27.55	26.58	19.13	26.41	50.7	12.04	82.74	45.69	14.58	13.72	35.98	22.77	36.68	52.37	53.96	36.9	35.37	5.79
2610005L07Rik	3.76	0.64	26.65	46.68	62.13	8.38	26.74	32.92	55.89	44.33	38.29	52.36	105.09	14.8	45.46	21.91	35.76	51.45	81.67	74.16	51.46	33.97	37.03	53.57	15.14	2.83
4930511M06Rik	14.24	27.31	43.23	31.61	65.23	10.35	31.43	36.74	57.46	45.0	61.98	66.05	66.94	38.21	68.26	82.59	38.62	32.45	53.73	70.66	60.3	74.94	48.0	60.72	55.24	4.23
4932411L15	1.57	59.02	73.29	87.85	130.71	0.24	76.95	68.61	168.13	69.32	89.48	102.59	177.9	76.15	273.36	151.5	58.11	102.02	182.75	129.03	210.4	219.89	301.36	192.76	174.44	2.23
5430427O19Rik	0.09	2.15	1.61	3.21	1.8	0.0	1.07	2.51	2.72	1.48	0.48	3.2	4.28	0.62	7.06	3.6	1.96	1.8	2.52	3.25	3.5	3.92	3.43	3.38	3.34	0.0
6030422M02Rik	8.49	25.44	27.92	24.09	41.12	0.1	27.22	27.15	36.22	30.02	31.99	53.92	57.39	22.01	56.42	53.95	22.1	25.17	47.76	36.8	43.0	34.13	42.01	45.25	55.05	0.0
9930111J21Rik1	0.41	0.98	2.44	2.15	4.2	0.5	1.78	2.94	3.84	4.62	3.71	3.9	4.65	3.58	4.43	6.01	2.95	3.93	8.44	5.74	10.34	7.63	12.28	7.07	6.05	0.8
A730017L22Rik	12.26	24.03	22.91	40.69	47.05	0.58	38.88	35.76	45.54	34.74	46.33	50.48	49.98	32.28	64.62	49.83	31.05	40.4	47.63	55.36	63.84	52.86	121.21	52.73	51.44	0.0
Amy2a2	0.03	0.0	0.09	0.2	0.48	0.0	0.14	0.04	0.29	0.4	0.17	0.18	0.29	0.04	0.07	0.14	0.07	0.14	0.7	0.24	0.23	0.42	0.16	0.41	0.09	0.0
Amy2a3	0.03	0.0	0.09	0.2	0.48	0.0	0.14	0.04	0.29	0.4	0.17	0.18	0.29	0.04	0.07	0.14	0.07	0.14	0.7	0.24	0.23	0.42	0.16	0.41	0.09	0.0
