	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_5	Gad2_tdTpositive_cell_9	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_22	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_53	Htr3a_tdTpositive_cell_64	Ndnf_tdTpositive_cell_19	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_31	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_77	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_84	Pvalb_tdTpositive_cell_86	Pvalb_tdTpositive_cell_88	PvalbD.Slc32a1_tdTpositive_cell_1	PvalbD.Slc32a1_tdTpositive_cell_3	PvalbD.Slc32a1_tdTpositive_cell_5	PvalbD.Slc32a1_tdTpositive_cell_6	PvalbD.Slc32a1_tdTpositive_cell_7	PvalbD.Slc32a1_tdTpositive_cell_16	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_42	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_87	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_19	Sst_tdTpositive_cell_106
Adcy1	0.0	0.0	0.0	15.05	0.0	0.0	0.04	129.35	43.87	0.0	30.38	0.05	118.51	46.61	24.07	73.8	20.72	32.45	64.45	2.66	32.55	54.62	0.0	0.0	0.0	5.03	15.76	36.97	25.65	1.48	12.96	11.73	68.2	74.89	0.3	0.0	0.05	0.0	39.96	35.95	17.07	4.72	7.04	8.51	3.06	64.12	29.55	10.56	0.0	1.56	35.17	39.58	24.72	29.92	30.48	0.03	0.07	0.04	0.0	21.74
Cxx1b	0.0	0.0	0.0	54.12	0.0	0.0	0.0	6.69	54.68	0.0	51.44	3.37	72.21	0.15	15.23	3.26	24.66	6.82	0.49	3.18	0.0	31.28	0.0	0.0	0.0	15.19	0.0	20.96	2.06	15.58	7.62	2.19	7.63	29.57	0.0	0.0	0.0	0.0	14.49	21.87	15.13	27.38	8.05	13.19	0.7	1.13	13.99	2.57	0.0	0.0	20.94	0.0	60.34	0.0	43.74	0.0	0.0	0.0	0.0	1.9
Diras1	0.0	0.0	0.0	32.65	74.43	0.0	0.0	3.66	6.29	0.33	0.0	34.23	32.29	6.67	69.35	22.9	12.35	65.12	27.8	5.02	4.58	1.26	0.0	0.0	0.0	0.0	40.15	1.58	58.4	40.6	137.07	2.69	21.2	58.47	0.0	0.0	0.0	0.0	17.0	50.49	33.48	49.48	5.43	24.35	16.36	21.23	22.17	11.82	8.68	2.22	52.59	18.79	23.93	52.58	2.54	0.0	0.14	0.0	0.0	76.91
Disp2	0.0	0.0	0.0	42.83	40.58	0.0	0.0	353.95	62.51	0.14	130.63	73.68	66.73	151.37	175.01	177.07	92.07	57.34	42.87	191.57	108.51	164.27	1.31	0.0	0.0	25.92	100.91	18.23	33.57	43.94	43.75	64.9	78.02	108.44	0.38	0.0	0.0	0.0	95.93	109.09	73.08	34.54	140.75	89.58	108.15	91.71	37.35	0.85	19.18	4.1	194.79	58.62	32.31	143.23	6.75	0.05	0.31	0.0	0.0	63.38
Eef1a2	0.0	0.0	0.0	3.03	0.0	0.0	0.0	2.51	20.37	0.0	1.51	41.93	35.53	13.26	25.97	55.16	35.55	23.03	3.13	2.37	11.19	28.07	0.0	0.0	0.0	67.07	3.38	2.07	44.5	2.33	12.01	2.36	46.08	20.98	0.0	0.0	0.0	0.0	12.23	54.48	9.15	7.12	2.67	24.8	50.36	0.29	51.68	0.68	58.36	1.99	91.43	1.99	89.5	23.83	36.43	0.0	0.2	0.0	0.0	11.32
Elmod1	0.0	0.0	0.0	5.16	63.9	0.0	0.0	127.67	89.76	0.0	8.27	55.21	2.57	158.6	63.3	14.43	15.93	103.94	0.0	53.5	32.13	16.1	0.0	0.0	0.0	44.76	121.91	0.06	73.22	78.64	4.63	0.92	46.26	69.57	0.0	0.0	0.46	0.0	5.04	26.39	6.69	72.49	43.55	7.57	23.73	2.94	60.64	11.89	26.64	25.22	87.27	39.61	21.98	68.65	85.0	0.0	0.0	0.0	0.0	120.12
Erbb4	0.0	0.0	0.0	6.82	0.49	0.0	0.0	4.59	57.52	0.0	148.31	94.19	13.6	45.49	20.53	48.71	7.53	24.4	1.16	30.38	40.15	24.58	0.0	0.0	0.0	0.32	26.7	0.3	115.52	33.25	2.85	165.56	7.64	70.49	0.0	0.0	0.0	0.0	69.2	58.23	27.97	1.58	22.88	33.91	4.8	6.54	42.13	1.92	3.73	3.12	47.4	2.98	12.39	27.09	54.04	0.0	0.0	0.0	0.0	15.85
Fnbp1l	0.0	0.0	0.0	27.0	2.62	0.46	0.0	132.92	5.15	0.0	67.97	17.85	5.73	24.23	4.17	92.3	101.38	11.79	28.84	36.42	102.44	98.15	0.0	0.0	0.0	11.53	22.77	0.11	114.29	153.54	48.96	15.28	26.49	42.45	0.24	0.0	0.0	0.0	5.17	0.05	4.7	4.87	9.63	43.87	4.26	11.26	24.86	4.66	25.25	0.93	10.81	8.47	9.61	19.73	28.49	0.07	0.08	0.0	0.0	5.49
Gabrb3	0.06	0.1	0.0	11.43	15.58	0.41	0.0	36.71	180.87	0.18	0.43	95.53	0.87	8.03	79.2	19.15	159.74	0.0	135.88	0.0	122.17	2.0	0.23	0.0	0.0	0.29	0.0	0.42	23.47	19.99	1.98	0.06	2.22	57.27	0.21	0.32	0.43	0.14	38.87	0.25	56.64	77.17	0.09	0.82	0.0	0.12	82.52	24.75	80.42	92.94	127.33	34.06	35.17	2.0	28.15	0.0	0.37	0.53	0.07	2.11
Grin1	0.0	0.0	0.0	5.61	0.82	0.0	0.0	5.13	38.3	0.0	1.87	0.0	81.51	41.23	4.38	6.6	1.33	31.78	17.78	61.42	6.24	24.29	0.0	0.0	0.0	0.36	15.98	1.31	0.31	44.29	3.09	5.66	0.7	2.56	0.0	0.0	0.0	0.0	0.86	5.84	0.46	14.86	3.74	29.12	5.75	67.49	4.61	0.43	0.24	0.63	21.02	0.09	17.07	25.54	25.5	0.0	0.26	0.0	0.0	0.45
