	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_161	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700066M21Rik	0.0	0.0	20.07	0.0	26.41	25.59	23.41
2310079F23Rik	0.0	0.0	1.4	0.0	4.16	4.48	4.42
2900005J15Rik	0.0	0.0	0.16	0.0	3.12	2.71	3.78
4930507D05Rik	0.0	0.0	0.09	0.0	1.34	1.03	1.28
Amigo1	0.0	0.0	96.48	0.0	58.86	60.1	60.6
Anxa11	0.0	0.0	4.59	0.0	33.68	32.85	33.53
Arhgef18	0.0	0.0	37.33	0.0	27.45	26.39	26.37
Armc5	0.0	0.0	2.8	0.0	9.42	10.04	10.31
Bgn	0.0	0.0	0.12	0.0	13.01	13.43	13.67
C78339	0.0	0.0	6.49	0.0	53.37	52.67	56.22
Cd164l2	0.0	0.0	0.33	0.0	4.43	4.54	4.13
Cd7	0.0	0.0	1.87	0.0	1.07	1.28	1.8
Cenph	0.0	0.0	0.26	0.0	0.81	0.84	0.75
Clcn5	0.0	0.0	0.9	0.0	4.91	4.76	5.13
Col6a2	0.0	0.0	0.08	0.0	12.73	13.54	13.31
Colq	0.0	0.0	0.55	0.0	0.86	0.95	1.2
Dpys	0.0	0.0	0.13	0.0	0.26	0.23	0.3
Ei24	0.0	0.0	0.15	0.0	108.32	105.12	104.99
Fam161a	0.0	0.0	0.33	0.0	3.02	2.9	3.23
Gm15319	0.0	0.0	0.25	0.0	2.62	1.56	3.69
Gm1568	0.0	0.0	0.28	0.0	8.99	10.45	10.71
Gm4827	0.0	0.0	0.41	0.0	0.25	0.22	0.59
Gm5151	0.0	0.0	4.18	0.0	31.75	40.55	36.71
Gvin1	0.0	0.0	0.01	0.0	0.62	0.39	0.56
Hsd11b1	0.0	0.0	0.24	0.0	28.0	27.1	27.77
I830012O16Rik	0.0	0.0	0.15	0.0	4.81	4.47	3.2
Il28ra	0.0	0.0	0.04	0.0	0.22	0.16	0.15
Jag2	0.0	0.0	0.15	0.0	26.39	28.49	28.33
Kcnj13	0.0	0.0	0.24	0.0	2.3	1.75	2.07
Kcnk4	0.0	0.0	26.15	0.0	16.23	16.52	19.04
Kcnk9	0.0	0.0	0.57	0.0	46.91	40.93	50.68
Lactb	0.0	0.0	0.16	0.0	20.79	22.64	19.7
Lancl1	12.64	0.09	179.11	1.16	104.52	106.74	103.17
Lefty1	0.0	0.0	0.42	0.0	1.65	1.95	1.36
Lgi2	0.0	0.0	0.16	0.0	42.22	39.3	44.81
Lmod3	0.0	0.0	0.03	0.0	0.09	0.12	0.14
Mgat5	0.0	0.0	31.32	0.0	35.1	31.66	38.04
Nhlrc4	0.0	0.0	0.14	0.0	0.32	0.59	0.64
Nus1	0.0	0.0	65.1	0.08	55.9	51.94	52.26
Pam	73.64	0.18	102.06	55.22	129.28	132.22	126.32
Pcsk4	0.0	0.0	0.12	0.0	4.45	3.67	3.45
Phactr2	0.14	0.0	10.11	0.0	11.12	9.96	11.27
Ppp1r12c	0.0	0.0	25.8	0.0	87.06	89.41	88.48
Prrc2a	0.0	0.0	0.5	0.0	151.78	159.49	169.12
Rell2	0.0	0.0	79.67	0.0	132.63	150.46	147.42
Rfc3	0.0	0.0	0.26	0.0	7.6	7.32	8.42
Rims3	0.0	0.0	1.33	0.0	89.24	78.82	96.63
Rnf144b	0.0	0.0	1.1	0.0	17.5	17.12	16.34
Sap30	0.0	0.0	1.09	0.0	6.29	9.36	6.34
Shisa6	0.0	0.0	0.04	0.0	13.03	11.8	13.47
Slc44a5	0.0	0.0	0.08	0.0	6.71	6.51	7.08
Spef1	0.0	0.0	0.14	0.0	8.16	8.52	7.13
Tead4	0.0	0.0	0.07	0.0	0.45	0.52	0.38
Ticam2	0.0	0.0	0.08	0.0	0.76	0.57	0.44
Tm2d1	0.0	0.0	99.09	0.0	60.72	56.33	54.0
Tmem198	0.0	0.0	0.14	0.0	66.23	69.79	68.44
Trim56	0.32	0.0	3.31	0.31	3.55	3.52	4.14
Txlnb	0.0	0.0	0.13	0.0	0.95	1.2	0.93
Vipr2	0.0	0.0	0.09	0.0	0.57	1.39	1.32
Wnk2	7.54	0.0	13.43	5.81	49.56	48.86	56.38
Zfp365	263.68	0.0	343.81	163.44	392.06	380.15	382.53
Zkscan5	0.0	0.0	10.11	0.0	9.52	9.67	9.31
Zswim3	0.0	0.0	1.28	0.0	9.91	9.01	7.09
mt_AK131586	0.0	0.0	1.37	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
