	Gad2_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1700029F12Rik	0.0	3.65	2.27	0.55	2.32	8.32	11.33	1.09	0.52	0.06	0.0	0.38	0.0
1700034H15Rik	0.08	10.26	27.33	10.04	4.02	16.04	86.37	11.91	1.23	1.22	0.72	4.63	0.93
1700128F08Rik	0.74	458.35	105.9	77.88	66.63	495.48	513.16	85.1	2.45	26.94	6.65	12.43	30.05
4921508A21Rik	0.0	65.59	92.64	41.81	22.44	22.61	261.35	60.35	24.79	20.53	9.03	11.93	12.36
4921515E04Rik	0.0	44.32	47.12	29.81	17.34	102.32	116.52	20.87	10.88	12.44	5.42	5.19	11.97
4930432J09Rik	0.0	3.98	0.72	2.77	0.97	11.25	7.91	3.04	0.46	0.06	0.6	0.35	0.0
4930470H14Rik	54.17	3611.61	479.24	735.72	377.24	2343.47	4384.64	1837.91	131.37	203.5	120.16	71.08	52.74
4930474G06Rik	0.98	2.75	5.24	1.63	1.91	12.78	13.47	4.02	1.42	0.98	1.1	0.6	0.66
4930511M06Rik	3.28	220.85	300.57	130.61	102.25	264.98	429.89	173.64	33.55	33.64	33.63	31.97	20.14
4930563M20Rik	0.0	11.08	4.29	2.24	1.04	5.57	6.89	10.05	0.29	0.54	0.54	0.0	1.42
4932411L15	0.03	1834.81	483.68	276.22	309.82	2171.75	2989.56	573.29	47.01	50.22	24.94	41.11	56.54
4933411E08Rik	0.0	1.72	0.79	0.85	1.19	3.31	11.92	0.5	0.54	0.0	0.09	0.32	0.09
5430427O19Rik	0.0	45.19	7.99	9.61	8.48	29.71	56.94	6.78	0.13	2.41	0.44	0.47	1.84
5430437J10Rik	0.0	3.37	1.1	0.59	0.24	0.45	8.67	0.63	0.0	0.06	0.0	0.0	0.0
6030422M02Rik	0.25	196.47	201.26	113.39	61.1	214.24	353.22	127.23	32.12	32.03	23.8	15.45	17.96
9130221F21Rik	0.0	29.57	17.01	7.27	7.6	39.47	32.01	30.3	6.46	4.62	1.07	2.08	2.08
