	Gad2_tdTpositive_cell_47	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700012B15Rik	0.0	135.95	14.4	51.46	12.45	0.36	17.38	18.29	19.98
1700013F07Rik	0.0	22.6	0.0	0.0	0.0	0.0	2.1	2.31	1.45
2600006L11Rik	0.0	3.31	0.0	0.0	0.0	0.0	1.13	0.32	0.0
2610035D17Rik	0.0	45.78	86.26	0.33	0.0	0.0	16.61	17.87	16.42
2610301G19Rik	0.0	56.8	0.0	0.0	0.92	0.2	61.22	63.56	61.78
2700094K13Rik	0.0	108.47	72.57	0.0	0.0	0.0	27.15	32.9	29.62
2810410L24Rik	0.0	9.94	0.0	0.0	0.0	0.0	3.62	3.57	4.08
3110040N11Rik	0.0	51.8	0.0	0.0	26.51	0.0	15.06	15.1	13.11
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930480M12Rik	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.2
4933439C10Rik	0.0	33.93	0.0	0.0	0.0	0.0	26.91	28.63	28.87
Agmat	74.97	313.37	0.0	0.0	22.91	0.0	1.64	1.54	1.76
Alg5	0.0	126.98	0.0	104.99	94.39	0.0	20.97	21.61	21.16
Amz1	0.0	32.84	0.0	0.0	0.0	0.0	13.41	14.58	12.37
Ap2b1	47.22	134.5	24.52	2.24	16.79	18.63	168.78	170.81	177.32
Arhgef2	15.15	39.55	0.0	27.67	0.85	31.84	98.74	102.55	102.46
Arid2	3.03	25.78	2.09	0.2	11.44	0.0	14.88	13.97	15.09
Atf7	1.03	29.01	1.74	1.63	0.0	0.24	7.93	6.76	9.06
Axin2	0.0	10.07	0.0	0.0	0.0	0.0	17.5	16.6	15.16
BC107364	0.0	0.82	0.0	0.0	0.36	0.0	0.0	0.16	0.39
Bcl11b	0.08	13.2	0.61	0.0	0.15	0.0	35.56	39.1	36.72
Bicd2	10.67	39.36	0.39	0.0	4.4	24.97	39.32	38.42	41.42
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bmp4	0.0	52.14	0.0	0.0	0.49	0.0	3.0	3.32	4.21
Bmpr1a	0.0	31.35	0.0	0.0	0.0	0.47	26.12	23.76	26.09
C330011F03	0.0	0.62	0.0	0.0	0.0	0.0	0.08	0.09	0.13
C920021L13Rik	0.18	57.41	1.75	0.0	0.0	0.0	1.35	1.61	1.15
Ccnk	0.0	13.07	0.0	0.0	0.0	0.28	22.91	23.23	19.85
Celf1	47.46	76.83	11.76	0.0	56.18	17.19	102.29	99.67	102.18
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Clptm1	2.37	46.4	7.68	0.0	0.0	0.0	90.39	96.28	96.9
Coq4	0.0	63.95	0.0	0.0	0.39	0.0	16.82	17.4	17.52
Cpne2	0.0	79.2	0.0	0.0	0.0	0.0	22.31	24.85	27.46
Cul7	0.0	16.72	0.0	0.0	0.0	0.0	16.11	17.36	15.39
Cyc1	113.3	237.64	54.05	85.66	0.0	146.73	244.01	261.44	263.44
Cyp2j9	0.0	57.18	0.0	0.0	0.0	0.0	24.45	24.09	24.45
D2Ertd750e	0.1	5.07	0.0	0.0	0.24	0.0	1.01	1.01	0.82
Dcaf5	0.0	14.51	0.0	0.0	0.0	0.0	44.87	46.47	44.07
Ddx49	0.0	97.17	0.0	0.0	0.0	0.0	26.88	30.44	30.01
Doc2a	0.0	14.57	0.0	0.0	0.0	0.0	44.38	46.02	45.81
Doc2g	0.69	73.44	0.0	0.0	0.0	0.0	6.58	11.06	8.64
Dph1	0.0	132.89	0.0	0.29	0.0	0.18	16.49	22.37	22.3
Dus1l	0.0	95.54	0.0	0.0	0.6	0.0	30.01	29.33	31.51
Dusp9	0.0	0.33	0.0	0.0	0.0	0.0	0.44	0.62	1.02
Dyrk2	0.0	32.78	0.0	0.0	3.93	0.0	30.83	29.09	26.61
E2f5	6.25	48.98	45.31	0.0	0.0	0.0	12.39	13.28	11.86
E330011O21Rik	0.0	0.97	0.0	0.0	0.0	0.0	0.42	0.6	0.77
Eif4ebp1	0.0	77.55	0.0	0.0	0.0	0.0	5.88	9.23	6.92
Fam193a	1.6	23.13	0.0	0.0	15.99	1.26	21.4	21.54	21.91
Fbll1	13.15	31.0	1.21	2.87	0.0	0.0	34.35	40.91	38.67
Fbrsl1	0.0	24.43	0.95	0.0	0.0	0.0	31.38	34.29	34.11
Fndc3a	37.5	58.78	0.0	0.0	61.35	17.38	29.2	26.93	27.65
Foxc1	0.0	1.32	0.0	0.0	0.0	0.0	3.23	3.09	2.8
G630093K05Rik	0.09	1.58	0.0	0.0	0.0	0.29	0.18	0.19	0.26
Gas2l1	0.0	29.34	0.0	4.23	0.0	0.0	51.84	56.7	51.4
Gatsl2	27.59	18.41	0.12	3.18	0.32	16.74	48.97	45.54	51.81
Gm11413	0.0	0.84	0.0	0.0	0.0	0.0	0.38	0.4	0.45
Gm16701	0.0	100.98	0.0	0.0	0.0	0.0	3.46	3.06	5.03
Gm20356	0.75	2.14	0.0	0.25	0.31	0.0	0.33	0.14	0.61
Gm20554	0.0	0.17	0.0	0.0	0.0	0.0	0.08	0.06	0.08
Gm949	0.0	0.39	0.0	0.0	0.0	0.0	0.04	0.0	0.0
Gns	39.53	69.08	4.01	53.31	0.0	0.0	70.53	71.42	68.64
Gpr160	0.0	4.76	0.0	0.0	0.0	0.0	0.81	1.0	1.16
Gpr18	0.0	41.34	0.0	0.0	0.0	0.0	0.0	0.07	0.16
Gpr183	0.0	17.35	12.98	0.0	0.0	0.0	0.9	0.72	0.83
Hif3a	0.13	0.46	0.0	0.18	0.05	0.05	2.52	2.86	2.1
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hps3	1.89	40.12	0.66	0.17	3.86	0.66	14.44	14.39	14.46
Igsf9	0.0	0.42	0.0	0.15	0.0	0.0	4.13	3.5	4.72
Kcnk4	0.0	18.0	0.0	0.0	0.0	0.0	16.23	16.52	19.04
Kcnrg	0.17	62.52	0.0	0.33	0.86	0.62	1.43	1.68	0.73
Kdm6b	0.55	30.53	3.2	2.07	2.84	1.72	17.07	15.97	13.26
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kin	4.69	135.16	5.31	58.85	0.0	0.0	17.12	16.26	14.9
Klhl11	0.0	27.94	0.0	0.0	0.0	0.0	33.15	27.4	30.66
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Larp7	0.18	172.71	10.77	0.29	0.0	25.64	19.09	18.51	17.02
Lemd2	0.0	29.24	0.0	0.0	0.0	0.0	24.38	27.88	26.35
Lrrc7	0.0	6.63	0.0	0.0	1.01	0.25	40.2	29.07	45.43
Mcpt9	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mfsd4	40.69	11.24	29.74	57.99	18.98	9.72	56.06	58.28	54.29
Mir1895	0.0	28.7	0.0	0.0	0.0	0.54	0.0	0.0	9.36
Mlana	0.0	6.41	0.0	0.0	0.0	0.0	0.46	0.22	0.24
Morc4	0.0	29.61	0.0	0.0	0.0	0.0	2.8	2.62	2.6
Mpp2	0.0	43.69	1.16	0.15	0.0	0.0	102.69	102.07	97.3
Mrc2	0.0	0.15	0.1	0.0	0.0	0.0	3.82	4.74	3.02
Myo3b	0.0	17.4	0.0	0.0	0.0	0.0	1.22	1.1	1.19
Myo5b	0.5	49.22	4.44	0.0	0.0	0.0	18.94	18.75	19.46
Nanos2	0.0	4.99	0.0	0.0	0.0	0.0	1.67	1.63	1.08
Nmnat3	0.0	56.23	0.0	0.0	0.0	0.0	2.48	3.15	2.18
Nmt2	0.33	140.38	27.97	2.28	1.43	0.0	63.98	59.74	62.22
Nol9	0.95	48.28	0.8	0.54	1.67	37.24	14.95	17.28	16.54
Npm3-ps1	0.0	1.13	0.0	0.0	0.0	0.0	0.1	0.0	0.21
Nr5a2	0.0	3.86	0.0	0.0	0.0	0.0	0.11	0.03	0.08
Ostn	0.0	233.09	0.0	0.0	83.21	0.0	0.32	0.0	0.16
Papln	0.0	0.2	0.0	0.0	0.0	0.0	2.94	2.47	3.54
Pappa2	0.0	0.1	0.07	0.0	0.0	0.0	1.65	1.24	1.62
Pcdhb8	0.0	85.07	0.0	0.0	0.0	0.0	2.35	2.45	1.63
Ppp6r1	0.0	10.4	0.0	0.16	0.0	0.0	112.81	110.82	118.04
Psg21	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0
