	Calb2_tdTpositive_cell_27	Ctgf_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700017B05Rik	0.0	0.0	0.0	5.27	6.46	5.11
1700110K17Rik	0.0	0.0	0.0	0.16	0.3	0.17
1700125G02Rik	0.0	0.0	0.0	2.72	0.98	2.59
2010305A19Rik	0.0	0.0	0.0	11.07	11.72	10.09
2210408F21Rik	0.0	0.0	0.0	22.08	20.68	26.42
2810459M11Rik	0.0	0.08	0.0	9.97	9.65	10.75
2900008C10Rik	0.0	0.0	0.0	8.02	7.17	8.43
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930412F15Rik	0.0	0.0	0.0	1.3	1.33	1.4
4930524L23Rik	0.0	0.0	0.0	0.44	0.59	0.68
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4933439K11Rik	0.0	0.0	0.0	0.54	0.51	0.78
A930004D18Rik	0.0	0.0	0.0	3.04	3.56	3.04
AF529169	0.0	0.0	0.0	1.99	2.01	2.41
AI662270	0.0	0.0	0.0	0.5	0.47	0.29
Add2	0.0	0.0	10.07	117.5	113.28	121.53
Akr7a5	0.0	0.0	0.0	23.99	25.78	25.58
Ap3m1	0.0	0.0	0.24	30.19	28.27	27.81
Arpc1b	0.0	0.0	0.0	22.11	22.95	26.75
Arrdc1	0.0	0.0	0.0	8.68	11.56	10.62
Asf1b	0.0	0.0	0.0	0.93	0.88	0.84
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC061194	0.0	0.0	0.0	4.15	2.9	2.61
Bbs4	0.0	0.0	0.14	47.31	45.02	43.8
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C2cd4b	0.0	0.0	0.0	7.9	8.39	7.45
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Casd1	0.34	0.0	0.0	55.02	51.3	49.9
Ccdc93	0.0	0.0	0.0	14.44	12.57	13.91
Cd320	0.0	4.78	0.0	11.83	10.6	11.07
Cdipt	0.0	0.0	0.0	152.84	166.97	161.42
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dbx2	0.0	0.0	0.0	14.86	14.16	14.84
Ddx52	0.0	0.0	0.0	17.93	15.95	16.36
Dpp9	0.0	0.0	0.1	54.7	54.84	57.68
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Ecel1	0.0	0.0	0.0	11.49	15.92	16.13
Efha1	0.0	0.0	0.0	23.4	22.71	21.26
Eif5a	0.0	0.0	96.3	438.76	458.46	438.37
Exosc10	0.0	0.0	0.0	37.38	38.25	39.08
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm10640	0.0	0.0	0.0	0.63	0.34	0.35
Gm8787	0.0	0.0	0.0	0.48	0.4	0.91
Gpr135	0.0	0.0	0.0	14.34	15.77	18.34
Gpr26	0.0	0.0	0.0	67.54	58.53	83.82
Has1	0.0	0.0	0.0	1.52	1.52	2.0
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hint3	0.0	0.0	0.0	31.02	26.58	29.58
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hmga1	0.0	0.0	0.0	27.31	33.51	45.49
Hmga1-rs1	0.0	0.0	0.0	47.68	49.24	34.99
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
I730030J21Rik	0.0	0.0	0.0	0.47	1.04	0.33
Ido1	0.0	0.0	0.0	3.14	3.68	2.85
Ilkap	0.0	0.0	0.0	47.68	51.14	49.31
Ints7	0.0	0.0	0.0	32.76	33.78	32.16
Jph1	0.0	0.0	0.0	14.53	14.58	14.41
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Krcc1	0.0	0.0	0.0	17.45	15.68	17.78
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lats2	0.0	0.06	0.0	13.28	15.09	14.1
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc24	0.0	0.0	0.0	36.81	39.49	37.56
Lrriq1	0.0	0.0	0.0	1.33	0.69	1.68
Mphosph10	0.0	0.0	0.0	15.33	15.66	14.2
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nt5e	0.0	0.0	0.0	4.78	5.72	4.4
Nup133	0.22	4.3	1.91	17.65	17.21	17.38
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pcdhb7	0.0	0.0	0.0	5.32	5.9	5.68
Pde6b	0.0	0.0	0.0	0.07	0.16	0.22
Phf21a	0.0	0.0	0.0	18.71	19.05	20.41
Phka2	0.0	0.0	0.0	24.76	22.38	24.93
Polr1b	1.61	0.0	1.35	14.02	13.34	14.85
Pppde1	0.0	0.0	0.0	16.81	16.24	17.0
Pvrl3	0.0	0.0	0.0	22.83	18.26	21.19
Rpl30	0.0	0.0	0.0	29.27	29.0	28.47
Sar1a	9.1	0.0	0.0	122.53	128.09	123.09
Scarb2	0.0	48.69	0.0	84.94	85.35	89.91
Slc16a13	0.0	0.0	0.0	4.81	5.24	5.24
Slc29a2	0.0	0.0	0.0	12.48	12.12	12.7
Slfn2	0.0	0.0	0.21	2.32	2.58	2.84
Snord64	0.0	0.0	0.0	26.55	0.0	20.92
Stard3	0.0	0.0	0.0	35.97	33.64	35.4
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tlr9	0.0	0.0	0.0	1.36	1.47	1.87
Tnfaip8	0.0	0.0	0.0	3.8	4.31	3.57
Tollip	50.03	0.0	0.0	103.91	106.19	102.1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Unc79	0.0	0.0	19.8	25.25	22.05	24.79
Vav1	0.36	1.35	0.17	3.39	2.83	2.77
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr81	0.0	0.0	0.0	11.67	12.24	12.65
Wwox	0.0	0.0	0.0	18.64	18.76	20.6
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c14_tRNA-Ala-GCA	0.0	0.0	0.0	3.73	7.2	0.0
c1_tRNA-Thr-ACA	0.0	0.0	0.0	9.84	13.11	2.84
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	6.9	0.0	9032.87	8417.95	8583.15
