	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_127	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36
1190002N15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.48	0.27	0.73	9.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.62
1500032L24Rik	88.18	6.2	90.4	2.13	0.61	79.97	226.47	78.83	304.52	250.43	172.42	254.54	115.64	141.1	107.25	151.19	31.54	3.3	0.0	30.52	59.6	0.0	59.89
5730409E04Rik	8.72	1.19	13.15	0.8	2.92	4.02	1.56	36.33	56.82	45.96	118.44	69.17	16.69	4.2	0.93	5.29	1.95	0.63	0.01	1.07	4.19	1.48	21.8
AI836003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.24	0.23	123.69	0.0	0.26	48.77	0.0	38.99	0.0	0.19	0.0	0.0	0.0	9.57
Atp1a3	85.86	7.31	118.24	141.12	189.55	127.36	70.54	229.34	166.6	389.58	337.2	1318.82	305.08	157.67	140.85	51.97	172.57	203.56	99.51	140.6	235.85	80.95	422.46
Atp1b1	345.16	590.47	372.09	233.92	164.47	363.79	232.71	284.39	307.39	1097.7	1248.46	1352.0	723.41	229.39	439.1	395.97	887.78	419.97	524.57	485.8	534.99	381.48	934.87
Atp5a1	562.08	591.42	553.56	475.08	1084.16	852.65	780.73	571.7	844.83	1605.13	1441.44	1064.23	888.26	726.96	1047.66	386.84	407.03	665.28	717.78	123.3	344.99	290.73	1185.77
Atrnl1	2.61	2.23	1.15	51.96	0.0	3.37	0.0	23.74	11.14	11.57	17.08	37.44	2.81	9.78	2.64	0.0	0.0	0.0	0.0	0.05	2.02	0.0	2.46
Brcc3	59.92	490.73	237.65	0.35	738.21	113.88	376.8	0.06	209.14	243.33	305.55	286.61	270.36	235.33	0.48	738.31	0.51	178.59	0.8	168.68	183.05	581.88	350.91
Btbd3	26.7	10.96	12.16	53.11	0.0	0.0	0.0	0.0	0.0	66.32	125.85	323.04	2.83	1.94	1.6	0.0	0.0	0.0	17.0	0.06	9.64	0.0	9.5
Cacng2	3.21	0.77	5.34	3.18	0.0	3.06	0.0	3.68	3.16	8.15	25.7	20.56	0.0	1.57	0.0	1.77	8.01	0.0	0.15	0.0	4.32	0.0	1.47
Calm2	20249.89	20813.5	19635.16	19628.74	24749.41	21064.56	19971.06	20654.99	19749.13	6737.92	6447.29	8231.43	18742.78	18644.66	19423.54	22860.58	23322.9	18313.66	25106.81	19256.69	21777.08	23557.63	19735.95
