	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_120	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_52	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_40	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700011E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.0
1700051A21Rik	0.0	0.0	0.11	0.09	0.04	0.04	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.42	0.38
1700065I17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700086O06Rik	0.0	0.0	13.51	0.1	0.38	0.0	0.0	0.0	0.0	69.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8	6.86	5.95	7.5
2010300C02Rik	0.0	24.18	40.04	39.08	47.27	12.23	0.0	18.88	0.0	58.61	0.0	0.88	0.0	1.87	0.0	13.21	14.92	45.49	161.02	175.9	165.27
2310003H01Rik	0.0	0.0	0.09	4.32	0.54	0.0	0.12	0.0	0.0	77.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.36	10.99	10.75
2810030E01Rik	0.0	0.74	0.0	0.0	0.0	0.03	0.0	0.0	0.0	47.53	0.0	0.0	0.0	0.14	0.0	0.0	0.04	0.0	6.23	6.35	6.67
4922505G16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.75	0.62
4930422G04Rik	0.0	0.0	0.02	0.05	0.0	0.0	0.0	0.0	0.0	41.36	0.06	0.0	0.0	0.0	0.0	3.48	3.02	0.0	2.71	2.57	2.84
4930533B01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
4930563E18Rik	0.0	0.13	0.05	0.07	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.14
5830418P13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.48	0.85
9230102K24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.16
AU022754	0.0	0.99	1.85	2.49	1.88	2.04	0.43	2.19	0.31	5.15	0.43	1.28	1.7	1.32	0.52	1.99	0.55	1.39	3.34	3.02	3.41
Acaa2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.95	27.76	27.06
Acpl2	0.0	69.78	114.6	0.14	41.12	54.65	0.0	0.0	41.43	199.18	0.0	0.0	7.33	0.0	51.53	85.95	0.0	0.0	10.89	11.93	10.76
Afp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0
Anxa10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Armc2	0.59	0.57	0.1	0.23	0.25	0.18	0.25	0.44	0.0	21.37	0.23	0.0	6.44	13.65	0.13	0.31	0.17	0.12	5.08	5.49	4.82
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
B3galnt2	0.0	0.0	0.3	0.0	0.09	2.38	0.0	0.16	0.19	62.76	0.0	0.0	27.76	0.3	0.0	0.0	0.06	5.66	16.14	13.77	14.54
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Cd93	0.08	0.19	0.18	0.36	0.31	0.22	0.46	0.53	0.44	16.01	1.07	0.4	0.1	0.76	0.1	0.37	0.19	0.48	4.22	3.92	4.29
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cep70	0.0	35.31	12.89	9.25	0.0	21.12	26.12	5.87	0.13	194.49	0.66	60.47	35.63	14.27	35.73	0.0	12.52	39.5	19.68	17.03	19.91
Col16a1	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	5.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.68	11.69	12.54
