	Chrna2_tdTpositive_cell_41	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_63	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_7	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_30	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700026J04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.78	0.74	0.94
1700084C01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78	0.0	0.0	0.0	15.68	14.12	14.97
2310047B19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	13.88	16.07	14.83
2310069B03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.02	0.0	0.0
2700081O15Rik	0.0	0.0	0.0	0.0	5.3	0.0	2.21	11.0	0.0	0.0	0.0	25.18	28.18	27.6
3830403N18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.21	0.0	0.0	0.0	0.0	0.0	0.0
4921510H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.05
4933432I09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	2.31	2.49	2.42
6230409E13Rik	0.0	0.0	2.38	3.36	19.88	13.42	11.6	75.85	0.05	0.0	0.0	39.2	35.11	38.13
9530003J23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.08	0.0	0.0
A930003A15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.28	0.0	0.0	0.0	0.69	0.59	1.2
AF357426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.47	0.0	0.0	0.0	6.49	3.04	0.0
Abcb10	0.0	0.0	13.34	2.58	19.32	0.0	17.28	53.99	0.0	33.06	0.0	16.53	18.62	18.24
Abl2	0.53	0.16	0.91	2.41	4.73	0.39	1.05	29.13	1.03	1.62	1.24	24.45	24.4	24.39
Acsm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.15	0.14	0.22
Adcy6	0.0	0.0	0.14	0.0	0.44	0.0	13.4	24.88	0.0	0.0	0.0	30.67	30.83	31.18
Agbl4	0.0	0.0	0.76	77.47	40.51	0.0	7.34	85.86	0.0	0.0	0.0	10.36	9.73	9.17
Agbl5	0.0	0.0	41.51	0.0	0.0	0.0	0.43	36.22	0.0	0.0	0.0	12.44	11.54	11.7
Agpat1	5.44	0.0	12.57	11.2	15.98	15.97	33.92	132.25	16.87	22.99	18.78	125.67	129.98	132.53
Akap12	0.28	126.22	12.77	0.0	0.0	0.0	2.02	21.11	0.0	0.0	0.0	12.09	12.77	12.36
Amdhd2	0.0	0.0	0.0	0.0	8.48	0.13	0.0	114.32	0.0	0.0	0.0	15.29	17.88	16.77
Armc6	0.0	0.0	86.8	0.0	7.73	0.0	0.0	125.46	0.0	0.46	0.0	26.94	31.22	30.24
B930003M22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	4.27	4.87	7.46
BB557941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	1.37	1.3	1.14
Bahcc1	0.0	0.0	0.0	0.0	0.0	0.27	0.0	14.64	0.0	0.0	0.0	8.31	8.54	9.14
Bhlhe41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.57	0.0	0.0	0.0	26.37	36.97	26.21
Camk2b	51.22	0.0	54.15	45.09	46.23	83.12	4.92	113.38	77.12	34.55	77.19	532.26	557.69	545.35
Camsap1	0.0	1.83	0.14	23.42	2.15	0.23	25.41	61.52	4.05	0.23	0.22	41.9	41.78	41.15
Capns1	0.0	0.0	0.0	0.0	0.0	0.0	120.29	194.64	113.79	80.82	4.58	177.54	188.72	182.92
Ccdc102a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.73	0.0	0.0	0.0	1.37	1.74	1.6
Ccdc76	0.0	0.0	2.14	2.4	2.45	0.18	6.22	49.28	0.0	0.0	0.0	4.09	3.56	4.99
Cdc26	0.0	0.0	0.0	54.53	51.73	95.11	118.0	156.7	7.5	151.98	0.0	35.85	38.88	36.9
Cep120	0.0	0.0	9.29	21.7	61.45	35.52	22.8	50.53	0.0	1.68	0.0	32.6	32.28	30.05
Chd4	0.0	0.0	1.8	0.0	7.79	0.0	2.08	39.06	0.0	0.0	2.7	84.9	84.16	82.33
Clcn6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.59	13.25	0.0	0.0	54.01	53.58	53.55
Cldn19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.14	0.44	0.85
Crnkl1	0.0	0.0	0.0	4.44	0.0	2.77	25.03	125.47	0.0	0.21	1.73	14.85	14.64	15.56
Csnk1d	86.21	0.0	31.9	1.67	12.62	0.0	6.09	163.33	0.0	71.56	56.16	101.99	102.88	96.3
Ctdp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.79	0.0	0.0	0.0	11.1	11.94	11.21
D430020J02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.18	0.0	0.0	0.0	3.14	2.86	3.34
Daglb	42.4	0.0	20.64	0.0	13.41	79.03	13.49	153.31	0.0	64.36	1.35	30.25	32.11	29.22
Dnahc5	0.0	0.0	5.03	0.0	0.0	0.0	0.0	16.56	0.01	0.0	0.0	1.59	1.27	1.46
Dnttip1	0.0	0.0	2.02	0.0	0.0	0.0	0.46	61.9	0.0	0.0	0.0	38.55	38.59	37.63
Dppa1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.09	0.04	0.09
Duxbl	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.14	0.0	0.0	0.0	0.92	2.0	1.18
Dym	0.0	0.0	0.0	0.0	0.14	3.95	2.59	107.79	0.0	26.65	1.92	46.47	47.15	44.01
E230016M11Rik	0.51	0.0	5.47	0.0	0.19	0.0	0.0	122.21	0.04	0.0	0.39	1.97	1.77	2.74
E2f3	0.0	0.0	0.0	1.6	1.31	0.07	1.89	60.55	0.0	2.47	8.67	15.93	16.73	15.67
E530001F21Rik	0.0	0.0	0.0	0.0	0.0	0.0	67.57	110.21	0.0	0.0	11.74	4.8	3.18	4.67
Eaf1	0.21	0.11	0.27	0.07	0.25	0.0	0.03	84.92	0.28	0.2	0.0	14.04	14.76	13.68
Edn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.58	0.0	0.0	0.0	2.78	2.07	4.31
Eef2k	0.27	0.53	0.24	0.23	0.27	0.24	0.26	51.79	25.18	0.13	0.44	27.93	28.9	28.24
Ehmt2	0.0	0.0	11.83	0.47	3.91	0.0	6.78	24.19	0.06	0.0	0.79	122.32	131.91	129.43
Fam203a	1.87	3.48	6.69	1.12	0.66	1.01	0.93	8.41	2.05	1.31	0.69	10.21	12.33	12.35
Fbxo42	1.02	0.0	0.0	0.0	0.0	0.06	0.0	49.57	0.04	0.0	0.0	22.68	23.81	22.17
Fgf10	0.0	0.45	0.37	0.43	0.43	0.1	14.16	71.02	0.27	0.1	0.36	5.22	4.31	4.77
Fuca1	0.0	421.41	0.21	42.39	0.0	76.68	22.72	106.52	0.09	0.0	0.0	22.01	23.72	23.48
Gclm	1.81	0.0	0.0	2.66	2.34	0.0	7.51	38.37	0.0	0.0	10.3	39.26	42.49	40.25
Gm10653	0.72	0.0	0.0	0.07	0.0	0.0	0.68	4.1	0.0	2.19	0.58	5.84	2.58	3.89
Gm1337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.77	0.0	0.0	0.0	27.73	28.82	26.18
Gm2030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35	0.0	0.0	0.0	0.0	0.0	0.0
Gm5069	0.49	0.0	0.0	0.34	0.0	0.06	0.0	2.8	0.06	1.29	0.11	2.71	2.69	2.62
Gm9962	0.73	0.0	0.2	38.09	0.72	0.56	16.26	135.16	6.5	0.25	29.44	3.1	4.43	5.0
Gpr75	0.29	0.0	0.0	0.2	0.0	0.08	0.0	106.79	0.5	0.0	0.11	9.55	9.19	9.72
Hmox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.25	0.0	0.0	0.0	5.5	4.89	5.34
Hnf1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.12	0.15	0.06
Hspa9	121.41	0.0	136.06	107.75	92.03	258.67	92.4	392.85	67.51	48.38	24.5	176.91	179.38	174.24
Id4	0.0	0.0	49.16	0.0	6.61	0.0	0.0	73.84	2.16	0.0	0.0	78.2	80.22	74.97
Idi1	0.0	0.57	0.0	21.17	0.0	0.19	0.29	113.88	0.0	0.0	0.0	48.41	46.84	50.41
Ipcef1	0.27	0.36	0.0	0.0	0.42	0.12	0.0	1.51	0.0	0.2	0.39	48.31	43.08	50.27
Kcna2	1.85	1.07	35.05	41.34	63.64	37.6	70.45	121.06	31.6	49.06	25.76	82.83	70.58	84.29
Klf8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.99	0.0	0.0	0.0	3.81	3.6	4.5
Letm2	4.6	0.0	37.92	0.0	0.0	0.0	5.59	91.78	0.77	0.0	36.69	10.63	11.51	13.1
Lig3	0.0	0.0	6.94	0.05	0.0	0.0	12.38	47.86	0.04	0.0	1.35	16.4	14.44	14.32
Lonrf1	3.7	1.13	0.93	1.29	6.79	0.79	2.7	62.18	2.45	1.81	3.85	20.65	19.77	17.87
Lrat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.04	0.05	0.0	0.21	0.26	0.31
Lrrc39	1.12	4.62	0.5	0.76	0.91	0.42	0.39	9.31	1.43	0.64	0.67	2.73	1.93	3.07
Lyrm7	0.0	0.0	0.16	36.05	0.47	23.25	0.0	213.6	0.0	5.79	0.27	12.95	14.27	13.47
Map2k1	0.0	0.0	51.09	13.26	75.44	0.0	41.07	115.73	1.78	0.0	1.69	309.79	328.2	308.6
Mex3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.56	0.0	0.0	0.0	18.96	19.48	21.42
Mib2	1.08	0.0	1.51	10.74	0.0	0.0	0.43	72.84	2.47	0.0	0.0	65.64	74.95	70.23
Mir153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.39	0.0	0.0	0.0	0.0	0.0	0.0
Mir384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.25	0.0	0.0	0.0	0.0	1.8	7.88
Mir691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.28	0.0	0.0	0.0	0.0	0.0	0.0
Mir719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.11	0.0	0.0	0.0	0.0	18.46	2.21
Mkl1	8.9	0.0	0.0	0.0	0.0	1.3	0.0	43.95	0.27	0.0	0.0	33.82	40.94	38.6
Mlf1ip	0.0	0.0	0.0	0.0	0.0	0.0	29.08	31.99	0.19	0.0	0.0	2.13	1.07	2.18
Mnd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.61	0.0	0.0	0.0	0.58	1.1	1.2
Morn2	0.0	0.0	0.0	146.58	0.0	25.66	62.3	304.86	0.0	0.0	17.95	18.65	20.94	20.75
Mrps35	0.0	0.0	0.0	0.29	3.61	0.0	7.01	38.5	0.46	0.0	0.0	25.61	27.51	27.02
Mylpf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.35	0.0	0.0	0.0	1.63	1.02	1.26
N4bp3	0.0	0.0	0.0	6.78	0.0	1.5	12.44	90.33	0.0	0.0	0.79	12.97	12.51	11.7
Nfatc2ip	0.0	0.61	0.0	0.0	0.0	0.0	0.0	6.86	0.0	0.0	0.0	5.22	5.06	4.86
Nfkbiz	0.0	0.0	0.0	0.0	0.19	0.0	7.17	7.5	0.0	0.0	0.0	4.91	4.29	3.75
Nkx6-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.0	0.0	0.0	17.72	18.7	19.87
Nr2c2	0.0	0.0	7.35	30.49	13.79	1.39	11.6	97.45	0.0	0.0	0.79	47.92	44.91	49.08
Nudcd2	0.0	0.0	67.38	46.92	2.28	0.0	58.64	148.88	0.0	0.0	0.0	16.85	19.22	18.94
Ogfod2	99.72	0.0	0.0	54.24	28.21	0.12	1.28	190.52	0.15	56.15	99.86	31.69	35.86	33.59
Optc	0.0	0.62	0.0	0.0	0.0	0.0	0.17	89.4	0.15	0.21	0.0	1.05	0.83	0.77
Pank1	0.0	0.0	0.0	0.0	29.15	15.19	2.92	23.94	27.29	0.0	0.0	18.07	16.15	16.9
Pcdhga5	0.0	0.0	0.0	0.0	13.56	0.0	0.0	51.44	0.0	0.0	0.0	11.11	12.56	10.75
Pgd	0.0	0.0	1.6	116.6	91.21	0.0	29.03	221.6	42.55	0.3	28.25	28.22	31.99	28.99
Pias3	0.0	0.0	0.0	0.0	0.0	0.0	2.83	33.97	0.0	1.77	11.8	17.18	18.32	17.3
Pigq	0.0	0.0	1.5	0.14	33.03	138.66	19.5	228.87	0.0	65.49	8.04	79.81	85.55	87.13
Pip4k2b	0.17	0.0	0.0	0.0	0.0	0.0	0.16	30.44	3.46	2.23	3.18	83.28	80.17	79.56
Plcl1	13.62	0.13	5.04	0.05	8.71	0.29	6.33	27.41	0.1	22.06	0.0	13.26	10.77	14.66
Pus7l	0.0	0.0	0.0	0.0	0.0	0.0	1.36	99.26	0.0	0.0	0.0	3.05	2.94	3.36
Pvrl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.51	0.0	0.0	0.0	5.96	7.7	6.95
Rala	0.0	0.0	68.66	0.0	53.09	9.89	3.1	87.63	0.0	0.13	71.76	61.85	58.6	59.24
Rfx1	0.0	0.0	0.06	0.07	0.0	0.0	0.0	30.92	0.0	0.0	0.0	17.75	18.16	19.2
Rhbdd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.9	0.0	0.0	19.54	4.54	5.49	5.06
Rnf40	0.0	0.0	0.0	0.92	0.0	0.0	8.23	19.76	1.37	7.05	0.0	40.59	43.07	40.1
Rrm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.2	0.0	0.15	0.0	2.82	2.4	2.45
Rsad2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.83	0.76	0.99
Rsc1a1	0.0	0.0	0.0	0.0	0.0	4.26	15.05	23.37	0.0	0.0	0.16	8.81	4.5	8.89
Sema6c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	14.99	16.94	16.69
Slc22a13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.0	0.0	0.1	0.15	0.08
Slc47a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	3.15	3.07	1.74
Slc5a8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.07	0.03	0.08
Sly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
Snord100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.68	0.0	0.0	0.0	6.28	2.96	0.0
Speer6-ps1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.21	0.1	0.21
Stc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.29	0.0	0.0	0.0	1.77	2.19	1.72
Svs3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0
Timp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	1.49	0.64	1.18
Tm7sf2	0.0	0.0	0.0	1.83	15.37	0.0	9.57	71.39	0.0	0.0	0.0	22.0	26.19	23.21
Tob2	0.0	0.0	0.0	12.46	3.19	0.0	6.18	26.78	0.0	2.37	0.0	22.9	23.09	15.82
Trhr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	3.14	2.96	3.62
Tti1	0.0	0.0	0.0	61.23	0.0	0.0	0.81	141.3	0.06	0.0	0.0	15.11	15.61	15.15
Uba1	0.51	35.04	122.77	58.45	36.31	25.92	33.16	150.88	1.03	79.09	181.96	244.19	260.71	247.34
Uggt1	0.0	0.0	5.37	24.14	32.34	0.0	0.0	55.58	0.03	0.95	21.5	23.11	20.72	22.85
Usp25	3.34	0.0	0.0	5.72	0.0	0.0	19.42	110.53	1.23	28.93	1.22	21.94	20.91	20.23
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.03	0.03	0.06
Vmn1r51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.52	0.08	0.0	0.0	0.0	0.0	0.0
Vps37c	0.0	0.0	0.0	0.0	0.0	0.0	0.12	36.67	0.0	9.33	0.0	23.78	24.48	25.18
Wipf3	0.0	0.0	0.0	22.2	13.99	87.25	8.34	114.66	0.0	71.04	4.6	86.45	99.02	90.36
Xlr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.72	0.0	0.0	0.0	2.05	0.92	1.01
Xlr3a	0.0	0.0	0.0	2.0	0.0	0.0	0.0	384.92	0.0	0.0	0.0	0.64	1.98	1.49
Xpo7	4.34	0.77	1.85	11.3	9.6	3.13	2.19	22.81	2.67	3.02	4.68	19.84	19.5	19.17
Xpot	4.87	0.0	46.83	34.35	0.0	0.0	0.23	52.01	0.0	17.37	0.67	50.89	49.48	48.72
Zbtb5	0.0	0.0	27.45	0.0	0.0	0.0	0.0	37.05	0.0	0.0	0.08	6.42	7.15	5.94
Zbtb8b	0.0	1.51	0.24	0.27	0.18	1.14	0.65	80.18	0.69	0.12	0.84	4.53	5.45	5.08
Zfp507	0.0	0.0	0.0	0.09	0.0	0.0	5.99	53.74	0.0	0.0	2.84	11.96	10.86	12.34
