	Chrna2_tdTpositive_cell_43	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_8	Rbp4_tdTpositive_cell_15	Rbp4_tdTpositive_cell_43	Rbp4_tdTpositive_cell_45	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_57	Rbp4_tdTpositive_cell_84	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_93	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_127	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_2	CAV_LP_Ipsi_tdTpos_cell_3	CAV_LP_Ipsi_tdTpos_cell_5	CAV_LP_Ipsi_tdTpos_cell_30
1700001L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.19	69.17	31.8	35.32	0.0	0.0	81.6	2.58	191.81	57.42	25.48	30.98	90.17	0.0	27.16	0.0	0.2	18.17
9430023L20Rik	0.0	0.0	71.45	0.0	0.0	0.0	82.65	30.68	2.94	66.94	6.38	0.0	126.01	0.0	119.73	65.84	70.62	37.17	151.79	0.0	60.42	104.28	8.67	108.88	0.0	22.1	104.84	0.0	53.14	32.71	53.19	53.47	70.14	56.71	62.53	0.0	44.88	45.02	10.37	113.63	99.17	65.06	113.09	0.0	0.0	37.07	0.0	153.88	202.22	123.18	298.42	110.32	57.59	102.64	225.23	264.2	327.66	173.73	167.79	95.36	0.0	39.24	177.91	212.57	1.6
Acsl4	25.52	66.7	57.92	81.41	21.01	0.0	21.34	104.06	19.35	26.99	54.74	30.64	48.23	81.4	37.28	71.17	25.41	46.67	15.3	88.88	35.45	13.89	42.42	91.3	10.47	2.81	6.5	63.88	22.29	31.0	55.21	51.95	52.3	17.21	26.89	16.56	23.09	9.53	29.6	10.16	112.13	67.41	79.52	66.3	30.13	18.93	24.39	36.98	58.49	73.86	163.97	70.0	10.3	53.64	75.28	23.49	93.57	74.62	90.57	162.37	0.0	94.02	65.0	74.0	101.28
Adamtsl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.74	0.0	8.54	0.0	35.0	9.2	9.03	0.0	57.3	0.0	13.57	0.0	26.94	0.0	0.0	0.0
Anks1b	103.79	0.0	33.15	0.22	34.72	0.0	17.56	16.06	9.87	3.53	4.11	18.26	6.58	25.55	32.64	5.42	40.12	16.41	15.47	3.4	13.04	20.92	10.39	4.49	28.29	42.32	36.61	7.65	9.0	13.64	10.87	5.66	21.47	21.56	5.16	10.2	2.29	1.61	39.36	0.19	8.16	5.63	7.32	8.37	24.62	24.82	11.39	3.51	59.38	65.75	59.19	70.91	23.46	106.87	61.3	130.26	117.33	104.29	133.34	54.16	0.0	91.98	78.67	59.21	65.22
Ap1s1	4.39	0.0	148.48	147.98	503.05	0.0	114.49	70.41	109.72	323.78	86.31	248.74	90.87	104.78	151.74	168.98	311.35	142.93	207.1	74.01	141.9	242.73	27.62	214.93	94.29	127.48	50.52	144.32	199.79	184.9	117.95	298.25	287.01	189.1	135.76	154.59	155.02	110.37	279.17	290.53	145.41	0.6	224.52	183.87	252.72	46.24	197.02	92.75	367.72	784.56	502.34	340.19	89.56	361.32	321.06	177.59	355.15	274.21	412.33	510.87	0.0	284.86	471.86	226.14	198.93
Arhgap26	2.92	0.0	22.88	0.0	172.21	0.0	26.75	7.99	42.44	5.91	9.96	17.34	45.4	24.17	1.06	11.9	18.15	27.63	24.97	38.29	22.28	44.1	32.18	47.57	15.75	18.8	64.69	25.18	15.08	59.34	34.02	40.73	37.83	2.66	14.44	14.8	39.72	31.92	4.81	14.83	49.84	37.69	27.47	16.35	29.5	21.05	0.66	19.87	74.81	91.33	69.34	54.0	13.77	107.5	92.4	75.48	89.86	28.53	172.57	44.61	0.0	102.19	104.14	64.9	81.21
Arpc3	148.66	0.0	65.93	0.0	0.39	0.0	145.98	235.55	55.56	58.59	147.35	133.95	0.0	107.07	0.0	48.07	68.56	24.21	0.0	36.47	0.0	49.58	49.83	101.31	57.92	0.0	39.25	131.21	77.07	108.74	135.52	44.53	161.63	0.0	197.08	0.0	100.09	60.07	69.21	48.69	155.65	61.88	108.64	194.31	103.77	89.68	40.17	0.0	294.29	309.7	259.62	98.82	170.92	69.11	111.32	51.17	222.01	163.84	325.93	218.23	0.0	43.83	450.59	163.95	321.23
B230209E15Rik	1.07	0.0	19.57	77.51	0.15	0.0	28.74	26.97	6.86	21.44	0.0	21.55	23.74	51.67	50.72	34.53	34.03	17.79	14.88	0.63	18.11	38.02	0.0	24.92	59.78	51.81	32.59	38.75	2.45	29.55	0.0	44.35	1.22	2.56	5.12	4.87	22.8	3.69	35.86	85.12	65.51	52.35	21.77	1.96	32.24	9.72	4.49	23.65	83.78	133.89	69.11	56.3	11.51	56.36	64.7	13.7	25.29	21.37	8.44	141.05	0.0	57.36	103.63	45.31	94.98
B3galt2	0.0	0.0	2.06	2.2	2.11	0.0	5.09	0.0	26.86	23.34	0.0	13.08	25.36	23.05	45.17	0.0	3.93	26.2	26.23	53.11	4.54	4.79	21.37	15.87	16.69	1.53	34.36	58.93	7.9	80.56	2.12	35.28	1.95	0.0	1.22	13.74	0.69	3.97	69.94	1.27	0.0	0.0	0.0	19.7	5.11	3.45	2.37	0.0	108.93	133.03	119.48	231.79	73.35	135.11	161.88	470.54	181.41	259.13	152.77	67.15	0.0	192.08	110.15	100.29	269.28
