	Calb2_tdTpositive_cell_53	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_29	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_19	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
1500016L03Rik	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.55	0.66	1.59	0.61	0.47	1.4	0.0	0.0	0.0	1.6	0.0	0.0	0.64	1.79	0.0	0.68	0.7	0.67	0.0	1.41	0.08	0.62	0.55	0.62	0.33	0.0
2300009A05Rik	0.0	0.0	0.0	0.0	0.0	61.45	3.46	0.0	58.73	7.79	0.0	85.83	56.74	0.0	4.42	15.95	0.0	0.83	0.0	9.34	95.9	9.23	2.12	0.0	42.95	82.22	0.0	23.21	31.46	20.99	79.19	28.44	0.0
4930444A02Rik	0.12	0.29	0.0	0.0	14.58	0.0	74.62	0.15	0.2	43.83	0.1	2.84	26.75	0.75	0.56	27.67	30.9	12.89	22.54	46.09	56.47	4.05	79.82	0.0	3.07	32.55	0.45	0.29	20.62	13.33	28.19	33.54	0.0
4930500J02Rik	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.43	0.0	0.56	0.49	0.0	0.76	0.0	0.0	0.0	1.47	0.0	0.31	0.48	0.91	0.96	0.49	0.0	0.0	0.0	0.83	0.69	0.0
A330023F24Rik	0.0	0.0	0.0	0.0	6.12	4.28	9.08	56.53	1.85	46.43	8.35	27.81	4.2	10.07	14.47	0.59	42.45	6.45	9.29	7.16	41.6	4.86	13.48	29.92	46.27	9.98	8.6	3.45	13.11	3.34	17.67	36.96	0.0
Akap17b	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.14	0.0	0.09	0.39	9.01	0.39	0.0	8.83	5.88	0.0	2.66	31.85	2.08	34.65	2.62	8.8	24.9	33.31	0.0	1.22	21.69	0.0	0.0	0.0
C030034L19Rik	0.0	0.34	0.24	0.0	0.0	0.28	0.15	1.43	2.28	0.73	0.9	0.1	1.06	0.44	1.7	0.85	0.99	1.92	0.82	0.76	2.75	1.51	0.15	1.11	1.43	1.37	2.22	0.13	0.61	1.23	0.24	2.34	0.0
Cct4	0.0	0.0	0.0	0.0	3.19	15.69	118.37	115.78	21.61	243.56	141.61	31.21	99.73	58.92	30.42	61.4	129.02	56.13	101.17	85.57	399.29	146.01	214.5	131.49	189.96	181.34	70.1	52.79	201.71	85.82	263.37	156.27	0.0
Cinp	0.0	18.87	0.0	0.0	103.35	0.0	6.31	35.3	0.19	76.66	92.51	27.59	0.0	14.47	2.02	0.0	43.71	41.38	14.65	138.12	99.63	48.67	122.12	35.52	7.53	92.62	12.52	82.74	4.32	49.01	2.8	10.04	0.0
D630045J12Rik	0.0	0.03	0.04	0.0	0.02	26.14	0.91	12.02	0.0	24.66	30.92	0.1	4.53	9.96	0.15	0.0	18.71	13.03	12.77	0.0	15.78	0.0	36.5	11.37	0.0	42.37	10.51	9.73	12.67	0.09	0.03	12.11	0.2
Echdc1	0.0	86.06	0.0	0.0	42.05	7.88	67.36	0.0	0.0	26.3	0.12	32.71	22.68	18.82	37.65	5.7	0.21	47.25	50.12	0.0	105.21	22.3	56.71	10.49	57.95	0.0	26.98	51.6	0.0	0.0	79.2	32.91	25.88
Fam92a	0.0	0.0	0.0	0.0	50.34	22.13	19.63	4.61	13.41	70.36	0.0	36.02	0.95	0.0	29.47	2.38	31.85	0.0	4.24	0.0	81.1	2.42	55.19	57.35	3.6	46.09	4.36	38.4	0.0	64.55	31.57	0.0	0.0
Fastkd2	0.0	99.81	0.0	0.0	35.62	34.04	137.78	7.76	65.74	17.95	0.11	0.0	62.51	122.46	35.37	0.0	8.41	0.0	143.69	0.11	101.71	4.39	153.53	111.44	0.0	1.4	42.16	52.86	14.32	0.0	42.78	44.94	0.0
Fbxo44	0.0	108.79	0.0	0.43	205.1	51.83	136.96	96.44	97.58	298.86	239.55	220.13	284.65	166.58	209.16	117.7	71.61	114.16	378.43	218.54	240.83	172.52	366.27	292.54	229.74	175.37	237.93	267.07	244.42	91.94	496.33	91.52	0.0
Fut9	0.0	106.67	0.0	0.05	19.17	61.77	26.74	67.23	11.3	68.35	26.88	54.43	27.22	40.85	40.08	34.95	67.27	29.36	56.39	27.67	82.26	0.23	132.54	26.31	43.51	57.21	65.92	22.15	50.2	63.65	33.59	54.07	0.0
