	Calb2_tdTpositive_cell_46	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_6	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTpositive_cell_79	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_57	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175
1700003M07Rik	12.98	0.57	3.69	0.62	3.04	951.83	3.35	6.08	2.52	15.64	6.91	6.96	4.22	11.28	14.47	33.02
1700128F08Rik	48.78	92.21	111.98	9.88	200.58	257.74	128.78	81.53	58.97	626.48	168.13	183.75	5.08	729.98	510.5	610.21
1810035I16Rik	57.59	14.09	28.87	0.0	9.97	126.19	22.14	11.29	21.14	139.94	74.51	56.46	22.93	174.44	225.91	281.16
2310010M20Rik	59.65	20.89	25.82	15.82	60.08	95.04	43.28	96.44	38.58	205.98	60.81	63.52	50.39	112.06	199.54	185.55
2810021B07Rik	73.99	27.35	44.44	14.31	55.28	79.0	57.3	17.13	44.78	296.48	84.4	95.08	51.83	198.93	139.61	302.71
2810049E08Rik	2.73	0.0	0.0	0.0	0.63	1.12	1.35	6.34	0.0	25.43	1.9	1.52	1.67	5.53	3.36	26.01
4921515E04Rik	62.48	25.81	37.45	8.67	110.6	83.14	83.32	53.67	22.9	133.08	83.46	107.28	19.08	118.7	124.47	216.14
4930470H14Rik	264.89	6.61	70.88	30.62	58.8	1144.16	615.25	488.89	97.5	1732.49	904.71	1039.14	143.12	945.29	3545.84	2987.91
4930511M06Rik	222.16	82.59	94.2	18.28	268.35	190.35	148.43	443.24	173.44	843.64	439.02	268.12	200.33	344.78	486.26	1120.28
4932411L15	318.79	183.69	101.01	14.4	208.23	659.93	129.03	140.61	193.36	1918.31	614.13	557.41	23.08	1628.04	2548.71	1647.3
4933421O10Rik	50.02	2.46	21.98	5.96	48.35	27.48	37.33	44.52	8.94	42.83	50.62	97.47	31.19	139.59	36.23	175.8
6030422M02Rik	119.64	20.92	58.26	37.59	102.84	166.56	114.56	76.44	72.71	452.6	336.49	205.16	101.66	236.14	223.49	544.11
9130221F21Rik	28.31	5.17	6.21	3.25	7.24	10.19	18.59	55.18	27.56	69.12	45.15	26.14	14.17	71.55	30.93	48.98
A430107P09Rik	141.1	35.29	96.99	27.85	178.81	199.57	146.61	131.3	120.73	560.09	329.13	245.95	72.55	278.87	428.86	662.58
A630075F10Rik	76.18	19.06	23.61	3.15	32.45	56.04	4.6	32.35	23.38	74.35	46.73	102.39	14.22	85.46	38.23	179.33
A630089N07Rik	903.87	706.09	692.07	137.14	820.98	1548.32	838.84	400.77	347.41	3936.75	1778.04	1691.85	572.36	2643.84	4003.08	5145.26
A730017L22Rik	160.35	106.88	50.08	101.68	151.69	424.22	249.38	167.05	109.28	620.72	352.99	178.95	70.76	288.09	736.13	740.9
AA536875	5.37	0.27	2.4	2.6	1.67	4.85	2.51	0.0	1.86	19.21	1.69	4.84	1.45	7.64	12.1	16.42
Adam28	15.88	0.93	2.81	1.87	5.33	8.22	5.26	11.66	1.61	26.0	10.04	0.51	9.4	16.61	28.28	35.08
Alx4	1.18	0.12	0.58	0.58	0.5	1.72	0.27	0.71	1.45	4.59	1.92	0.46	0.88	11.61	1.74	4.67
B020014A21Rik	49.64	3.64	8.7	4.06	12.75	47.64	48.76	16.87	15.88	87.16	79.07	28.96	40.17	192.7	68.96	167.12
B4galnt2	11.19	1.81	5.8	0.56	29.18	19.04	6.19	3.46	8.24	24.87	16.43	17.41	4.7	28.26	44.23	32.84
BC033916	59.75	41.83	76.78	37.02	160.21	73.3	47.68	90.13	87.81	199.68	101.18	96.79	137.99	78.03	206.01	167.62
BC039771	9.75	7.02	2.27	4.15	10.07	12.39	2.35	3.35	4.02	35.76	20.62	23.1	17.75	48.49	39.01	25.61
Bard1	1.23	0.15	0.0	0.0	0.25	0.75	0.47	2.9	0.1	1.32	1.54	1.36	0.76	4.85	1.28	2.84
Brip1	13.29	7.18	7.1	4.67	27.95	28.21	18.9	6.89	4.45	53.46	20.17	18.18	15.57	56.73	64.81	78.81
Btbd16	49.0	11.36	11.21	11.8	26.83	44.35	61.23	92.75	37.48	148.6	38.7	93.08	26.9	184.67	80.39	145.4
Car5b	11.98	3.08	4.58	1.83	12.53	12.68	10.9	18.48	4.11	36.15	13.33	12.6	13.35	25.07	27.35	31.65
Cbln3	3.41	0.54	1.05	0.19	0.85	3.29	1.6	5.8	2.48	7.69	3.01	2.56	4.5	4.36	5.52	10.25
Ccdc82	339.98	120.55	160.71	16.96	229.33	330.02	725.62	184.3	215.4	920.55	381.39	347.98	261.42	665.42	831.48	1444.03
Cd200r2	21.13	0.0	1.06	2.26	5.64	25.76	6.82	1.04	6.55	134.48	35.33	13.86	0.77	9.0	93.85	124.09
Cdnf	1.39	1.35	0.0	0.48	4.92	1.1	1.72	1.8	0.25	10.87	10.31	1.38	0.93	6.49	9.93	10.41
Cer1	1.8	1.66	0.0	1.01	0.0	2.61	2.07	1.85	0.33	24.17	5.57	1.61	2.62	3.15	19.98	8.2
Colec12	42.04	45.96	42.24	13.97	34.86	96.34	105.22	18.83	56.52	193.06	92.47	113.29	110.93	112.21	145.28	236.02
Csf2rb2	12.64	2.23	11.67	3.63	8.72	24.49	6.86	31.29	34.7	77.56	28.1	5.64	7.36	145.28	28.62	44.54
Ctcfl	14.95	7.45	6.29	4.69	10.14	34.53	14.68	9.24	5.24	44.02	18.55	20.07	8.64	21.34	33.27	53.39
Ctla2a	207.6	48.66	139.66	29.8	242.53	270.41	220.18	131.15	158.07	1192.77	484.15	294.64	356.06	492.92	783.78	1118.26
Cyp2e1	26.66	39.28	16.27	14.2	18.2	25.59	23.96	16.9	11.35	151.64	72.1	51.68	13.28	32.13	163.18	130.81
Cyp2j5	11.79	3.85	1.84	2.76	2.39	17.84	3.56	9.82	1.98	44.53	27.0	16.51	7.23	14.89	32.91	74.93
D030040B21Rik	8.84	1.75	3.0	2.46	4.93	13.69	11.49	14.41	4.78	11.26	7.39	13.32	15.9	20.88	16.95	19.97
D830005E20Rik	58.22	35.04	136.86	7.7	136.62	186.56	79.85	28.48	22.88	785.28	290.22	102.61	15.99	531.56	340.08	748.67
Dkk1	3.11	0.26	0.0	0.47	0.0	2.1	1.86	0.88	0.56	7.77	2.23	0.0	1.55	10.05	7.08	8.9
Dpcr1	1.82	0.0	0.59	0.47	2.6	0.0	0.11	0.49	0.22	8.45	1.36	1.39	0.47	4.12	2.03	5.49
