	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_9	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_82	Scnn1a.Tg3_tdTnegative_cell_19
2310035C23Rik	0.09	0.0	0.0	0.0	12.14	0.0	0.03	19.88	0.75	0.0	1.36	56.88	30.19	15.61	17.3	5.94	0.76	0.0
4732471J01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.48	0.56	53.13	0.3	0.0	0.0	22.38	0.17	0.0
4833420G17Rik	0.71	0.0	55.22	0.0	348.28	1.54	1.05	128.78	61.85	3.6	1356.45	222.54	2.95	6.4	20.56	95.02	99.16	0.1
A830010M20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.17	4.62	141.02	45.07	1.3	234.37	17.74	23.45	83.89	137.1	95.41	0.0
Aars2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	3.19	2.31	0.0	0.0	12.67	1.12	0.0
Acsl4	0.0	0.0	0.0	0.0	0.0	0.0	0.03	67.96	72.83	0.0	1.25	108.69	31.0	59.0	79.52	97.49	34.85	0.0
Aimp1	0.0	0.0	0.0	0.0	0.0	0.0	33.85	2.27	103.55	171.29	1.93	225.68	154.15	89.1	103.74	215.24	68.85	0.0
Atg12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.13	180.34	1.69	243.04	45.02	3.77	50.76	159.36	0.0	0.0
B230209E15Rik	0.0	0.0	0.0	0.0	0.45	0.0	1.31	19.34	87.67	4.7	0.51	51.51	29.55	77.26	21.77	43.62	13.94	0.0
Clptm1	2.39	0.0	0.0	0.0	0.0	0.0	0.0	1.66	19.06	1.72	0.25	70.87	0.4	1.45	0.0	31.09	0.45	0.0
Exog	0.0	0.0	0.0	0.0	0.36	0.0	0.0	164.09	0.0	0.06	1.36	39.7	24.15	31.21	12.7	52.34	2.1	0.0
Fbxl2	0.0	0.0	0.0	0.0	0.0	0.0	340.81	0.55	0.21	0.0	0.33	193.7	0.0	36.1	0.46	129.8	114.79	0.0
Fem1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.45	44.06	0.16	124.13	7.95	6.78	63.37	29.15	5.96	0.0
Gm14430	0.0	0.0	0.04	0.0	1.53	0.12	0.0	5.63	0.73	7.21	0.06	1.81	13.57	0.06	13.81	40.89	0.0	0.0
Gm14434	0.0	0.0	0.04	0.0	1.53	0.12	0.0	5.63	0.73	7.21	0.06	1.81	13.57	0.06	13.81	40.89	0.0	0.0
Gm1968	0.0	0.0	0.0	0.0	0.49	0.0	0.0	4.24	0.33	0.42	0.0	1.64	0.57	0.0	0.27	2.31	0.0	0.0
Gm4724	0.0	0.0	0.04	0.0	1.53	0.12	0.0	5.63	0.73	7.21	0.06	1.81	13.57	0.06	13.81	40.89	0.0	0.0
Gtpbp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.13	0.0	34.38	0.0	0.0	0.0	24.07	0.0	0.0
Mrfap1	405.27	0.0	62.65	0.0	366.06	0.0	47.6	515.32	335.18	524.68	740.82	1015.4	444.37	507.43	875.05	962.67	547.17	26.78
Mtap7d2	14.26	0.0	0.0	0.0	0.24	0.0	0.0	15.02	9.77	108.42	0.0	201.4	149.62	67.84	222.72	291.08	137.29	44.49
Mtmr14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.16	0.0	0.62	2.8	0.0	0.0	48.66	0.0	0.0
Nucb1	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.77	77.12	15.58	69.3	181.76	31.13	0.0
Pdzd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.13	0.0	0.22	24.25	0.0	0.0
Ppm1a	0.17	0.0	0.16	0.0	0.0	0.0	0.0	13.63	0.0	0.46	0.0	89.63	2.19	0.0	38.53	89.79	60.57	0.0
Rab15	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	116.81	6.58	0.67	80.47	19.23	23.4	4.23	58.36	0.0	0.0
Rgs9bp	0.0	0.0	0.13	0.0	0.0	0.09	0.02	0.58	0.37	0.59	0.18	0.36	0.03	0.1	0.05	0.4	0.14	0.07
Slc25a37	6.97	0.0	0.0	0.0	210.65	0.0	0.0	0.24	1.19	0.37	0.0	35.76	12.1	0.0	8.57	58.08	0.07	0.0
Slc35f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.54	49.37	1.02	2.03	0.0	0.0	59.36	26.33	0.0
Slc8a1	0.0	0.0	0.0	0.0	0.02	0.0	0.02	4.58	10.33	9.6	0.67	49.96	23.07	7.11	22.18	21.07	1.35	0.0
Spire1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	1.04	5.76	0.66	149.21	49.67	21.19	69.06	72.0	47.26	0.0
Ssr4	0.0	0.0	0.0	13.9	351.29	0.0	640.18	276.88	151.12	93.99	1.64	365.58	339.93	0.0	123.77	380.76	17.51	225.33
Syngr1	0.0	0.0	0.0	0.0	514.02	0.0	0.0	9.94	0.64	95.06	1.35	115.96	131.88	94.4	119.19	186.16	146.55	0.0
Vdac1	0.0	0.0	31.52	69.85	0.0	0.0	0.0	174.93	250.55	29.4	4.22	1079.92	462.63	358.81	847.79	957.54	469.96	411.02
Vps53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	78.42	0.08	0.75	64.82	25.24	73.52	41.87	137.44	0.0	0.0
Vrk3	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	90.75	0.0	0.0	152.24	0.64	0.0	42.17	154.2	86.34	0.0
Whsc1	0.0	0.0	0.0	0.0	0.06	0.0	0.0	8.38	21.82	11.05	0.27	64.04	26.36	1.15	23.2	54.58	38.69	0.0
Wrnip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.24	44.07	0.0	0.0	66.11	2.74	52.69	34.18	87.34	68.96	0.0
Zfp623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	116.93	0.0	68.03	0.0	6.08	0.0	67.27	0.0	0.0
Zmym1	0.0	0.0	0.0	0.0	0.0	0.0	0.08	75.83	94.23	0.2	0.27	37.33	17.39	0.17	4.8	91.03	0.0	0.0
mt_AK138996	4496.68	6117.79	8264.97	6384.11	11219.41	2210.4	8864.81	9953.01	7796.44	17721.28	11156.21	4294.27	3929.79	3457.39	4717.75	3982.85	3769.18	4167.66
mt_BC008260	3373.2	4955.64	6317.46	3589.93	9011.6	3585.43	6912.3	7885.05	6772.85	17184.37	5883.47	3515.77	3897.13	4138.17	4527.14	4241.9	4026.26	2418.88
mt_BC020072	3373.2	4955.64	6317.46	3589.93	9011.6	3585.43	6912.3	7885.05	6772.85	17184.37	5883.47	3515.77	3897.13	4138.17	4527.14	4241.9	4026.26	2418.88
