	Calb2_tdTpositive_cell_38	Cux2_tdTpositive_cell_87	Ntsr1_tdTnegative_cell_55	Pvalb_tdTpositive_cell_52	Sst_tdTpositive_cell_24	Sst_tdTpositive_cell_47	Sst_tdTpositive_cell_78	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700010I14Rik	0.0	0.0	0.0	0.0	0.0	16.21	0.0	1.22	1.1	1.04
2610018G03Rik	0.0	0.0	5.87	0.0	0.0	21.23	0.0	9.01	7.18	6.85
4831440E17Rik	0.23	0.0	0.0	0.0	0.16	18.01	0.06	2.73	2.53	3.78
4930525D18Rik	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.65	0.31	0.56
4930527F14Rik	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0
4933403G14Rik	0.0	0.0	0.0	0.0	5.76	39.36	0.0	2.55	2.38	3.12
4933412E12Rik	0.0	0.0	0.0	1.01	0.0	82.72	0.0	6.01	6.43	6.1
5330413P13Rik	0.0	0.0	0.0	0.0	0.0	13.95	0.0	1.08	1.35	1.03
6330549D23Rik	0.0	0.0	0.0	0.0	0.0	13.02	0.1	1.25	0.85	1.82
6430550D23Rik	0.0	0.3	0.0	0.39	0.0	14.86	0.35	1.39	1.24	1.44
9030204H09Rik	0.0	0.0	0.0	0.0	0.0	49.94	1.77	0.16	0.32	0.32
9330182L06Rik	0.0	0.0	0.0	0.0	1.21	61.08	0.0	28.95	23.15	28.39
A730090N16Rik	0.0	0.0	0.0	7.56	0.0	41.29	0.0	0.43	0.0	0.3
AI662270	0.0	0.0	0.0	0.0	0.0	58.72	0.0	0.5	0.47	0.29
Adamts4	0.0	0.0	0.0	0.0	0.08	7.08	0.0	15.98	17.45	19.48
Aldh2	0.0	0.0	0.18	0.0	31.02	59.63	0.0	74.65	73.82	71.96
Atn1	4.61	0.0	0.0	1.63	0.0	28.8	2.14	96.96	98.9	99.63
B230217O12Rik	0.0	0.0	60.23	5.28	0.0	107.54	0.0	16.1	17.84	12.79
C1rl	0.0	0.0	0.0	0.23	0.0	1.14	0.08	0.52	0.6	0.41
