	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	Rbp4_tdTpositive_cell_51
1700048O20Rik	0.26	2.81	1.38	3.59	86.85	47.49	4.38	0.87	2.22	12.37	2.99	77.92	5.23	2.19	67.96	1.97	1.99	5.94	4.97
B4galnt1	0.0	0.0	0.0	0.0	16.81	17.34	0.0	12.7	4.62	0.0	0.72	4.91	0.0	1.8	0.0	11.12	0.0	11.62	8.81
Bhlhb9	0.0	0.0	0.0	0.0	53.43	0.15	0.42	0.0	51.33	99.55	0.0	53.26	9.22	17.08	58.18	4.07	39.88	54.95	90.31
C030048B08Rik	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.0	10.5	7.96	84.73	6.77	0.0	0.0	0.0	0.0	5.63	0.0	0.0
Ccpg1	0.0	2.32	0.0	0.0	90.67	66.06	311.25	62.22	106.35	73.66	108.69	139.61	14.74	3.43	30.27	125.7	62.87	41.55	74.82
Cdh9	0.0	0.0	0.0	0.0	70.96	22.37	0.0	7.45	0.0	0.27	9.56	2.79	0.0	0.0	3.27	0.0	0.0	0.0	0.0
Cmpk1	0.0	0.26	0.0	0.0	280.84	186.99	0.32	71.28	52.24	99.71	121.16	271.17	97.31	85.46	263.3	77.85	88.2	66.91	73.2
Dnahc9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fcho2	0.0	0.0	0.0	0.0	39.42	0.0	0.0	0.0	0.09	0.0	0.42	0.88	0.0	0.0	0.47	2.04	1.58	0.0	19.83
Gemin7	0.0	20.57	0.0	0.0	63.09	53.55	0.0	0.0	68.29	33.11	37.8	175.83	18.91	0.0	0.43	10.41	30.03	110.68	0.0
Gm14430	0.0	0.0	0.0	0.07	21.67	3.32	0.0	0.0	14.72	1.87	26.14	14.04	13.46	3.07	11.03	13.57	4.08	0.54	2.38
Gm14431	0.26	0.0	0.0	0.78	20.17	0.76	0.24	0.74	0.0	6.64	0.8	5.03	5.1	1.79	1.31	2.52	4.65	1.58	1.92
Gm14434	0.0	0.0	0.0	0.07	21.67	3.32	0.0	0.0	14.72	1.87	26.14	14.04	13.46	3.07	11.03	13.57	4.08	0.54	2.38
Gm4724	0.0	0.0	0.0	0.07	21.67	3.32	0.0	0.0	14.72	1.87	26.14	14.04	13.46	3.07	11.03	13.57	4.08	0.54	2.38
Gm8898	0.26	0.0	0.0	0.78	20.17	0.76	0.24	0.74	0.0	6.64	0.8	5.03	5.1	1.79	1.31	2.52	4.65	1.58	1.92
Gria3	0.0	0.05	0.0	0.0	259.19	85.41	0.34	58.91	86.75	99.45	156.33	106.11	59.11	138.34	196.24	77.04	139.37	27.18	237.36
Krit1	0.0	0.32	0.0	3.23	71.45	15.91	0.2	6.06	4.38	20.7	20.83	31.25	10.76	6.66	15.53	25.87	5.29	33.09	3.0
Ldhb	7486.96	8970.97	4317.46	3517.81	7692.96	8752.31	6399.01	10118.08	10894.4	8892.3	8217.62	8808.99	10165.1	11261.44	10004.69	13571.31	12546.17	11010.48	11746.38
Mfsd6	0.13	0.05	0.0	0.0	79.48	41.44	0.45	0.0	24.52	31.1	0.19	19.76	47.09	32.97	1.15	12.2	11.32	0.9	21.96
Napg	0.0	29.84	0.82	0.0	415.61	130.4	0.34	95.48	105.57	77.5	163.49	282.5	199.27	127.18	184.75	78.76	189.82	127.32	205.35
Nat8l	0.0	0.0	0.0	0.0	43.33	67.2	0.18	41.62	51.18	32.88	48.27	83.2	50.39	9.99	50.04	51.88	39.07	24.73	101.06
Nbr1	0.0	0.05	0.0	0.0	67.38	45.93	0.26	10.0	10.48	28.12	52.22	66.04	56.06	19.2	92.96	30.0	24.88	31.31	34.44
Ncbp1	0.0	0.0	0.0	0.0	0.0	10.49	0.0	0.0	0.0	10.13	29.52	30.71	0.0	66.09	25.48	17.64	42.56	41.5	0.0
Ndfip2	0.0	0.5	0.0	0.0	201.52	100.3	0.27	46.09	102.26	111.47	131.4	214.61	79.23	109.03	104.18	97.13	101.47	10.83	81.96
Nsf	0.0	83.77	0.0	0.0	894.83	372.65	4.11	317.18	264.29	418.02	505.31	526.4	493.29	479.45	217.88	537.71	486.57	367.0	680.56
Polr2a	0.0	0.0	0.0	0.0	17.23	0.0	0.0	0.0	2.04	0.0	0.0	0.0	7.97	0.0	0.0	10.28	3.83	0.37	0.0
Pptc7	49.87	0.37	0.0	40.46	47.89	23.53	0.0	27.08	6.16	9.61	40.64	39.23	4.19	42.48	8.71	21.92	24.77	37.81	12.34
Rasgrf1	0.0	0.12	0.0	0.0	334.79	200.51	1.66	48.51	84.4	94.14	110.09	210.55	132.91	95.81	285.82	215.72	226.45	140.98	107.24
Rint1	0.59	1.73	2.62	1.21	0.19	0.64	1.21	7.35	1.63	9.46	1.42	70.46	24.6	0.99	5.45	7.48	23.15	0.68	1.97
Snrnp40	0.0	0.0	0.0	0.0	34.92	2.93	0.0	0.0	0.31	3.45	0.0	60.95	18.69	28.13	10.21	0.0	0.0	0.0	0.0
