	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_36	Gad2_tdTpositive_cell_37	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_71	Nos1_tdTpositive_cell_65	Pvalb_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_7	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_59	Sst_tdTpositive_cell_97	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_64	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1700047I17Rik2	1.59	7.62	10.31	0.69	0.94	4.2	0.08	41.75	9.98	16.17	19.57	0.17	4.98	2.2	29.12	37.31	43.33	0.86	51.95	16.17	1.65	2.12	9.17	0.74	1.53	1.74	0.9	9.98	1.89	4.64	28.2	0.33	1.83	2.52	26.63	6.69	1.03	6.92	0.67	5.88	0.54	2.54	0.12	30.05	9.26	14.42	13.41	14.19	19.02
2410017P09Rik	0.0	42.75	0.25	194.9	16.62	41.0	0.0	0.0	0.0	0.18	16.51	0.0	0.0	0.3	12.25	19.1	0.0	0.0	36.9	1.47	2.04	0.08	0.73	0.0	2.72	9.48	0.0	0.0	54.0	0.14	0.0	11.05	10.63	0.0	0.0	0.0	0.37	19.85	0.0	0.0	0.0	0.0	0.12	10.69	7.43	6.89	10.39	8.63	10.81
2410127L17Rik	0.0	0.0	0.0	16.9	0.0	0.0	0.0	0.0	0.0	9.06	12.83	0.0	0.0	0.0	0.0	62.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.07	0.0	0.0	0.0	0.0	0.0	0.0	34.4	18.42	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	23.43	0.0	1.45	2.88	2.3	2.81	1.84
9430020K01Rik	0.0	24.73	0.0	0.0	0.42	0.0	0.0	0.0	0.92	25.97	53.77	0.0	57.1	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.37	19.27	58.27	0.12	26.33	40.42	0.0	19.61	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	30.87	38.77	10.43	20.3	21.16	20.58
A830007P12Rik	14.13	32.5	29.85	16.6	62.31	14.57	5.91	14.17	36.01	82.15	29.44	3.72	38.78	16.78	38.18	16.69	31.4	31.27	46.43	34.06	16.51	56.97	119.35	37.07	54.92	88.67	96.62	75.7	76.93	33.42	35.97	25.37	25.87	6.66	15.5	4.82	15.17	26.36	27.25	20.7	23.91	28.3	30.2	83.79	70.56	69.4	88.52	83.55	73.36
Abhd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.02	0.0	0.0	10.17	0.0	0.15	0.0	0.0	11.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	7.0	0.0	0.0	43.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.02	1.85	2.49	2.39
Abhd8	0.0	6.23	0.0	0.0	0.88	0.0	0.0	1.36	0.0	0.0	0.0	42.75	0.0	0.0	0.93	55.64	0.0	0.0	3.45	0.0	0.0	0.0	0.0	47.79	0.55	0.0	0.43	0.0	2.25	0.0	0.0	0.0	29.49	0.0	18.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.17	5.18	2.12	0.87	3.7
Actn4	0.0	2.0	0.0	0.0	7.67	0.0	5.69	0.0	6.98	9.71	54.3	0.0	0.0	0.0	21.68	2.28	1.16	0.0	11.18	28.03	0.0	0.95	1.77	54.4	2.84	13.9	1.67	18.88	55.09	1.35	0.09	1.64	0.0	0.14	33.61	0.0	0.0	0.22	0.0	0.13	0.0	0.0	0.26	26.44	54.27	39.42	16.2	21.02	21.72
Alkbh4	0.18	0.9	0.0	0.21	0.0	135.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.9	0.0	0.0	0.0	0.0	0.0	0.0	129.42	0.0	0.08	51.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.02	1.19	7.28	6.35	4.68	10.68
Atp2b1	17.32	236.94	103.22	89.26	224.45	24.68	60.99	98.24	163.85	544.29	446.7	12.69	24.86	142.29	228.16	150.61	113.59	0.12	176.09	66.7	1.58	207.98	131.12	146.35	66.41	512.01	600.07	461.63	576.95	243.88	233.37	122.1	106.97	7.95	11.67	24.98	1.95	29.16	35.34	16.42	30.06	83.66	94.37	549.86	564.19	435.72	532.17	401.54	376.73
