	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_59	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_71	Ntsr1_tdTnegative_cell_19	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_59	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_64
1700048O20Rik	7.8	5.15	1.87	0.92	2.32	2.6	0.47	1.34	0.53	0.79	2.0	1.57	7.03	5.91	4.1	2.84	2.52	3.15	139.87	1.1	11.68	2.26	1.47
2610029G23Rik	24.02	0.0	0.39	1.71	0.35	75.64	0.0	0.0	0.0	0.0	71.08	0.0	0.0	29.3	65.49	0.0	99.85	9.85	0.0	48.93	0.98	0.0	2.29
Arhgef3	1.31	147.57	0.0	60.22	68.72	0.06	0.0	65.43	0.0	0.0	142.35	0.0	0.0	122.06	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0
Atpif1	680.88	1089.89	1116.36	862.88	1760.27	984.71	133.14	1224.41	864.26	284.23	558.6	0.0	888.09	1177.45	993.91	1446.63	1155.72	1381.59	1845.61	737.7	740.88	1055.66	517.59
Cct7	526.0	1056.57	388.59	981.94	1062.25	700.09	187.02	851.23	933.53	0.0	984.61	0.16	798.13	528.3	923.33	1091.51	916.16	662.24	1662.17	681.36	675.72	652.3	0.21
Cct8	991.72	414.33	1313.57	519.62	733.92	326.67	0.06	779.0	1368.25	0.23	672.45	0.0	59.04	420.25	145.04	543.08	850.77	416.67	563.3	851.67	241.29	591.69	34.8
Cdh7	0.0	121.77	0.0	0.0	0.0	24.29	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	4.46	2.13	0.0	0.0	0.0	0.0
Cntn1	93.94	357.85	508.47	138.31	263.3	198.3	2.14	219.62	0.0	0.0	137.83	0.06	130.39	273.57	147.86	343.03	355.74	345.33	660.45	77.98	458.52	88.55	624.48
Ctnnd2	8.34	82.67	8.7	0.0	225.48	89.2	0.03	206.89	0.07	0.0	59.09	0.0	60.14	99.9	97.73	87.02	112.09	143.13	197.6	44.4	14.64	0.0	0.0
Dlgap1	44.11	212.85	102.33	98.23	217.85	193.24	0.0	7.38	0.0	0.0	64.15	0.0	183.79	105.96	141.64	147.87	217.97	50.31	213.55	0.17	0.0	20.62	13.85
