	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12
1600020E01Rik	0.0	0.0	0.0	46.11	0.0	6.53	57.86	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.49	0.0	22.66	52.29	39.54	0.0	4.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2610029I01Rik	0.48	1.69	11.4	297.83	125.0	84.36	288.51	203.36	131.26	187.85	33.16	247.13	93.61	259.33	121.7	58.25	260.71	109.93	134.95	176.48	64.1	206.09	142.47	46.0	66.05	228.54	191.01	375.38	217.74	0.0	0.38
8030462N17Rik	0.0	0.0	0.0	2.32	0.0	4.7	0.0	0.0	0.0	3.22	0.0	0.0	0.0	0.0	0.0	21.21	36.82	0.11	0.0	0.0	31.06	0.73	0.0	1.09	1.1	1.12	0.0	34.43	0.0	0.0	0.0
Anxa6	0.0	0.0	0.0	55.23	51.04	90.07	119.32	62.43	48.95	262.23	355.39	90.13	64.94	103.11	0.11	115.14	105.32	246.38	71.91	73.44	22.12	0.0	192.72	0.0	120.67	68.71	235.85	133.25	234.25	307.05	0.0
Apbb2	0.0	0.0	0.0	12.55	42.25	61.94	13.91	17.28	25.62	28.05	19.63	42.03	81.32	0.0	20.95	41.62	63.03	19.41	23.18	24.52	10.02	47.72	18.1	47.54	39.42	24.11	52.51	89.08	22.52	0.0	0.0
C330007P06Rik	0.0	0.0	0.0	28.78	0.0	84.1	4.56	58.65	64.35	121.61	1.13	91.68	30.6	48.1	5.92	75.95	87.97	0.0	51.62	0.91	42.03	30.56	30.92	80.01	50.69	0.0	29.38	158.52	33.01	0.0	0.0
Camta2	0.0	0.0	0.0	14.93	8.63	13.5	0.0	7.67	32.98	18.09	0.0	1.45	1.35	0.17	1.08	17.06	15.0	2.32	25.21	14.68	0.09	0.98	4.4	0.63	18.81	12.45	20.11	36.82	0.0	0.0	0.0
Ccdc23	0.0	0.0	0.0	0.0	61.59	0.0	0.0	0.0	0.0	0.0	25.34	0.0	4.73	0.0	0.0	0.0	55.38	0.0	11.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.58	42.27	0.0	0.0	0.0
Ccdc64	0.0	0.0	0.0	2.97	0.0	0.0	0.0	0.0	4.62	0.0	2.66	0.0	1.77	0.0	0.0	2.42	5.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.0	0.0	0.0
Crtac1	0.0	0.0	0.0	1.44	13.15	26.01	63.55	21.03	5.88	33.56	21.17	60.65	0.5	0.0	115.38	53.55	154.93	105.12	62.93	13.85	2.66	13.97	28.06	0.0	7.22	26.12	76.58	92.07	19.42	0.0	0.0
