	Calb2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_7	Cux2_tdTpositive_cell_87	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_15	Nkx2.1_tdTpositive_cell_21	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_53
2310004N24Rik	124.44	163.87	0.0	0.0	0.0	0.0	0.0	166.1	477.7	8.57	237.2	164.5	248.87	98.65	1.01	0.0	0.0	267.9
Ammecr1l	3.83	48.5	0.0	0.0	0.0	0.0	0.0	34.72	51.42	0.0	43.57	0.0	0.0	1.91	0.0	0.0	0.0	31.9
Arhgap21	34.43	0.0	0.0	32.55	0.0	0.0	2.12	0.0	40.92	0.91	19.96	9.71	23.28	0.52	0.0	0.0	1.65	27.37
C330006K01Rik	0.29	0.77	0.0	0.18	0.66	0.1	0.14	0.27	1.15	0.97	0.42	0.92	2.85	0.39	0.18	0.09	0.39	0.79
Cgn	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	60.88	33.8	0.0	0.0	0.0	0.06	0.0	0.0	0.0	37.32
Chek2	2.03	5.36	1.33	3.27	1.01	1.63	2.07	2.01	5.99	3.35	4.2	4.06	8.01	4.64	2.91	0.77	4.33	2.24
Ddr2	0.17	0.24	0.12	0.09	0.08	0.11	0.02	0.11	3.08	0.19	3.7	0.1	0.29	0.0	0.22	0.29	0.15	0.28
Dennd5a	5.67	1.69	0.0	120.75	0.07	0.36	0.0	44.06	228.54	0.0	7.03	12.9	43.49	0.06	0.0	0.08	67.91	3.57
Fbxl17	4.75	4.72	4.14	2.4	1.31	1.96	1.96	5.0	23.92	3.63	14.03	3.14	22.23	3.29	1.56	1.87	2.36	21.59
Impact	6539.77	6891.15	5195.01	7007.16	6174.14	6076.78	5620.11	6940.54	1928.54	5542.05	5757.16	6020.42	6867.61	6400.32	6279.58	5219.97	7015.38	4668.08
Khsrp	19.9	22.34	15.84	17.4	13.36	14.48	14.92	15.71	62.67	18.85	56.42	18.49	23.54	21.96	8.48	16.78	35.9	31.02
Nbr1	3.23	0.0	8.85	0.18	0.0	0.0	70.01	39.58	147.14	0.0	49.96	0.0	82.38	1.26	0.0	14.5	50.2	161.83
Ndfip1	158.38	0.0	0.0	34.85	0.39	0.51	15.6	344.51	235.01	199.69	242.14	47.92	304.77	59.34	224.16	0.0	142.98	287.49
Nsd1	13.85	64.84	38.56	41.92	38.3	63.53	26.88	50.33	115.65	49.29	53.77	87.79	91.06	32.71	29.16	0.0	27.17	124.06
Pfdn4	271.75	304.03	2.83	52.96	0.0	0.0	61.69	79.4	331.11	92.04	140.36	108.88	108.39	125.1	88.98	0.0	86.5	183.06
Psme4	1.58	22.09	0.0	1.77	0.37	0.0	1.09	4.47	7.93	0.26	0.69	32.56	7.2	5.21	4.86	0.0	68.93	158.27
Rnf170	0.0	52.28	0.0	0.0	0.09	0.0	0.11	0.0	95.87	0.0	5.04	13.69	56.42	0.0	22.26	5.45	0.0	110.76
Thoc7	106.32	32.45	0.0	56.75	0.0	9.19	40.87	68.55	299.94	160.63	260.06	179.51	430.04	203.77	74.87	0.0	3.68	303.03
Tnfrsf1b	0.09	0.0	0.0	0.0	0.0	0.09	0.09	0.0	0.41	0.0	0.0	0.18	0.09	0.0	0.0	0.0	0.0	0.11
Trove2	12.18	32.55	0.06	3.74	46.53	24.92	9.04	16.86	183.47	12.44	10.52	17.9	33.84	0.16	23.76	0.12	0.24	62.32
