	Chrna2_tdTpositive_cell_38	Cux2_tdTpositive_cell_5	Ntsr1_tdTpositive_cell_31	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2310003H01Rik	0.0	0.0	0.0	10.36	10.99	10.75
2900092E17Rik	1.18	0.51	0.0	70.08	78.55	74.26
4930503E14Rik	0.0	0.0	0.0	0.27	0.11	0.16
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4933432B09Rik	0.0	0.46	0.0	5.87	4.74	5.87
6330503K22Rik	13.22	0.0	0.0	41.82	37.85	43.37
6530411M01Rik	0.0	0.0	0.0	1.48	1.47	1.19
Ahrr	0.0	0.0	0.0	0.5	0.57	0.75
Amigo2	0.0	0.0	0.0	9.18	9.25	7.22
Ap4e1	3.54	0.55	0.0	9.83	8.98	10.05
Arhgap33	0.0	0.0	0.08	124.52	124.01	136.22
Arl10	0.0	0.0	0.0	23.1	23.85	23.95
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
C1ra	0.3	0.0	0.0	2.46	2.46	3.03
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Capn6	0.0	0.0	0.0	1.94	1.96	2.31
Cdc42bpb	4.91	1.95	0.0	81.28	84.68	83.31
Celsr3	0.0	4.72	0.0	42.74	41.54	46.86
Cenpn	0.0	0.14	0.0	1.74	1.11	1.57
Chpt1	5.68	3.3	0.0	33.45	24.64	32.57
Chrna5	0.58	0.1	0.25	3.0	2.42	2.85
Cldn10	0.0	0.0	0.0	53.64	54.76	57.81
Clec7a	0.0	0.0	0.0	0.35	0.29	0.45
Dnase1l3	0.0	0.0	0.0	0.03	0.1	0.17
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Eif2c2	0.0	0.0	2.89	26.1	22.83	28.05
Elovl7	0.0	0.36	0.0	9.12	9.28	9.34
Fbln1	0.0	0.0	0.07	5.42	5.33	4.65
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gga2	1.58	0.4	0.0	18.05	18.84	18.09
Gm16982	0.0	0.0	0.0	1.2	1.24	1.36
Gm8267	0.0	0.0	0.0	0.51	0.12	0.22
Gm8773	0.0	0.0	0.0	0.0	0.15	0.08
Golph3l	13.65	0.0	0.0	15.76	14.55	14.31
Gpr56	0.0	0.0	0.0	35.18	41.0	42.34
Grid2	0.0	0.0	0.0	7.2	8.47	8.34
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.19	0.19	0.0	0.38	0.28	0.38
Hist1h2br	0.19	0.19	0.0	0.38	0.28	0.38
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hps4	0.0	0.24	0.0	16.87	16.53	16.53
Impa2	0.0	0.0	0.0	6.57	5.91	6.78
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Iqca	0.0	0.0	0.0	0.64	0.58	0.32
Jakmip1	0.0	12.75	0.0	88.25	91.99	89.79
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kremen1	0.0	0.0	0.0	13.49	12.14	15.16
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lass1	0.0	0.0	0.0	93.67	94.17	91.77
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc29	0.0	0.0	0.0	1.45	1.65	1.65
Mmp24	0.0	0.23	0.0	27.56	27.39	26.04
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Muc6	0.0	0.0	0.0	0.14	0.09	0.07
Mycl1	0.0	1.48	0.0	11.76	12.95	13.2
Naip1	0.0	0.0	0.0	0.37	0.12	0.12
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Panx2	0.0	0.0	0.0	71.83	76.59	75.56
Pgm5	0.0	0.02	0.0	2.24	2.12	2.48
Phf2	0.0	0.0	0.0	25.4	26.09	28.47
Plekhb1	0.0	0.0	0.0	297.36	295.72	317.45
Rbm17	14.59	0.0	0.0	59.56	64.19	62.63
Samhd1	0.0	0.19	0.09	10.45	11.23	11.84
Slc39a11	0.0	0.0	0.0	13.51	11.6	12.26
Sp140	0.0	0.12	0.0	0.88	0.58	0.85
Srd5a3	0.0	0.0	0.0	22.26	22.56	21.72
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmcc3	0.0	0.0	0.0	21.12	20.5	21.32
Tnfaip3	0.0	0.0	0.0	4.95	4.27	3.9
Trat1	0.0	0.0	0.0	0.9	0.28	0.93
Trpc6	0.0	0.0	0.0	9.24	6.84	7.95
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zfhx3	0.0	0.02	0.0	1.1	0.91	1.29
Zmynd19	0.0	0.0	0.0	37.25	34.94	34.39
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	455.05	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	6.63	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
