	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_138	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310046A06Rik	0.0	0.0	0.0	15.97	144.46	1.59	138.16	71.1	29.8	189.31	23.77	86.62	86.59	203.04	0.0	0.0	0.07	0.1	0.0	0.22	0.26	0.0	0.0	0.0	0.0	0.0	0.0	137.84	0.0	0.0	0.0	0.0	0.0	28.3	240.44	0.0	55.51	0.0	0.0	0.0	79.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.34	0.0	39.65	67.33	14.03	86.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	48.93	0.0	0.0	269.92	75.9	102.99	81.03	30.02	27.88	27.38
Aco2	266.61	128.05	127.67	520.03	474.32	373.95	160.56	336.25	535.75	263.58	594.23	542.99	531.23	433.19	121.69	308.65	258.17	162.17	397.3	191.42	143.16	100.13	330.92	246.07	309.36	395.05	195.86	427.25	118.68	328.94	132.98	321.1	116.01	562.97	482.76	248.34	399.06	207.15	250.41	136.06	849.71	58.21	10.77	111.93	135.52	102.42	185.19	0.06	252.26	307.26	303.82	364.65	328.69	347.34	61.13	188.33	436.16	17.37	79.11	55.04	29.39	216.49	248.67	169.27	183.65	149.35	168.57	117.4	1338.14	260.91	264.59	288.82	409.16	435.87	422.79
Atrnl1	0.0	0.0	0.0	4.18	36.41	0.66	1.61	16.99	8.07	6.05	60.45	11.71	30.26	0.12	0.67	2.53	22.67	0.02	0.05	0.02	1.21	0.03	0.14	0.0	0.0	1.05	0.0	6.03	0.45	30.4	0.0	8.82	0.04	2.56	8.72	0.04	39.14	0.0	1.8	0.0	26.5	0.0	0.0	17.8	0.0	18.06	0.0	0.0	0.0	0.0	0.0	22.39	37.96	10.98	4.08	4.72	41.04	0.0	0.0	0.0	1.37	0.0	2.35	7.13	0.0	0.77	0.0	0.46	59.7	14.93	11.9	14.64	61.86	59.81	61.57
Birc6	26.43	6.34	28.18	33.46	50.17	42.71	34.48	37.89	19.32	43.8	63.13	42.79	34.73	16.51	22.1	17.88	9.19	22.72	21.48	19.67	28.12	25.28	21.65	29.4	7.33	30.16	15.4	25.76	11.1	40.1	28.09	8.47	15.12	29.68	26.09	10.89	17.13	10.26	16.92	15.18	43.53	20.01	34.88	13.18	8.32	9.95	16.66	5.26	7.15	8.4	4.77	33.22	34.26	53.88	63.81	27.91	59.78	0.37	25.72	7.61	15.7	17.1	16.48	9.29	7.53	27.28	5.73	31.5	57.1	35.1	52.2	45.13	32.65	28.87	33.37
Cacna2d1	0.0	0.0	0.0	205.92	0.45	96.28	107.57	172.57	66.64	43.73	199.62	84.83	0.7	9.02	0.02	0.15	0.06	0.03	0.04	0.04	0.01	0.01	0.0	0.04	0.04	0.0	0.0	57.71	0.0	0.0	0.0	0.04	0.0	113.99	96.53	0.04	9.68	0.04	0.0	0.0	47.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.9	30.97	60.26	34.12	184.72	329.9	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.0	0.0	0.0	37.41	30.48	38.9	31.18	99.54	89.77	97.68
Caln1	0.0	0.0	0.0	112.07	69.07	369.65	369.42	307.75	164.98	288.15	250.77	263.21	121.08	90.24	0.0	0.0	0.07	0.11	0.07	0.0	0.09	0.1	0.0	0.0	0.0	0.17	0.0	16.66	0.0	0.0	0.0	0.0	35.76	134.15	213.55	0.26	207.61	0.0	0.0	0.0	388.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.11	257.96	13.15	92.45	53.77	86.24	0.71	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	504.92	114.34	76.1	77.6	76.86	66.76	76.33
Car4	0.0	0.0	0.0	196.15	936.66	411.58	407.16	106.1	657.79	301.99	574.44	446.26	446.49	585.49	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	660.03	0.0	0.0	0.0	0.0	0.0	582.19	418.88	0.0	403.87	0.0	0.0	0.0	460.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.22	65.33	0.18	23.86	401.05	187.43	0.0	0.0	0.0	0.27	0.0	0.0	0.15	0.24	0.37	0.35	0.0	2198.23	0.23	1.65	0.0	49.01	52.92	48.62
Cbfa2t3	0.0	0.0	3.04	0.0	3.38	5.41	0.0	0.0	10.6	0.05	9.46	5.43	0.0	0.0	0.0	3.96	0.01	0.23	0.0	0.0	5.49	0.03	4.23	0.0	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	1.22	0.0	0.0	0.22	6.19	0.0	7.68	0.0	0.11	0.0	0.0	0.02	0.02	0.0	2.24	10.56	8.45	3.07	2.66	7.8	0.34	0.0	8.41	5.23	0.0	0.0	0.0	0.0	0.04	7.21	0.06	0.06	14.79	6.37	6.82	6.41	10.01	9.85	9.29
Cep97	18.1	0.0	0.1	70.81	4.17	0.06	0.19	0.07	34.32	4.16	189.82	0.64	0.74	0.33	5.56	0.06	0.03	0.15	1.98	0.4	1.71	0.19	0.06	0.15	0.14	0.02	0.0	37.79	0.24	0.13	0.34	0.07	0.09	0.22	3.73	0.33	0.0	2.03	0.04	0.0	3.72	0.42	23.64	23.6	0.22	1.11	0.19	0.39	22.23	10.5	0.19	18.57	20.35	0.31	1.51	26.46	0.92	0.15	0.56	0.32	0.56	0.09	0.25	0.38	0.2	0.0	19.25	0.07	109.56	5.77	9.01	8.46	9.96	10.01	11.93
Cit	0.0	0.2	0.84	6.69	3.29	15.4	1.13	1.61	1.62	2.43	7.66	3.71	2.85	8.16	0.0	0.37	0.79	0.03	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	2.91	0.04	0.0	0.0	0.0	0.0	28.5	5.25	0.0	4.85	0.92	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.79	7.15	5.86	3.3	20.77	53.54	0.0	0.0	0.0	14.34	0.63	0.0	1.98	0.04	8.33	6.76	1.38	126.29	3.61	2.05	2.98	37.49	36.91	41.69
Cpne7	0.0	0.0	0.11	115.62	214.18	99.87	5.07	104.11	242.98	190.54	249.2	68.65	45.88	66.86	0.14	0.0	0.0	0.05	0.0	0.0	0.0	0.0	2.72	0.0	0.0	0.0	0.0	2.15	0.13	0.0	0.0	0.0	0.0	87.97	10.88	0.0	45.85	0.0	0.0	0.0	16.68	0.0	0.11	0.0	0.0	0.0	1.66	0.0	0.13	0.0	0.0	9.43	32.21	14.04	34.55	0.0	0.0	0.0	0.0	0.0	94.61	0.0	0.0	0.0	29.39	50.95	0.0	0.0	368.03	0.0	0.12	0.0	70.78	77.82	81.68
