	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_78	Ndnf_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_23
4833439L19Rik	0.0	58.99	0.0	0.28	400.27	90.35	497.97	713.97	1.1	133.36	315.47	0.0	258.61	385.42	1.88	369.87	0.28	921.7	0.0	185.06
4933439F18Rik	0.0	27.17	0.33	0.42	72.62	110.29	47.55	152.53	19.1	11.55	50.49	19.64	183.67	2.17	75.47	7.52	0.13	46.11	0.55	90.76
Car2	0.23	4911.3	0.0	4257.98	15763.42	17850.77	25756.96	9468.2	12131.73	5781.53	17622.48	2.04	16120.27	16669.5	15241.22	18563.42	9185.49	10961.65	2.44	26731.44
Cbx1	0.0	0.0	7.14	0.0	109.14	12.61	0.94	198.28	0.0	0.0	0.19	0.0	137.71	26.43	96.66	0.0	0.0	51.1	0.0	118.58
Cryab	905.72	5961.4	0.0	0.53	7808.12	5786.55	3875.93	7603.22	4348.26	5082.85	6110.99	0.0	7728.59	8298.69	4516.48	6806.38	6764.85	5150.03	1.07	6825.4
Gm12504	0.0	9.59	0.0	2.13	4.87	2.23	5.56	6.17	2.24	2.7	3.67	1.63	18.91	442.11	4.12	6.32	3.27	11.93	0.5	6.82
Hadh	0.0	156.77	0.0	0.0	420.78	230.59	0.34	372.47	0.0	0.0	218.67	0.0	790.06	0.17	416.62	287.49	0.0	1.94	0.0	669.02
Lamtor3	0.0	0.0	0.0	0.0	0.0	0.0	1.42	394.32	1.3	0.0	0.0	0.0	541.16	0.23	0.0	0.0	0.0	458.23	0.0	501.42
Litaf	0.0	658.04	0.0	0.0	611.46	558.34	977.52	1123.02	206.36	639.36	1026.85	10.82	2046.75	2123.94	811.61	1055.63	505.09	1292.94	12.77	1419.6
Lyrm2	1.41	0.13	4.94	0.0	97.73	0.0	5.07	412.0	2.59	0.59	0.78	0.79	638.41	9.27	0.0	35.33	152.89	400.66	0.0	454.89
Ndufa2	0.0	108.79	0.0	0.0	266.94	276.54	588.91	520.18	94.34	0.0	185.31	0.0	733.27	748.13	0.0	339.67	2.47	429.19	0.0	508.08
Nop56	0.0	756.83	0.0	555.69	0.0	232.24	1.24	468.63	0.21	0.21	0.38	0.0	640.09	516.11	0.0	540.9	0.0	263.78	0.0	402.11
Pfdn2	0.0	0.0	0.0	0.0	7.77	5.43	6.05	0.0	12.54	8.03	4.51	0.0	346.88	344.12	1.2	254.92	0.0	417.8	0.0	231.73
Ptma	1604.1	1843.02	0.85	369.31	2294.77	1992.56	2188.07	3293.68	2577.07	964.08	1987.44	1631.94	7145.89	6498.26	2147.73	2700.4	1462.66	3263.41	82.04	2295.03
Sep15	346.74	454.74	47.88	0.0	670.06	421.14	711.74	1576.8	452.62	0.0	203.31	0.0	1603.61	504.92	38.41	0.0	0.81	713.68	0.0	754.19
Shfm1	0.93	277.66	0.0	0.0	261.51	352.7	3.94	871.74	166.23	0.0	1.07	0.0	1210.26	417.08	0.0	255.61	309.23	206.82	0.0	831.75
Slc12a2	0.0	196.11	0.0	0.0	137.87	96.08	210.47	297.91	97.05	0.0	213.6	0.37	138.99	351.18	154.59	245.47	227.99	177.68	1.69	547.62
Taldo1	473.25	1828.83	0.0	561.09	2722.05	1281.09	2194.68	3290.15	1577.35	2071.78	1470.48	0.97	4955.39	2200.65	2205.85	3330.1	3773.65	3092.88	630.71	2018.54
Trf	0.53	22673.57	0.0	0.0	15977.79	40934.39	59004.26	12138.52	16338.74	12393.46	20574.64	4.67	24636.45	26091.44	47798.56	67608.53	30444.99	24780.17	1686.77	31832.26
Tsc22d4	0.0	52.7	0.0	0.0	183.66	48.41	39.23	349.82	96.93	4.45	101.63	0.0	492.08	16.11	262.36	244.11	10.21	376.99	0.0	359.47
mt_AK142751	202.36	1367.33	994.84	290.46	1123.61	1693.91	782.11	2690.08	389.52	995.51	5.76	0.0	2390.05	863.79	1727.22	1053.88	1548.37	2176.53	1061.58	1935.51
