	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_59	Htr3a_tdTpositive_cell_9	Htr3a_tdTpositive_cell_28	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_31	Ntsr1_tdTnegative_cell_21	Rbp4_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_22
2810046L04Rik	0.0	0.0	110.43	120.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5031425E22Rik	0.0	0.24	77.97	48.06	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0
9030418K01Rik	0.0	117.94	85.65	69.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9530008L14Rik	0.0	0.44	1.59	1.61	0.0	0.24	0.07	0.21	0.21	0.8	0.5	0.0
A730017L22Rik	106.88	92.77	140.52	147.11	0.0	55.4	34.43	79.3	63.12	90.68	31.73	3.85
AA536875	0.27	2.33	3.52	3.91	0.0	0.94	0.05	1.46	1.64	1.91	1.32	0.0
Amy2a2	0.0	0.06	0.17	0.28	0.0	0.11	0.05	0.06	0.33	1.18	0.52	0.0
Amy2a3	0.0	0.06	0.17	0.28	0.0	0.11	0.05	0.06	0.33	1.18	0.52	0.0
Amy2a4	0.0	0.06	0.17	0.28	0.0	0.11	0.05	0.06	0.33	1.18	0.52	0.0
Anapc5	0.32	0.46	175.23	277.65	0.0	2.35	3.81	7.24	48.39	0.37	0.74	0.0
B130024G19Rik	0.0	141.44	373.57	1.46	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0
Cab39l	0.0	259.12	197.64	223.19	0.0	0.0	0.0	131.09	126.4	0.0	0.0	0.0
Ccdc66	29.98	18.23	197.47	158.16	0.0	87.5	31.92	0.0	25.23	54.24	63.69	0.0
Clock	0.0	4.58	103.82	105.55	0.0	0.0	0.0	0.08	1.4	0.0	0.0	0.0
Cyp2j13	0.13	7.29	12.5	7.23	0.0	4.07	2.06	0.16	3.49	1.16	0.0	0.0
F730035M05Rik	0.45	2.9	9.36	10.19	0.0	0.0	0.0	3.08	1.75	4.56	0.0	0.0
Fam165b	0.0	169.14	303.55	170.94	0.0	0.0	0.0	75.54	0.0	0.0	0.0	0.0
Gm15881	0.0	109.43	730.95	631.59	0.0	43.92	0.0	0.0	312.25	0.0	0.0	0.0
Id2	8907.33	5669.09	6544.15	6221.65	6.04	8147.91	8635.55	10529.56	9310.73	13784.46	11326.54	0.0
Jmjd1c	0.0	0.0	53.46	57.05	0.0	0.0	0.0	43.81	31.56	33.58	0.14	0.0
Magi3	0.0	80.37	83.52	0.07	0.0	0.0	0.03	0.4	0.0	0.0	0.0	0.0
Mettl4	0.0	195.98	227.16	238.36	0.0	0.0	74.46	53.73	0.0	0.0	0.0	0.0
Mnat1	0.0	20.07	205.79	126.52	0.0	2.52	0.0	18.68	40.93	0.0	0.0	0.0
Nlrp1a	0.0	3.72	7.24	16.52	0.0	1.14	0.14	0.18	5.91	0.0	2.83	0.0
Pldn	0.0	97.89	211.7	141.08	0.0	4.08	79.67	3.18	1.85	12.39	0.0	0.0
Psg28	6.18	21.13	43.11	26.1	0.0	11.97	9.26	7.29	5.87	7.79	13.56	1.14
Scn2a1	0.11	392.48	406.2	336.46	0.0	129.65	134.45	60.68	56.48	0.39	0.0	0.0
Shank1	0.0	9.25	29.67	16.6	0.0	6.47	6.88	4.04	9.07	0.0	0.0	0.0
Sorl1	0.0	202.14	200.14	150.52	0.0	11.49	19.56	2.14	51.42	0.0	0.0	0.0
Srpk1	0.0	67.58	379.39	377.65	0.0	8.19	153.24	0.12	17.03	0.0	0.0	0.0
Syne1	21.03	234.98	383.65	30.26	0.0	4.28	3.36	3.51	3.22	565.11	5.52	9.44
Tnfaip8l3	0.0	386.78	433.17	488.96	0.0	0.0	28.81	0.13	5.09	0.0	0.0	0.0
Ube1y1	10.74	28.73	29.12	30.34	0.0	11.41	3.72	7.09	17.73	21.95	0.91	1.35
Vstm2l	0.0	1.26	5.9	3.93	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0
Zyg11b	6.27	23.19	84.43	76.8	0.0	3.51	9.43	5.04	13.43	5.52	3.77	1.72
