	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20
2700094K13Rik	0.0	0.0	218.6	31.57	0.0	0.0	254.96	57.23	68.06	30.56	0.0	74.5	53.2	0.0	0.0	0.0	0.0	0.0	118.11	229.03
Adamts3	0.0	0.0	102.5	0.08	0.0	0.0	0.34	0.0	12.19	24.59	37.38	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atg4c	0.56	0.0	61.87	20.02	0.19	0.0	103.3	9.02	104.34	56.81	86.23	15.75	66.76	2.72	2.49	0.0	0.0	0.43	62.12	17.04
Bai1	0.0	0.0	5.25	5.95	0.0	0.0	0.0	1.18	2.32	0.88	5.17	0.44	0.48	0.0	0.12	0.26	0.0	0.0	1.13	15.8
Bhlhb9	0.0	0.0	201.53	0.0	0.0	0.0	0.46	44.0	22.72	62.02	0.0	0.0	56.58	0.0	0.0	0.0	0.0	0.0	0.0	151.41
C730002L08Rik	0.0	0.0	197.83	24.49	0.0	0.0	0.0	0.0	0.0	147.64	64.14	249.06	59.87	0.0	0.0	0.0	0.0	0.0	53.39	8.78
Cacnb4	0.0	0.0	219.11	643.65	0.0	0.0	101.28	65.38	74.61	33.61	96.89	13.72	63.46	0.16	0.46	0.0	0.27	0.0	115.26	175.83
Camk2n1	0.0	0.0	451.43	535.52	0.0	0.0	490.45	49.29	57.54	221.83	461.35	306.24	350.47	0.09	1.61	0.0	0.19	0.16	279.64	1038.94
Ccl27b	0.0	0.0	0.3	113.94	0.0	0.0	10.7	54.72	30.68	0.23	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	49.16
Eif1b	0.0	0.0	539.02	211.24	0.0	0.0	2.95	14.2	3.23	143.27	77.52	262.77	344.21	0.0	0.83	160.45	0.0	0.0	137.02	360.19
