	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_41	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110032F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.37	0.0	0.0	0.0	0.0	14.78	19.41	16.81
1190007F08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.82	0.22	0.0	0.0	12.25	0.16	0.0	0.0	0.0	6.19	5.71	6.28
1700125G02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	10.27	0.0	2.72	0.98	2.59
2310030N02Rik	0.0	0.0	0.0	0.0	0.0	5.82	0.0	0.0	0.0	0.0	23.71	0.0	4.3	0.0	0.0	0.0	42.14	0.0	0.0	34.93	0.0	10.56	10.89	11.93
2310067B10Rik	0.0	0.0	0.0	1.36	0.17	0.0	0.0	0.0	0.0	0.0	2.36	0.33	4.29	0.07	0.1	0.0	11.92	0.0	0.0	0.15	1.67	39.04	41.23	42.57
2810417H13Rik	40.53	0.0	0.0	0.0	0.0	0.0	0.0	13.12	7.57	0.0	1.05	0.0	0.07	0.0	0.0	0.0	18.71	0.17	0.0	0.16	0.14	1.04	0.72	1.0
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930519D14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.09	0.0	0.0
6430598A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.24	0.0	0.0	0.0	0.25	13.08	0.62	5.65	0.06	0.0	54.53	60.75	57.14
A330009N23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	56.04	0.0	0.0	0.0	0.0	23.25	20.1	20.39
Adamts9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.07	0.04	0.0	1.36	1.56	1.88
Agfg2	0.0	0.0	0.0	12.92	0.0	0.0	1.52	0.0	0.47	0.0	31.94	1.51	7.3	0.0	0.21	5.29	37.02	1.37	0.0	1.71	0.0	41.97	48.31	43.68
Akp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ankle2	218.6	6.6	0.25	1.85	9.16	16.3	1.03	5.35	11.25	1.18	0.94	4.42	4.75	4.25	6.88	2.97	35.68	1.11	14.38	10.31	9.7	20.77	19.85	19.33
Artn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47	0.0	0.0	0.0	0.0	0.14	0.81	0.66
Baalc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.46	0.0	0.0	0.72	0.89	0.0	0.0	0.0	67.07	0.0	0.0	21.33	0.0	212.21	211.71	226.1
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Cage1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.51	0.0	0.0	0.0	0.0	1.93	1.89	3.42
Car11	0.0	0.0	0.0	0.0	5.62	0.72	0.0	0.0	0.0	0.0	1.11	11.8	0.58	10.87	2.83	9.87	35.82	0.0	17.92	0.0	1.38	214.47	236.01	224.75
Ccdc148	0.26	1.7	0.29	30.38	16.89	0.28	1.36	0.22	0.19	1.27	0.0	1.52	25.86	5.96	26.95	19.14	45.29	4.43	1.11	28.39	0.0	9.13	8.85	9.16
Ccl27b	0.0	9.27	5.57	0.0	0.0	0.0	1.16	2.24	11.35	0.0	1.44	0.0	2.62	1.92	0.0	4.77	9.42	1.56	0.0	9.34	0.21	30.63	28.29	22.96
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cntf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.32	0.0	42.66	0.0	80.66	0.0	0.0	0.0	0.0	1.75	1.33	1.29
