	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110032A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.27	0.0	0.0	3.7	4.06	2.85
1700010J16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28	0.0	0.0	0.0	0.0	0.0
1700040I03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.4	0.0	0.0	24.68	26.67	26.12
2010002N04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	38.95	0.0	0.18	7.84	7.86	7.06
2510039O18Rik	0.0	0.0	0.0	0.0	0.0	18.01	7.1	3.95	0.0	47.96	0.0	0.0	24.71	26.72	25.18
3110045C21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.58	0.0	0.0	1.26	1.0	1.46
4922501L14Rik	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	28.03	0.0	0.0	9.48	7.63	7.39
4931440J10Rik	0.0	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.11	0.0	0.24
9530036O11Rik	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.18	0.0	3.18	0.13	0.0	0.65	0.41	0.42
9530080O11Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.0	57.2	0.0	0.0	2.77	3.45	3.24
A930041C12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
AI316807	0.0	6.27	0.0	0.0	0.96	7.5	2.98	0.0	0.0	71.46	0.0	0.0	33.02	33.81	32.06
AI414108	0.0	4.48	0.65	0.0	0.0	2.89	0.0	0.0	0.0	29.08	0.0	0.0	36.11	32.14	36.3
Abi3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	7.4	6.13	7.27
