	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_6	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008P14Rik	27.17	37.93	0.0	121.61	0.0	66.28	135.46	1.0	105.52	24.03	7.08	87.26	33.13	19.32	176.68	44.94	33.79	40.52	0.0	0.0	144.05	0.95	151.0	0.38	462.38	0.0	74.39	0.55	0.0	47.78	0.0	2.19	63.4	0.0	89.59	324.54	345.48	339.21	219.79	237.06	257.04
2610027L16Rik	0.0	0.0	0.0	66.61	0.45	3.55	0.0	0.09	13.86	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.5	0.0	0.52	0.0	0.0	0.0	0.0	2.12	1.96	0.0	0.12	19.29	0.0	4.61	0.0	0.15	0.87	0.0	0.0	2.42	0.98	2.11	8.48	9.03	7.62
2700049A03Rik	23.73	0.0	0.0	68.41	0.0	0.0	0.0	19.75	5.95	0.0	0.0	0.0	0.63	8.3	16.54	0.0	0.0	8.83	0.05	0.0	0.0	0.0	24.51	18.68	6.01	0.0	1.28	0.0	0.0	0.0	1.57	6.79	0.0	0.0	0.0	4.05	4.33	4.94	4.43	4.49	4.88
3110047P20Rik	0.0	0.0	0.0	45.42	0.0	0.0	0.01	0.01	22.13	0.0	0.0	17.5	24.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	2.15	1.53	8.96	0.0	25.52	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.97	1.95	2.12	25.71	21.32	21.77
A2ld1	2.45	14.42	0.0	188.93	0.0	37.32	40.16	2.65	3.83	13.41	1.19	81.59	11.84	58.54	71.44	6.17	1.24	40.54	19.03	75.09	11.24	70.03	74.47	18.25	23.56	0.0	19.52	126.46	0.0	21.18	1.67	0.0	5.24	0.42	11.59	2.01	6.6	5.99	22.0	27.21	24.48
Actl6a	16.07	0.0	0.0	128.06	0.0	31.81	7.05	0.05	0.0	29.64	2.22	0.0	0.0	0.0	0.0	65.91	0.17	0.0	0.0	0.0	32.5	1.05	57.17	0.0	11.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.42	35.76	19.03	17.78	16.37	16.42	15.65
Adam23	13.01	64.14	0.0	85.42	0.0	6.01	29.35	0.85	14.08	8.23	21.11	4.46	8.13	24.91	47.28	3.51	14.93	14.06	5.76	26.79	6.73	3.99	7.55	19.28	28.36	0.0	17.34	0.05	6.79	9.05	34.15	9.55	0.38	5.33	3.78	15.86	25.01	23.44	71.1	68.34	75.94
Akap8l	25.51	0.0	0.0	149.92	0.0	25.97	0.15	1.39	0.22	58.12	12.5	0.0	82.81	2.6	0.0	0.85	53.79	3.84	49.06	0.0	46.81	0.28	11.17	3.38	60.05	0.0	12.79	0.16	0.0	77.13	0.0	92.26	0.15	0.0	54.39	17.79	21.24	15.02	131.54	137.91	145.39
Alkbh2	0.0	0.0	0.0	73.37	0.0	0.0	26.37	0.0	2.05	0.0	0.0	18.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.47	0.0	0.0	0.0	30.83	0.0	0.0	0.0	0.0	0.0	1.7	0.0	4.96	2.01	1.69	8.05	7.31	6.35
Arpc2	50.07	23.93	0.21	194.19	0.0	164.19	39.41	7.03	28.7	59.81	44.34	133.17	0.4	32.03	82.44	137.45	62.2	59.61	81.16	1.8	60.77	12.26	24.93	35.73	182.87	0.0	111.29	1.29	0.0	74.78	44.07	4.14	112.26	28.14	5.68	90.45	124.3	137.58	241.89	250.26	236.95
