	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_8	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_25	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_1	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_1	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
0610010B08Rik	0.0	0.24	0.0	0.0	2.47	0.56	35.46	8.8	0.1	0.0	0.0	6.21	29.6	3.21	48.31	0.0	1.61	45.53	30.03	1.11	12.26	41.3	1.56	26.9	8.58	37.24	7.76	28.14	15.71	13.5	27.59	29.85	25.61	14.58	37.78	14.76	8.18	41.16	2.68	0.7	22.01	28.48	1.95	10.96	28.79	2.35	32.18	15.14	11.07	16.27	11.1	4.52	15.46	12.05	20.25	5.58	3.11	5.5	15.13	14.51	0.26	15.4	24.77	28.25	11.97	0.47	11.04	38.82	74.99	6.95	26.52	2.28	6.28	35.95	41.86	7.16	0.49	0.06	0.25	44.09	10.16	6.87
5730507C01Rik	14.24	2.56	1.5	8.31	1.16	0.86	12.6	3.52	41.6	0.0	2.35	13.72	2.65	7.06	4.07	6.1	0.59	6.34	6.05	4.43	4.76	9.39	1.86	9.61	0.34	8.3	0.0	11.3	40.93	11.28	4.52	0.55	7.02	25.27	8.05	14.97	5.63	64.52	8.36	5.41	0.85	3.84	9.33	39.01	1.59	25.63	5.69	3.22	6.59	25.4	12.92	9.71	12.38	5.64	9.17	3.76	0.18	0.5	20.95	1.7	15.84	1.91	33.06	9.88	6.31	3.31	14.56	21.39	3.92	0.39	7.62	0.98	4.25	10.24	9.86	4.44	0.35	0.0	0.0	2.5	14.45	4.44
A930001N09Rik	0.0	0.0	2.53	0.0	0.07	0.0	15.96	43.4	8.3	0.0	0.0	4.3	12.68	1.65	12.02	0.0	2.83	12.59	21.29	1.52	13.35	6.33	26.67	0.43	19.26	7.16	12.0	1.15	14.58	3.66	2.29	0.59	19.18	51.06	22.78	27.73	15.69	42.13	1.53	2.41	17.6	4.94	34.75	7.5	8.39	9.54	1.91	40.53	15.8	25.52	44.15	25.58	4.07	11.02	24.77	31.44	10.81	12.22	0.0	16.15	16.95	24.37	10.31	22.3	12.56	61.38	0.13	0.13	23.11	24.1	34.1	14.42	8.84	18.05	23.67	27.22	0.07	0.0	0.11	0.04	16.92	0.0
Acox3	0.0	1.56	0.0	0.0	0.0	0.0	24.66	0.39	0.0	0.0	0.0	2.55	0.0	0.0	0.11	0.0	0.0	0.0	27.63	0.0	0.6	4.2	23.6	22.3	0.21	0.0	0.19	0.0	29.15	3.82	10.2	36.66	0.0	0.0	0.0	26.58	1.62	135.04	0.0	0.0	0.0	30.46	45.45	9.45	0.0	0.0	0.0	105.19	64.73	0.0	50.07	2.07	1.97	1.95	0.0	2.76	0.0	0.0	3.1	1.26	0.0	0.31	4.58	55.09	0.0	0.14	0.0	0.0	0.0	0.0	4.66	0.53	0.0	0.0	0.0	0.64	0.1	0.0	0.0	1.12	0.0	0.0
Armc8	0.1	0.1	0.0	0.0	0.1	0.0	67.05	56.16	0.0	0.0	29.5	110.03	74.07	0.0	22.88	0.15	0.0	31.03	112.43	95.94	24.52	35.74	40.49	4.93	0.23	20.21	29.99	83.37	29.32	1.3	36.96	141.55	32.83	21.1	43.73	71.55	83.56	178.23	106.91	0.0	79.64	65.88	163.1	56.1	39.06	153.27	99.23	37.2	68.31	50.83	75.31	50.13	36.35	63.45	106.82	60.69	0.0	60.46	27.21	1.92	0.12	31.81	128.99	60.64	0.0	41.1	26.36	60.96	48.66	54.32	61.17	39.19	35.36	5.01	233.83	38.71	11.5	0.1	0.16	57.22	72.39	102.77
Atrnl1	0.0	7.5	0.0	0.0	0.0	0.0	60.72	1.08	0.0	0.0	0.0	7.78	15.83	5.93	20.2	0.0	0.0	26.5	16.19	0.3	7.46	11.57	23.35	17.08	14.09	12.58	0.0	2.84	11.15	11.81	10.99	5.96	27.21	25.53	30.3	0.49	6.78	1.86	13.08	2.46	5.5	26.78	32.5	0.0	19.31	3.0	34.49	47.22	41.62	46.6	39.5	10.09	30.03	46.14	3.02	6.5	0.0	0.67	31.35	44.86	3.46	30.24	11.38	2.51	19.06	2.43	2.24	89.86	21.85	12.67	20.28	32.85	1.57	25.01	35.07	26.53	0.0	0.0	0.0	1.58	68.86	0.0
Bax	0.0	0.0	0.0	0.0	0.0	0.0	20.82	0.0	0.0	0.0	0.0	7.91	31.02	43.52	0.0	15.94	0.0	75.06	21.99	106.63	35.74	78.21	103.08	20.38	0.0	41.45	0.0	31.48	20.31	32.41	55.44	0.0	38.2	34.64	87.22	28.97	23.95	69.92	55.86	0.0	0.55	0.0	52.7	39.12	57.32	0.63	0.0	98.95	41.12	65.14	97.32	66.61	9.49	0.0	19.59	0.0	0.0	125.61	37.5	59.72	25.21	0.75	40.02	0.48	0.0	139.8	109.62	0.0	61.18	0.55	24.95	43.45	0.0	0.0	36.83	27.4	0.0	0.0	0.0	43.07	26.42	3.53
Cby1	539.64	203.46	0.0	0.0	0.0	0.0	55.15	0.58	0.0	0.0	0.0	78.61	19.99	17.25	30.47	0.0	0.0	122.97	48.48	0.0	155.13	135.33	31.24	132.15	132.64	32.85	0.0	44.48	90.62	199.13	45.46	63.18	88.35	68.26	47.39	32.33	120.87	188.38	241.25	0.0	107.42	62.12	168.08	0.0	74.15	187.73	197.63	0.0	124.86	88.9	194.76	74.14	148.41	136.07	180.41	80.22	24.11	151.78	216.57	65.49	51.4	0.0	82.99	107.95	91.69	5.47	118.83	0.0	169.99	10.0	102.68	10.94	65.15	11.11	49.37	49.09	0.77	0.0	0.0	25.86	111.25	0.0
Ccl27b	0.0	0.54	0.0	0.0	0.0	0.0	9.27	2.09	0.0	0.0	16.88	0.77	2.51	0.6	1.67	0.0	0.0	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	0.0	1.08	0.0	4.51	0.0	7.64	1.16	0.0	0.0	0.68	11.35	0.0	24.17	0.0	0.0	0.0	3.31	2.97	0.0	2.97	3.28	0.76	5.49	1.44	0.31	0.0	0.0	11.61	10.04	0.0	2.62	1.92	0.0	4.77	0.0	9.42	8.43	2.09	8.14	1.21	0.0	1.56	0.0	0.0	1.65	0.3	0.0	0.74	9.34	0.46	0.23	0.0	1.25	0.79	0.21
Cnnm1	0.0	1.32	0.0	0.0	0.0	0.0	29.1	6.72	0.0	0.0	0.0	21.92	16.75	20.84	26.45	0.0	0.0	33.53	11.15	25.63	41.51	55.6	87.49	15.63	59.13	39.08	0.29	17.69	30.69	41.34	29.58	15.85	53.71	28.56	29.59	37.38	4.7	37.71	0.15	1.55	18.12	32.27	3.73	4.61	25.36	6.2	71.91	47.58	30.63	20.87	35.36	33.97	37.23	14.25	23.7	39.12	0.0	24.8	54.02	33.8	10.44	70.5	56.95	16.12	46.35	18.65	44.86	15.69	50.16	12.87	42.7	41.76	40.04	23.82	30.46	21.87	0.0	0.0	0.0	10.08	44.27	85.73
