	Calb2_tdTpositive_cell_46	Cux2_tdTpositive_cell_117	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_1	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_45	Slc17a6_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_1
Akap11	0.21	107.71	0.0	0.08	0.24	0.35	0.12	0.38	0.06	0.61	0.95	0.16	0.35	1.0	58.05	28.24	57.2	19.86
Amy2a2	0.27	0.62	0.0	0.04	1.89	0.56	0.0	0.06	0.0	0.5	1.53	0.32	0.11	0.95	0.66	0.42	0.67	0.16
Amy2a3	0.27	0.62	0.0	0.04	1.89	0.56	0.0	0.06	0.0	0.5	1.53	0.32	0.11	0.95	0.66	0.42	0.67	0.16
Amy2a4	0.27	0.62	0.0	0.04	1.89	0.56	0.0	0.06	0.0	0.5	1.53	0.32	0.11	0.95	0.66	0.42	0.67	0.16
Ankrd42	0.0	0.12	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.5	7.12	10.39	5.99
Ccdc127	1.32	240.63	0.31	0.0	2.04	2.58	1.41	1.77	0.98	5.01	6.07	3.43	2.55	6.01	40.0	64.04	49.85	62.02
Ccdc6	0.0	184.32	0.0	0.0	625.85	193.14	0.0	0.0	279.05	28.58	8.69	0.0	0.22	0.38	113.16	153.9	378.97	95.55
Ccl27b	0.0	45.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	694.81	0.0	0.0	0.0	0.81	41.42	184.7	0.0	164.03
Cds1	0.0	61.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.07	0.0	0.0	0.0	0.53	175.91	122.95	110.0	25.11
D11Wsu47e	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.72	0.0	0.0	0.0	0.96	0.0	0.0	119.98	7.48
Eif2b1	7.39	66.44	2.14	1.65	9.21	16.0	2.58	5.84	0.24	25.04	14.25	13.94	4.31	20.86	126.21	84.84	89.92	109.32
Fem1a	37.99	0.03	0.0	0.0	0.0	0.07	0.14	0.0	0.0	0.0	0.18	0.0	0.0	0.61	20.98	0.0	36.37	0.16
Gabrb3	0.23	245.98	0.0	0.06	0.16	0.08	0.18	0.0	0.0	0.0	0.21	0.0	0.14	2.77	20.16	65.22	65.88	49.0
Galns	0.0	0.42	0.0	0.0	0.29	0.0	0.0	0.42	0.0	0.0	0.0	0.25	0.0	0.0	6.97	20.37	60.34	6.23
Gm13306	0.0	45.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	694.81	0.0	0.0	0.0	0.81	41.42	184.7	0.0	164.03
Gm14430	0.0	21.38	0.0	0.04	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	5.79	7.01	14.24	11.7
Gm14434	0.0	21.38	0.0	0.04	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	5.79	7.01	14.24	11.7
Gm2506	0.0	45.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	694.81	0.0	0.0	0.0	0.81	41.42	184.7	0.0	164.03
Gm4724	0.0	21.38	0.0	0.04	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	5.79	7.01	14.24	11.7
Ikbkap	0.14	18.83	0.0	0.0	0.22	0.0	0.0	0.11	0.1	25.39	0.39	0.19	0.0	0.39	74.74	20.63	2.26	9.79
Jmjd1c	0.0	21.57	0.0	0.0	119.57	0.0	69.21	0.0	0.0	0.0	9.49	68.93	0.0	170.26	13.66	3.26	49.36	7.68
Malat1	39153.4	6759.68	34629.26	27279.73	49997.19	36360.95	45771.77	12657.81	20663.74	44430.42	38289.55	41098.96	37683.97	31369.39	8329.9	6099.87	9239.76	5008.91
Nudt15	0.0	67.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.46	91.81	0.0
Pcp4l1	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.79	11.23
Phactr1	17.89	149.28	0.0	0.09	0.19	0.36	0.0	0.21	0.0	36.18	10.37	0.0	0.16	3.42	45.71	81.75	112.01	216.24
Rab31	1.67	62.64	0.0	169.56	0.0	604.94	0.0	0.0	0.18	0.0	0.72	0.0	0.17	3.01	10.47	80.81	143.41	19.82
Rab3c	1.36	18.89	0.08	0.17	0.61	0.78	0.56	0.0	0.0	2.12	0.0	0.67	0.26	2.26	317.83	251.02	97.68	29.24
Rer1	0.0	111.72	0.0	7.79	575.26	0.0	0.0	0.0	0.0	0.0	0.0	1105.58	135.23	143.04	152.51	36.56	98.34	16.19
Rnf165	0.38	9.42	2.59	3.03	0.59	0.0	0.0	0.0	0.0	2.61	0.74	0.0	0.65	0.45	8.07	0.94	17.97	4.38
