	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_12	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_60	PvalbD.Slc32a1_tdTpositive_cell_9	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700027F09Rik	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0
1700102P08Rik	0.0	0.0	0.0	0.0	20.84	1.47	1.9	1.52
1810041L15Rik	0.0	0.0	0.0	0.0	4.12	27.73	26.54	27.94
2310079F23Rik	0.0	0.0	0.0	0.0	1.75	4.16	4.48	4.42
2410057H14Rik	0.0	0.0	0.0	0.0	32.06	0.53	0.5	0.37
4930447C04Rik	0.0	0.0	0.0	9.77	29.4	10.29	7.15	11.48
4930488B22Rik	0.0	0.0	0.0	0.0	0.49	0.01	0.05	0.26
4930503E24Rik	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0
4931440F15Rik	0.0	0.0	0.0	0.0	21.65	0.49	0.76	0.55
4933425O20Rik	0.0	0.0	0.0	0.0	0.08	2.22	1.91	2.74
4933430H15Rik	10.75	0.0	0.0	0.0	24.27	0.38	0.27	0.36
6330406I15Rik	6.79	9.38	10.05	4.41	83.35	14.73	15.47	17.18
9030612E09Rik	0.0	0.0	0.0	0.0	52.65	2.08	1.91	1.77
9430076C15Rik	0.0	0.0	0.0	0.0	35.84	0.07	0.0	0.03
A430084P05Rik	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.1
A730090H04Rik	0.0	0.0	0.0	0.0	0.16	0.69	0.58	0.66
Aard	0.0	0.0	0.0	0.0	69.72	4.08	2.94	2.84
Acaa1a	0.27	37.09	0.0	0.93	99.44	63.92	64.41	69.33
Adamts9	0.0	0.0	0.0	0.03	0.18	1.36	1.56	1.88
Aff2	0.0	1.56	0.0	0.0	44.49	6.41	6.14	7.48
Aldoart2	0.0	0.0	0.0	0.0	0.18	0.37	0.07	0.13
Amot	0.0	0.0	0.0	0.0	0.04	9.57	8.69	9.56
Ankrd27	0.0	0.0	20.58	5.93	114.39	29.81	28.85	27.84
Ankrd35	0.0	0.0	0.0	0.0	3.59	8.17	7.87	8.85
Atp8b1	0.0	0.0	0.0	0.0	0.04	2.55	2.52	2.42
B930059L03Rik	0.0	0.0	0.0	29.95	148.69	2.07	2.1	2.3
BC089491	0.0	0.0	0.0	0.0	37.46	0.33	1.25	1.36
Brf1	0.0	0.0	0.0	0.0	39.88	35.27	37.61	35.3
C130060K24Rik	0.0	0.0	0.0	0.0	36.69	0.77	0.5	0.69
Cacna1g	0.0	0.0	0.0	0.0	1.99	33.7	32.27	39.81
Catsper3	0.0	0.0	0.0	0.0	19.47	0.15	0.08	0.17
Cbfa2t3	0.0	0.0	0.0	0.0	8.78	10.01	9.85	9.29
Ccr9	0.11	0.0	0.31	0.26	1.69	0.38	0.66	0.73
Cd276	0.0	0.0	0.0	0.0	94.53	11.13	11.56	11.55
Cd83	0.0	0.0	0.0	0.0	22.46	15.75	15.31	13.54
Cdhr3	0.0	0.0	0.0	0.0	24.9	1.07	1.16	1.1
Cdkn1c	0.0	0.0	0.0	0.0	4.99	7.61	8.14	6.14
Clmn	0.45	0.31	0.06	0.23	12.95	24.75	23.49	26.55
D19Ertd386e	1.85	0.0	47.79	0.25	69.59	7.93	7.61	8.13
D7Ertd143e	0.04	0.0	0.0	0.0	1.5	0.0	0.0	0.05
Ddr1	0.0	0.0	2.46	0.0	47.94	49.01	57.35	57.3
Ddx17	83.03	0.28	31.41	18.58	110.81	373.91	351.03	400.91
Efna4	0.0	0.0	0.0	0.0	0.35	0.42	0.35	0.73
Epb4.1l4b	0.0	0.0	0.0	0.0	10.44	8.5	7.42	8.82
Esrra	0.0	1.05	1.43	0.83	15.65	43.22	51.27	47.48
Esrrb	0.0	0.0	0.0	0.0	39.72	1.33	1.15	0.94
Fuk	0.0	0.0	0.0	0.0	6.82	12.3	14.05	13.61
Gga2	0.71	0.28	1.46	0.24	69.26	18.05	18.84	18.09
Gm15455	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.03
Gm1653	0.19	0.0	0.0	0.0	61.7	0.6	0.58	0.28
Gm19434	0.91	0.38	0.66	0.75	4.59	3.61	2.67	3.51
Gm572	0.0	0.0	0.0	0.0	33.68	0.14	0.14	0.07
Gm8801	0.0	0.0	0.0	0.0	1.11	0.0	0.0	0.0
Grhl2	0.0	0.0	0.0	0.0	19.73	0.2	0.13	0.18
Gsto2	0.0	0.0	0.0	0.0	45.62	1.54	1.3	1.19
Heatr2	0.0	0.0	0.0	0.0	11.2	5.74	5.74	5.71
Hist1h4c	0.0	0.0	0.0	0.0	19.17	0.0	0.0	0.0
Hlcs	0.0	0.0	0.0	0.0	37.23	7.75	7.35	7.59
Ifitm7	0.0	0.0	0.0	0.0	0.78	1.18	1.06	0.8
Ildr2	0.94	0.0	0.0	0.0	29.86	58.19	53.49	59.1
Kcnu1	0.0	0.0	0.0	0.0	35.81	2.06	2.26	2.21
Kif1a	125.11	39.92	86.62	156.96	240.21	383.45	381.16	420.26
Klhl38	0.0	0.0	0.0	0.0	35.34	1.16	1.43	1.29
Klk6	0.0	0.0	0.0	0.0	0.23	4.68	4.93	5.21
Krt31	0.0	0.0	0.0	0.0	39.73	0.0	0.12	0.0
Krt34	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0
Lepre1	0.0	0.0	0.0	0.0	49.41	7.2	6.74	6.58
Lipo1	0.0	0.52	0.0	1.28	56.26	7.02	7.06	6.92
Lrrc32	0.0	0.0	0.0	0.0	0.07	2.76	3.49	3.0
Man2b2	0.0	4.79	0.0	0.0	34.51	19.0	20.78	19.91
Mcm2	0.0	0.0	0.0	0.0	0.08	3.36	3.63	3.77
Mefv	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.03
Mfsd1	0.62	0.0	0.0	0.0	38.6	25.75	24.88	24.7
Mfsd10	0.0	0.0	0.0	0.0	26.19	21.21	23.51	22.0
Mir485	0.0	0.0	0.0	0.0	20.77	0.0	5.09	5.58
Mmachc	1.85	0.14	0.38	0.36	167.1	17.1	16.33	18.1
Ms4a4d	0.0	0.0	0.0	0.0	0.19	0.07	0.0	0.0
Msl2	0.0	6.62	0.0	1.19	16.5	32.92	32.23	29.12
Mtrf1l	0.0	0.0	0.0	0.0	14.59	4.97	6.33	4.39
Mustn1	0.0	0.0	0.0	81.43	385.48	2.05	1.61	1.94
Muted	0.0	83.38	0.0	1.59	117.96	18.49	20.17	19.14
Myh1	0.0	0.0	0.0	0.0	16.05	0.76	0.46	0.33
Net1	0.0	0.0	0.0	0.0	0.08	24.75	27.28	24.52
Nppb	0.0	0.0	0.0	0.0	72.39	0.13	0.12	0.0
Osgin1	0.0	0.0	0.0	0.0	0.14	0.71	0.67	0.78
Pdia5	0.0	0.0	0.0	0.0	72.56	5.22	4.66	5.79
Pion	0.0	0.0	0.0	0.0	17.86	4.33	4.46	4.51
Pld5	0.0	0.0	0.0	0.0	4.23	6.64	5.61	7.19
Pof1b	0.0	0.0	0.0	0.0	4.38	0.33	0.21	0.42
Ppp2r3d	4.7	2.65	3.64	0.6	34.28	7.18	8.59	9.21
Proz	0.0	0.0	0.0	0.0	14.13	8.45	8.19	8.94
Prrt3	0.0	0.0	0.0	0.07	39.07	39.26	41.02	44.37
Psd2	0.0	0.11	0.0	0.55	63.21	27.9	27.54	32.93
Ptpn3	0.0	0.0	0.0	0.0	14.34	28.78	27.92	28.04
Ptprk	0.02	0.0	0.01	0.22	54.07	30.75	29.92	32.35
Rara	0.0	0.0	0.0	0.0	6.09	7.44	8.33	7.77
Rft1	0.01	0.0	0.46	0.26	44.97	13.89	11.62	14.7
