	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500016L03Rik	0.0	0.0	0.0	1.02	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	3.51	0.0	0.66	1.59	0.89	0.47	0.0	1.4	0.0	0.0	0.72	0.0	0.0	0.7	0.33	0.17	0.64	0.0
1700010D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.2	0.22
1700028P15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.12
1700047G03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.12
1700047I17Rik2	57.42	1.48	15.39	6.82	3.54	29.66	11.16	6.7	4.04	2.38	10.97	13.82	12.74	13.08	7.94	0.58	9.27	13.56	15.72	8.89	1.24	24.24	10.75	15.55	2.97	5.43	1.54	16.29	0.63	9.58	0.75	6.62	3.78	17.56	16.4	17.92
2410076I21Rik	0.0	0.0	1.49	0.0	0.0	0.0	0.0	0.0	5.79	0.0	0.0	0.0	6.01	0.0	0.0	0.0	0.0	0.0	27.67	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.64	0.0	0.0	105.21	0.79	0.54	1.78
4931423N10Rik	0.0	2.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
6430562O15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.74	0.07
9030224M15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.94	0.0	0.0	0.0	12.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	1.6	2.69
A730098P11Rik	0.13	0.07	0.0	0.0	0.07	0.0	0.44	0.62	0.32	0.33	0.21	0.23	0.14	0.0	0.18	0.21	0.21	0.13	9.05	0.15	0.1	0.34	0.88	0.51	0.23	0.24	0.16	0.0	0.23	0.0	0.14	0.0	0.0	0.34	0.42	0.31
